dataset,inter_ratio,epsilon,rep,nmi,evc_overlap,evc_mae,deg_kl,diam_rel,cc_rel,mod_rel,edges,time_sec,timestamp
Chamelon,0.05,2.0,0,0.3345261270412861,0.8636363636363636,0.0030014390308226073,1.4440111468729517,0.4545454545454545,0.13285888580346922,0.14475759942215316,28443,4.51,2026-05-11 17:31:21
Chamelon,0.05,2.0,1,0.33812569375565665,0.8636363636363636,0.004631767916171676,1.4090803191171593,0.4545454545454545,0.5133653654300794,0.05265090266922861,27440,4.5,2026-05-11 17:31:26
Chamelon,0.05,2.0,2,0.3486548109007677,0.8181818181818182,0.002574181198509608,1.4323497159638676,0.4545454545454545,0.3106200459588258,0.014143900852932035,27631,4.86,2026-05-11 17:31:31
Chamelon,0.05,2.0,3,0.33623150472685454,0.8636363636363636,0.003035997372196923,1.2141235115133495,0.4545454545454545,0.3788527643166219,0.0038659818680725527,27575,4.57,2026-05-11 17:31:35
Chamelon,0.05,2.0,4,0.3445063260036627,0.8636363636363636,0.0029124747974983416,1.2974376847500824,0.4545454545454545,0.41887754700370894,0.003900507645426898,27204,4.24,2026-05-11 17:31:39
Chamelon,0.05,2.0,5,0.29740829489351694,0.6818181818181818,0.004298869834806387,1.5084868122003317,0.4545454545454545,0.08152049839992119,0.3177645379941919,29014,5.2,2026-05-11 17:31:45
Chamelon,0.05,2.0,6,0.32389015452027636,0.8636363636363636,0.0031090680974665535,1.2519477466746298,0.4545454545454545,0.17891553938260837,0.08081577265351111,28777,5.39,2026-05-11 17:31:50
Chamelon,0.05,2.0,7,0.3604646262050993,0.9090909090909091,0.0026147982896626786,1.843358659105748,0.4545454545454545,0.19801639995564652,0.06076375955119358,28292,5.05,2026-05-11 17:31:55
Chamelon,0.05,2.0,8,0.3399518286035852,0.8181818181818182,0.0014818114656758635,1.299371988063621,0.4545454545454545,0.1783702459476587,0.07297056379654923,28728,5.4,2026-05-11 17:32:01
Chamelon,0.05,2.0,9,0.36351386860531976,0.9545454545454546,0.0023118366798724824,1.5277787736855142,0.4545454545454545,0.3215088226138997,0.014831757231794713,27677,4.6,2026-05-11 17:32:05
Chamelon,0.05,2.0,10,0.3319318299222054,0.9090909090909091,0.0022153241003630103,1.2285865816270107,0.4545454545454545,0.3260644324154687,0.020995360328474065,28132,5.02,2026-05-11 17:32:10
Chamelon,0.05,2.0,11,0.32847626672966096,0.8181818181818182,0.002517916691111371,1.360653039371015,0.4545454545454545,0.23492092109226173,0.05992440492222923,28263,5.15,2026-05-11 17:32:15
Chamelon,0.05,2.0,12,0.33464105714160564,0.8636363636363636,0.0029513918091012515,1.2518746572546608,0.4545454545454545,0.28745149971610184,0.05276153545294222,27210,4.78,2026-05-11 17:32:20
Chamelon,0.05,2.0,13,0.323743851786279,0.6818181818181818,0.004338631324598686,1.6190545559487508,0.4545454545454545,0.060155252723920305,0.3095827059790205,28774,4.89,2026-05-11 17:32:25
Chamelon,0.05,2.0,14,0.3103430083231663,0.6363636363636364,0.0035954009549858945,1.0528594621718084,0.4545454545454545,0.3341111111495322,0.02871787683397211,27720,4.84,2026-05-11 17:32:30
Chamelon,0.05,2.0,15,0.35315849549485745,0.9090909090909091,0.0022060665136228413,1.0017227079017579,0.4545454545454545,0.17818585006863313,0.072125818213481,28634,5.36,2026-05-11 17:32:35
Chamelon,0.05,2.0,16,0.3257664813474357,0.8636363636363636,0.004009604018774403,1.241524859986065,0.4545454545454545,0.2948961803272331,0.05133885444208573,28385,5.11,2026-05-11 17:32:40
Chamelon,0.05,2.0,17,0.3372504389631951,0.8636363636363636,0.002635203185421543,1.3779588847696562,0.4545454545454545,0.16540868482534116,0.05322753206495724,28562,5.61,2026-05-11 17:32:46
Chamelon,0.05,2.0,18,0.3461920827804205,0.9090909090909091,0.0027289394046068668,1.255306790665243,0.3636363636363636,0.20497776760293268,0.06861608576079344,28269,5.35,2026-05-11 17:32:51
Chamelon,0.05,2.0,19,0.31867810741100927,0.8636363636363636,0.0044311291258200556,1.4357285397677069,0.2727272727272727,0.3876517441341645,0.07306604753433932,26517,4.42,2026-05-11 17:32:56
Chamelon,0.05,2.0,20,0.359274029563514,0.9545454545454546,0.0018676876227229266,1.3774210213709819,0.4545454545454545,0.24828658988967392,0.04730266756244849,27847,4.87,2026-05-11 17:33:01
Chamelon,0.05,2.0,21,0.35563213380150105,0.9090909090909091,0.0026544490582327464,1.1972139419565462,0.4545454545454545,0.25569866400642016,0.07015788971338495,28377,5.19,2026-05-11 17:33:06
Chamelon,0.05,2.0,22,0.3386375669053777,0.9545454545454546,0.0037242682810413753,1.2556508826009034,0.4545454545454545,0.28297557309515753,0.03831938459262276,27792,4.92,2026-05-11 17:33:11
Chamelon,0.05,2.0,23,0.33125849951085784,0.8181818181818182,0.0025578272428658714,1.1463917622212223,0.4545454545454545,0.22376826270397368,0.056019514019451946,28238,4.91,2026-05-11 17:33:16
Chamelon,0.05,2.0,24,0.3184096618108839,0.9545454545454546,0.0038744153202435656,1.3916376039660978,0.3636363636363636,0.36852095849454003,0.040516885563288585,27121,4.92,2026-05-11 17:33:21
Chamelon,0.05,2.0,25,0.3054509240240044,0.7727272727272727,0.0036162544261252637,1.3794292747014079,0.4545454545454545,0.10373397104063263,0.1982292728064178,29231,5.25,2026-05-11 17:33:26
Chamelon,0.05,2.0,26,0.3559977097548308,0.8636363636363636,0.0029182367150972794,1.187538058458217,0.4545454545454545,0.30614045533467554,0.04701190790707277,27546,4.74,2026-05-11 17:33:31
Chamelon,0.05,2.0,27,0.3356598435783204,0.7727272727272727,0.0034727853493893763,1.5174737073250286,0.4545454545454545,0.20854770830716882,0.07367245204176563,28466,5.01,2026-05-11 17:33:36
Chamelon,0.05,2.0,28,0.32930114482553646,0.9545454545454546,0.0030348166891412025,1.381769601255798,0.4545454545454545,0.2931377016969782,0.010013222610605825,28382,5.39,2026-05-11 17:33:41
Chamelon,0.05,2.0,29,0.34941092753037195,0.8636363636363636,0.0035663119737114305,1.6164782860371232,0.4545454545454545,0.3866723026402016,0.008800208644097826,27177,4.6,2026-05-11 17:33:46
Chamelon,0.1,2.0,0,0.3007954569374765,0.7727272727272727,0.0017760609412078771,1.4263295785554015,0.4545454545454545,0.28476890530597637,0.03499695569054057,28093,5.14,2026-05-11 17:33:51
Chamelon,0.1,2.0,1,0.3365294922604103,0.9090909090909091,0.0034423622197208457,1.2196869962153156,0.4545454545454545,0.26851565316335013,0.06822868666646016,27400,5.23,2026-05-11 17:33:56
Chamelon,0.1,2.0,2,0.3410263409721423,0.9090909090909091,0.0017056531713663095,1.0612283939929772,0.4545454545454545,0.1337519618153463,0.07535698722503456,28449,5.42,2026-05-11 17:34:01
Chamelon,0.1,2.0,3,0.35652076106176395,0.9090909090909091,0.0027589004865544286,1.2688441370203623,0.4545454545454545,0.13661245073490552,0.08928238904601782,28650,5.26,2026-05-11 17:34:07
Chamelon,0.1,2.0,4,0.2882032161525798,0.7727272727272727,0.003357277116812801,1.2963857356459123,0.3636363636363636,0.12231005579144659,0.18513060694865513,28936,5.26,2026-05-11 17:34:12
Chamelon,0.1,2.0,5,0.35289351889332077,0.8636363636363636,0.00314674884086443,1.1257541329300658,0.3636363636363636,0.3057681141403798,0.000594845183782852,27409,4.69,2026-05-11 17:34:17
Chamelon,0.1,2.0,6,0.29381173250373127,0.8636363636363636,0.002474659297582561,1.1916330400697088,0.4545454545454545,0.22579321549980447,0.08022737591271042,28698,5.44,2026-05-11 17:34:22
Chamelon,0.1,2.0,7,0.29423283586066984,0.9545454545454546,0.001708702159824916,1.3782712601182814,0.3636363636363636,0.1417596837273223,0.046424309740554295,27278,4.87,2026-05-11 17:34:27
Chamelon,0.1,2.0,8,0.31311336824311664,0.9090909090909091,0.0021771699305691,1.5863510156317706,0.3636363636363636,0.2954766177777651,0.05527689061880258,27717,4.98,2026-05-11 17:34:32
Chamelon,0.1,2.0,9,0.34495854460828407,0.9090909090909091,0.0027407151107735977,1.296543955002798,0.4545454545454545,0.3058454338142811,0.02158693159668511,28378,4.81,2026-05-11 17:34:37
Chamelon,0.1,2.0,10,0.31637354713459587,0.8181818181818182,0.00307022109193658,1.3937963343567543,0.4545454545454545,0.12852531792534463,0.09998759347969485,28595,5.41,2026-05-11 17:34:42
Chamelon,0.1,2.0,11,0.31018337955347614,0.8636363636363636,0.002035088207091497,1.20662162757196,0.4545454545454545,0.09791841703881456,0.09622536919844697,29011,5.46,2026-05-11 17:34:48
Chamelon,0.1,2.0,12,0.29759512092005375,0.7727272727272727,0.004424952022602114,1.2111172346217685,0.3636363636363636,0.3740985203346947,0.056419203837545256,28017,5.01,2026-05-11 17:34:53
Chamelon,0.1,2.0,13,0.3239767766551847,0.9090909090909091,0.0030300699582240893,1.2864015611849366,0.4545454545454545,0.31637860107744,0.04196185270437476,27312,4.82,2026-05-11 17:34:57
Chamelon,0.1,2.0,14,0.2954582628160589,0.8181818181818182,0.003661232712025044,1.1003081173953433,0.4545454545454545,0.15400397434207852,0.12178788396656019,28497,5.46,2026-05-11 17:35:03
Chamelon,0.1,2.0,15,0.3351086318233673,0.8636363636363636,0.0034264017922018665,1.1693747275837456,0.3636363636363636,0.27800773968734394,0.0374042527352391,27825,5.16,2026-05-11 17:35:08
Chamelon,0.1,2.0,16,0.29568460861915635,0.8181818181818182,0.002728876181834457,1.357261578808366,0.4545454545454545,0.0708105789981632,0.160555794840921,29233,5.86,2026-05-11 17:35:14
Chamelon,0.1,2.0,17,0.33922758307373835,0.7727272727272727,0.00385154218479285,1.0934552286722061,0.4545454545454545,0.2600443674490929,0.05938839287180617,28271,5.05,2026-05-11 17:35:19
Chamelon,0.1,2.0,18,0.3166817804346747,0.9545454545454546,0.002649765461122168,1.525631176153071,0.4545454545454545,0.20004298882485996,0.07531793464953326,28320,5.21,2026-05-11 17:35:24
Chamelon,0.1,2.0,19,0.3388490076838458,0.9090909090909091,0.0026454076126734617,1.2600336703460688,0.3636363636363636,0.22946874793153915,0.06694620271587845,27745,5.04,2026-05-11 17:35:29
Chamelon,0.1,2.0,20,0.2978707825727418,0.9090909090909091,0.00634135971249683,1.3169048131720518,0.4545454545454545,0.02726624552592314,0.1722886654917333,29026,5.19,2026-05-11 17:35:34
Chamelon,0.1,2.0,21,0.2929228903755804,0.6818181818181818,0.00452067765400534,1.4768817647839154,0.2727272727272727,0.016191164257294978,0.3409650859721643,28947,5.44,2026-05-11 17:35:40
Chamelon,0.1,2.0,22,0.3622573907584141,0.8181818181818182,0.0021408841688455586,1.457509915096702,0.4545454545454545,0.15405718158856116,0.07989043368396602,28496,5.56,2026-05-11 17:35:45
Chamelon,0.1,2.0,23,0.32739569813792774,0.8636363636363636,0.0031015324574041655,1.3629865133300694,0.4545454545454545,0.1348457136025317,0.101431420290188,28009,5.31,2026-05-11 17:35:51
Chamelon,0.1,2.0,24,0.28712701290027326,0.8181818181818182,0.004892748690874974,1.3893517730086524,0.4545454545454545,0.22985345633580528,0.1550950545128418,28303,5.24,2026-05-11 17:35:56
Chamelon,0.1,2.0,25,0.3071345062662319,0.9090909090909091,0.0024367626611152063,1.1206607123511951,0.4545454545454545,0.009076369098681227,0.20473471429967147,29431,5.93,2026-05-11 17:36:02
Chamelon,0.1,2.0,26,0.2991423725798514,0.8636363636363636,0.002667888236977805,1.4014881525185647,0.4545454545454545,0.08246928156594381,0.15194226772644664,29213,5.55,2026-05-11 17:36:07
Chamelon,0.1,2.0,27,0.3225725995996813,0.9090909090909091,0.006227129480943797,1.2355101306236005,0.3636363636363636,0.04133451343772876,0.2045976443376228,28163,5.03,2026-05-11 17:36:12
Chamelon,0.1,2.0,28,0.3337807079590053,0.8636363636363636,0.0033252167686989784,1.3258360179899809,0.4545454545454545,0.19907610453375743,0.09388237265626886,28234,4.97,2026-05-11 17:36:17
Chamelon,0.1,2.0,29,0.35148308616365137,0.9090909090909091,0.0025901100204599975,0.9723869222216021,0.4545454545454545,0.18834793356675103,0.07872162540603785,28086,5.24,2026-05-11 17:36:23
Chamelon,0.15,2.0,0,0.3221548664720781,0.8181818181818182,0.003515563931408555,1.5438254010622248,0.3636363636363636,0.2665811044766431,0.02689417220831056,27881,5.07,2026-05-11 17:36:28
Chamelon,0.15,2.0,1,0.28690185797023754,0.8636363636363636,0.0022935607728759703,1.4463077807175533,0.3636363636363636,0.18370102664142254,0.12204234683378086,28305,5.52,2026-05-11 17:36:33
Chamelon,0.15,2.0,2,0.26811603710446597,0.8181818181818182,0.0037849745202011174,1.456402913885148,0.3636363636363636,0.0589575056390343,0.265187084190188,29522,5.86,2026-05-11 17:36:39
Chamelon,0.15,2.0,3,0.28699369012624754,0.7727272727272727,0.004030053450313189,1.2855313549281058,0.4545454545454545,0.1943864706235211,0.17595078113473667,28944,5.52,2026-05-11 17:36:45
Chamelon,0.15,2.0,4,0.33910467354443236,0.9090909090909091,0.002033249724148793,1.132482631799096,0.4545454545454545,0.21778475413119722,0.0794735582587809,27882,5.22,2026-05-11 17:36:50
Chamelon,0.15,2.0,5,0.3122907117009402,0.9090909090909091,0.002867111808199846,1.2023072581326737,0.3636363636363636,0.20601838828562352,0.07098766264242659,28326,5.45,2026-05-11 17:36:55
Chamelon,0.15,2.0,6,0.28429960091411394,0.7727272727272727,0.0049494786539439044,1.1115461900978685,0.3636363636363636,0.20380021340898075,0.15709992436287445,28823,5.66,2026-05-11 17:37:01
Chamelon,0.15,2.0,7,0.28905966355482837,0.7727272727272727,0.002388870887224161,1.225761092954503,0.3636363636363636,0.10191513701458461,0.14880205053076268,29223,5.49,2026-05-11 17:37:06
Chamelon,0.15,2.0,8,0.29608612548645896,0.8636363636363636,0.0028712601724335844,1.3900406913567116,0.3636363636363636,0.1662754243108669,0.10372049147394967,27969,5.38,2026-05-11 17:37:12
Chamelon,0.15,2.0,9,0.2989551672937257,0.8636363636363636,0.009302415221573927,1.109799694826893,0.4545454545454545,0.00580472017839942,0.18091155850934976,29237,5.7,2026-05-11 17:37:18
Chamelon,0.15,2.0,10,0.31374250280548416,0.8636363636363636,0.003641534973201073,1.3703639472516542,0.3636363636363636,0.26281249998391426,0.06871684529169306,28293,5.1,2026-05-11 17:37:23
Chamelon,0.15,2.0,11,0.33987300817849303,0.9545454545454546,0.002175793077886189,1.3914181560616758,0.3636363636363636,0.21213457789850967,0.0701856460987164,28277,5.2,2026-05-11 17:37:28
Chamelon,0.15,2.0,12,0.2955300472059946,0.8181818181818182,0.003202512782303539,1.5507779389234926,0.4545454545454545,0.15797978608119437,0.12577378732110744,29025,5.44,2026-05-11 17:37:33
Chamelon,0.15,2.0,13,0.32616364778258733,0.9090909090909091,0.003239199945096073,1.2697700732874775,0.4545454545454545,0.24827802640003646,0.05952795098938847,28074,5.1,2026-05-11 17:37:38
Chamelon,0.15,2.0,14,0.32602478499910076,0.9545454545454546,0.0025109932876806016,1.4336354461453493,0.3636363636363636,0.23498236224339702,0.11479987754806072,27352,5.05,2026-05-11 17:37:43
Chamelon,0.15,2.0,15,0.3089998832292891,0.8636363636363636,0.0037299160501873554,1.1287212192477365,0.4545454545454545,0.1599694030325859,0.10742206642563695,28219,5.34,2026-05-11 17:37:49
Chamelon,0.15,2.0,16,0.3164225989033116,0.9090909090909091,0.0029751873124072713,1.0467109837320592,0.3636363636363636,0.21146182706576003,0.07729757966292215,28453,5.3,2026-05-11 17:37:54
Chamelon,0.15,2.0,17,0.297048683557818,0.7272727272727273,0.005794454236173265,1.1982800488889842,0.4545454545454545,0.0019327177380406289,0.3135910983201685,29185,5.54,2026-05-11 17:38:00
Chamelon,0.15,2.0,18,0.27211445303574777,0.8636363636363636,0.003668657222278987,1.5245462152915188,0.4545454545454545,0.012962130974694055,0.20499698839161976,29552,5.6,2026-05-11 17:38:05
Chamelon,0.15,2.0,19,0.2832280443398576,0.8636363636363636,0.0028821313781664418,1.4138925535831401,0.1818181818181818,0.06494557440308886,0.17789890047826104,28631,5.65,2026-05-11 17:38:11
Chamelon,0.15,2.0,20,0.2898589354993237,0.9090909090909091,0.002585964793914551,1.68083041753284,0.3636363636363636,0.23180598577626038,0.07200606091085249,27979,5.51,2026-05-11 17:38:16
Chamelon,0.15,2.0,21,0.27455022132870976,0.9090909090909091,0.007502568470220031,1.3178991539201912,0.3636363636363636,0.019091534188432544,0.22854759859546933,29800,5.89,2026-05-11 17:38:22
Chamelon,0.15,2.0,22,0.30105100627451103,0.7727272727272727,0.0038937857938823417,1.344131631072663,0.4545454545454545,0.09217859596161002,0.18841534021608194,28733,5.49,2026-05-11 17:38:28
Chamelon,0.15,2.0,23,0.28869059971508454,0.8636363636363636,0.003979014532891581,1.1722570097794218,0.4545454545454545,0.20277338275864176,0.08445529553251158,27954,5.52,2026-05-11 17:38:33
Chamelon,0.15,2.0,24,0.3174205581690557,0.8636363636363636,0.0021663307669345325,1.3437774318832045,0.3636363636363636,0.26480047902007453,0.058270551287914425,27488,5.37,2026-05-11 17:38:39
Chamelon,0.15,2.0,25,0.3452910486461198,0.8636363636363636,0.002450867437075456,1.180741963659413,0.4545454545454545,0.10441721181494613,0.11558444852282485,28358,5.39,2026-05-11 17:38:44
Chamelon,0.15,2.0,26,0.2930514884263546,0.9545454545454546,0.00335929123466258,1.3298872845281455,0.3636363636363636,0.2900010278463864,0.061041590998463006,27530,5.52,2026-05-11 17:38:50
Chamelon,0.15,2.0,27,0.33151750169142996,0.7272727272727273,0.003194890153847876,1.2818460729315166,0.3636363636363636,0.20750485801938096,0.08405078475215692,27937,5.43,2026-05-11 17:38:55
Chamelon,0.15,2.0,28,0.26622934500417655,0.7727272727272727,0.0029028096314993785,1.3516238992978913,0.3636363636363636,0.053394110632985006,0.26905746267922476,29206,5.7,2026-05-11 17:39:01
Chamelon,0.15,2.0,29,0.3294132395141239,0.8636363636363636,0.003296484549223691,1.3162100050124748,0.4545454545454545,0.15628110487326807,0.10675878792649329,28020,5.26,2026-05-11 17:39:06
Chamelon,0.2,2.0,0,0.273039510415779,0.7272727272727273,0.005769237069389963,1.153404842197248,0.4545454545454545,0.05859322551740455,0.36142892871541976,29255,5.99,2026-05-11 17:39:12
Chamelon,0.2,2.0,1,0.3259164509110627,0.8181818181818182,0.0025818306808950723,1.176825848628802,0.4545454545454545,0.056573664852724345,0.1376379654379101,28856,5.51,2026-05-11 17:39:18
Chamelon,0.2,2.0,2,0.24668959087119044,0.9545454545454546,0.005679317709541398,1.2125305475877342,0.4545454545454545,0.024804321264671626,0.21641237745734732,29483,5.96,2026-05-11 17:39:23
Chamelon,0.2,2.0,3,0.2935766316635939,0.8181818181818182,0.004024124030711582,1.3816179133214184,0.4545454545454545,0.18439218658695417,0.10276961027828782,28617,5.84,2026-05-11 17:39:29
Chamelon,0.2,2.0,4,0.3000010391515938,0.9545454545454546,0.004515597811725877,1.219751660332928,0.3636363636363636,0.0588414076232505,0.22125492007955808,29493,6.03,2026-05-11 17:39:35
Chamelon,0.2,2.0,5,0.25455388010821745,0.7272727272727273,0.004652993186698678,1.4203397725836542,0.2727272727272727,0.025529225306534016,0.3841469643596103,28473,5.8,2026-05-11 17:39:41
Chamelon,0.2,2.0,6,0.3189957362365322,0.8636363636363636,0.004003062978620193,1.2044492582215673,0.4545454545454545,0.12048546386388573,0.14458571198040998,28296,5.43,2026-05-11 17:39:47
Chamelon,0.2,2.0,7,0.31039189660461647,0.8636363636363636,0.00358829318973634,1.432943565919289,0.4545454545454545,0.17470770354233575,0.10873111933039296,28333,5.42,2026-05-11 17:39:52
Chamelon,0.2,2.0,8,0.3163308591115311,0.8181818181818182,0.0032958051018139004,1.3065161213990395,0.4545454545454545,0.2047363414766013,0.09290337248397633,28087,5.39,2026-05-11 17:39:57
Chamelon,0.2,2.0,9,0.32243927282418705,0.9090909090909091,0.0018416895003264897,1.0642429115199228,0.4545454545454545,0.036938448692369626,0.13226540939905504,28879,5.71,2026-05-11 17:40:03
Chamelon,0.2,2.0,10,0.27593776613077303,0.8636363636363636,0.003149975857497152,1.4864373000692195,0.3636363636363636,0.08437327434917155,0.1703354376368018,28878,5.83,2026-05-11 17:40:09
Chamelon,0.2,2.0,11,0.2867264910680263,0.8181818181818182,0.005267065968838388,1.3896345552640528,0.3636363636363636,0.12305902294572976,0.24793261772946207,28479,5.58,2026-05-11 17:40:15
Chamelon,0.2,2.0,12,0.28104373448299935,1.0,0.0031065061447369366,1.291964166808685,0.3636363636363636,0.007814972042531409,0.20637081129852322,28726,5.79,2026-05-11 17:40:20
Chamelon,0.2,2.0,13,0.2633663943129535,0.8636363636363636,0.007286482648753148,1.3656362857686548,0.3636363636363636,0.03436370861381853,0.2706927986476701,29001,5.87,2026-05-11 17:40:26
Chamelon,0.2,2.0,14,0.310119461535556,0.9090909090909091,0.003642876867282459,1.2310480181182242,0.4545454545454545,0.1803335041369989,0.08828223551140735,28113,5.38,2026-05-11 17:40:32
Chamelon,0.2,2.0,15,0.29274451742445196,0.8181818181818182,0.0034316498455871534,1.3678856404442026,0.4545454545454545,0.07507199367932706,0.23156360157081457,28013,5.5,2026-05-11 17:40:37
Chamelon,0.2,2.0,16,0.25923079992607034,0.7272727272727273,0.0038498204684967725,1.4100819934730104,0.2727272727272727,0.04615024090203882,0.33883099543840817,28798,5.89,2026-05-11 17:40:43
Chamelon,0.2,2.0,17,0.31561831677779817,0.7272727272727273,0.0019793214298276236,1.3935005426422165,0.4545454545454545,0.20796459527633981,0.044284849070418165,28233,5.48,2026-05-11 17:40:48
Chamelon,0.2,2.0,18,0.27493177654133977,0.8636363636363636,0.0076255060982913965,1.3230925671864664,0.2727272727272727,0.008705904494695849,0.16057076545556995,29384,5.82,2026-05-11 17:40:54
Chamelon,0.2,2.0,19,0.30713109108990416,0.8636363636363636,0.0034440111799229926,1.3581189204254762,0.3636363636363636,0.2129694096914232,0.09159812584413504,28179,5.49,2026-05-11 17:41:00
Chamelon,0.2,2.0,20,0.2693032239311041,0.7272727272727273,0.0030123714460501996,1.678804931122858,0.4545454545454545,0.025390465545517733,0.29819260649370977,29079,5.72,2026-05-11 17:41:06
Chamelon,0.2,2.0,21,0.3596688546867799,0.8636363636363636,0.002636439713665416,1.304622221954644,0.4545454545454545,0.10233992770573633,0.1251111141825784,28626,5.36,2026-05-11 17:41:11
Chamelon,0.2,2.0,22,0.3489225315950289,0.8636363636363636,0.0038882225314886016,1.1895224607026094,0.4545454545454545,0.1291595223203078,0.1204505581108718,28539,5.33,2026-05-11 17:41:16
Chamelon,0.2,2.0,23,0.28194633299305594,0.8636363636363636,0.002792989078918655,1.4545464107975115,0.3636363636363636,0.11811898691780105,0.14790033743904776,28220,5.74,2026-05-11 17:41:22
Chamelon,0.2,2.0,24,0.3229646577434691,0.8636363636363636,0.0018699020063468192,1.0322716973973036,0.4545454545454545,0.1724374270881419,0.08560546092471119,28342,5.39,2026-05-11 17:41:27
Chamelon,0.2,2.0,25,0.2734945144811663,0.7727272727272727,0.0037967258390489396,1.7351560129657266,0.3636363636363636,0.06116140170789085,0.2668347707554853,28743,5.63,2026-05-11 17:41:33
Chamelon,0.2,2.0,26,0.28491721986714974,0.6363636363636364,0.01185730836781538,1.2117729276395144,0.4545454545454545,0.2001799766555095,0.47005786766595187,29551,6.16,2026-05-11 17:41:39
Chamelon,0.2,2.0,27,0.28291852546003904,0.8181818181818182,0.004534181450660223,1.5315715999191561,0.2727272727272727,0.34233285640638506,0.10675558162920991,27283,5.3,2026-05-11 17:41:44
Chamelon,0.2,2.0,28,0.34016030989328744,0.8636363636363636,0.002188120392307632,1.3109587718064397,0.4545454545454545,0.1276943756314462,0.09972184388859903,28430,5.37,2026-05-11 17:41:50
Chamelon,0.2,2.0,29,0.2952201299388102,0.9090909090909091,0.0028772105006510465,1.4272006965420068,0.4545454545454545,0.1371774129253156,0.09567600311259816,28071,5.41,2026-05-11 17:41:55
Chamelon,0.3,2.0,0,0.2788866056679952,0.9090909090909091,0.006831789101128802,1.373927341551756,0.4545454545454545,0.00982139334131876,0.25912460458195613,29105,5.87,2026-05-11 17:42:01
Chamelon,0.3,2.0,1,0.23535181078281345,0.6818181818181818,0.0055824247114840565,0.9088327504384656,0.3636363636363636,0.001860502701014254,0.30551062902605464,29321,6.16,2026-05-11 17:42:07
Chamelon,0.3,2.0,2,0.3126790331856885,0.9090909090909091,0.004348385750013653,1.2432726186248526,0.4545454545454545,0.01154714603350817,0.21228754632249702,28959,5.46,2026-05-11 17:42:13
Chamelon,0.3,2.0,3,0.31413207761711626,0.7727272727272727,0.0032589174706288983,1.2328496458896567,0.3636363636363636,0.09692652277728384,0.1283336232770315,28589,5.6,2026-05-11 17:42:18
Chamelon,0.3,2.0,4,0.33278463767896477,0.9545454545454546,0.003008850206420567,1.113370146570378,0.4545454545454545,0.060607926163516304,0.15695534295792302,29001,5.55,2026-05-11 17:42:24
Chamelon,0.3,2.0,5,0.26252528002948,0.9090909090909091,0.003085252024026279,1.2297776466644244,0.3636363636363636,0.10245663955702147,0.12440906000112899,28824,5.82,2026-05-11 17:42:30
Chamelon,0.3,2.0,6,0.3319835617483825,0.8181818181818182,0.0028195446446320324,1.0485244620602818,0.4545454545454545,0.03188640758472852,0.16732107302618066,28578,5.47,2026-05-11 17:42:35
Chamelon,0.3,2.0,7,0.2905006056066882,0.8636363636363636,0.003998422334513579,1.1221707582528295,0.4545454545454545,0.06873896543702208,0.23450571531873546,29062,5.72,2026-05-11 17:42:41
Chamelon,0.3,2.0,8,0.3090023503016936,0.8636363636363636,0.004191944067914879,1.5752668821946691,0.4545454545454545,0.013976435090668293,0.16093139995529307,28906,5.79,2026-05-11 17:42:47
Chamelon,0.3,2.0,9,0.23772059491201536,0.6818181818181818,0.004182373342928426,1.469949151417784,0.3636363636363636,0.058670170220295616,0.3792283825408643,29004,6.41,2026-05-11 17:42:53
Chamelon,0.3,2.0,10,0.21616068084231488,0.8181818181818182,0.006530023990453104,1.2155841906978564,0.2727272727272727,0.00968263050546113,0.28201996768231896,29070,6.1,2026-05-11 17:42:59
Chamelon,0.3,2.0,11,0.2963262199644081,0.8636363636363636,0.0027149447325614294,1.1506033999920717,0.4545454545454545,0.13289719728114496,0.29433890739240115,29445,5.98,2026-05-11 17:43:05
Chamelon,0.3,2.0,12,0.34157526570773805,0.9545454545454546,0.002999425993675822,1.3305029845344962,0.4545454545454545,0.04861817228965398,0.15111363918527784,28669,5.73,2026-05-11 17:43:11
Chamelon,0.3,2.0,13,0.2915876264284455,0.8636363636363636,0.002509782274097086,1.2584049587031132,0.4545454545454545,0.11526213450807586,0.1221108062626796,28179,5.56,2026-05-11 17:43:16
Chamelon,0.3,2.0,14,0.31368683798038544,0.8181818181818182,0.004346346355242421,1.387259651082386,0.4545454545454545,0.11367776517823863,0.11674294000049525,28591,5.5,2026-05-11 17:43:22
Chamelon,0.3,2.0,15,0.3075242310732989,0.8181818181818182,0.0040696757868815235,1.1692411897254735,0.4545454545454545,0.10099197961601648,0.14408757644878226,28144,5.47,2026-05-11 17:43:27
