dataset,method,epsilon,rep,nmi,evc_overlap,evc_mae,deg_kl,diam_rel,cc_rel,mod_rel,edges,time_sec,timestamp
Chamelon,ours_v2,0.5,0,0.2606007039193146,0.3181818181818182,0.017065260962907843,3.1997365219583775,0.1818181818181818,0.7250029869208521,0.03315060456781668,14351,6.71,2026-05-12 00:31:19
Chamelon,ours_v2,0.5,5,0.249008398678689,0.13636363636363635,0.016344192718974727,3.0056880074979295,0.1818181818181818,0.6978390409906106,0.012103376216444705,13646,7.29,2026-05-12 00:31:20
Chamelon,ours_v2,0.5,3,0.26019642693812844,0.0,0.013745555745497328,3.1528589789065773,0.2727272727272727,0.6873419751988243,0.04036712896684807,14199,7.83,2026-05-12 00:31:21
Chamelon,ours_v2,0.5,1,0.26597750848973933,0.18181818181818182,0.011934868817150971,3.0696064300120653,0.2727272727272727,0.7165822884343815,0.04742847562405855,17226,8.22,2026-05-12 00:31:21
Chamelon,ours_v2,0.5,2,0.28018010674482596,0.18181818181818182,0.006423968827767647,2.6560799169131455,0.2727272727272727,0.6860613179873067,0.010826325891396836,18771,8.29,2026-05-12 00:31:21
Chamelon,ours_v2,0.5,6,0.27739901103515474,0.2727272727272727,0.00775763027748615,2.851306277435129,0.3636363636363636,0.7470153508936757,0.05785986578904521,17682,8.21,2026-05-12 00:31:21
Chamelon,ours_v2,0.5,4,0.27748450846579653,0.045454545454545456,0.0036606004315162736,2.6798415673524523,0.3636363636363636,0.7395719333765355,0.06416016752929547,19368,8.43,2026-05-12 00:31:21
Chamelon,ours_v2,0.5,7,0.2679016366294915,0.22727272727272727,0.005393318293391964,2.6847029628624006,0.2727272727272727,0.6828776309516184,0.01850666039866152,16652,8.69,2026-05-12 00:31:22
Chamelon,ours_v2,0.5,8,0.27790845823303206,0.09090909090909091,0.01256101400516482,2.674932956480755,0.2727272727272727,0.6762023605569724,0.051181066637766004,18966,8.82,2026-05-12 00:31:23
Chamelon,ours_v2,0.5,9,0.2623187800368575,0.2727272727272727,0.005773499301230147,2.7859266554707394,0.2727272727272727,0.6672146433276239,0.022115953562681763,17541,9.2,2026-05-12 00:31:23
