dataset,method,epsilon,rep,nmi,evc_overlap,evc_mae,deg_kl,diam_rel,cc_rel,mod_rel,edges,time_sec,timestamp
Chamelon,privgraph,1.0,0,0.10988407299480682,0.7272727272727273,0.0028719205415945804,6.198812827834953,0.5454545454545454,0.05881165301894541,0.44013519253995104,30386,5.18,2026-05-11 00:32:28
Chamelon,privgraph,1.0,1,0.10775076261472194,0.9090909090909091,0.005655302518836729,6.390929233088984,0.6363636363636362,0.1633066455571926,0.45111109986221026,30498,5.06,2026-05-11 00:32:33
Chamelon,privgraph,1.0,2,0.07443543447066231,0.09090909090909091,0.0020255466931446142,10.047481639515658,0.6363636363636362,0.5588138706675017,0.5496202163000181,31138,4.33,2026-05-11 00:32:38
Chamelon,privgraph,1.0,3,0.07636425768625851,0.7727272727272727,0.0012890891863659298,7.116765415948996,0.6363636363636362,0.4022596738221405,0.5786968849900941,31176,5.22,2026-05-11 00:32:43
Chamelon,privgraph,1.0,4,0.06544241102617959,0.6818181818181818,0.0035209132023258497,8.859028460212642,0.6363636363636362,0.2517333395677924,0.5174125162010738,30398,4.5,2026-05-11 00:32:47
Chamelon,privgraph,1.0,5,0.10492627051373848,0.7272727272727273,0.0019538386132756384,5.859588003152044,0.5454545454545454,0.12006104368037729,0.45220400990039855,30419,5.21,2026-05-11 00:32:53
Chamelon,privgraph,1.0,6,0.08605611396146277,0.7272727272727273,0.0022346203420805493,8.446363206621294,0.6363636363636362,0.16257276170847973,0.4774403179454602,30467,4.73,2026-05-11 00:32:57
Chamelon,privgraph,1.0,7,0.08022689441304202,0.7272727272727273,0.0016795533049659473,7.704826111961504,0.6363636363636362,0.2370022605427169,0.5207677661133142,30332,4.67,2026-05-11 00:33:02
Chamelon,privgraph,1.0,8,0.09637675556904529,0.7272727272727273,0.003031616321666195,6.353449867064526,0.6363636363636362,0.178024577858116,0.46598307979568676,30530,4.94,2026-05-11 00:33:07
Chamelon,privgraph,1.0,9,0.12759849987912433,0.7272727272727273,0.0011235138341230575,7.978875107876811,0.5454545454545454,0.003475929382508751,0.3809459449940663,30394,5.27,2026-05-11 00:33:12
Chamelon,privgraph,1.5,0,0.09526386663711446,0.6818181818181818,0.015096226728149581,1.6392655131193121,0.5454545454545454,0.501130889443419,0.660228125132317,30996,6.03,2026-05-11 00:33:18
Chamelon,privgraph,1.5,1,0.15065150340300992,0.8181818181818182,0.0011777422003327244,1.659076780551054,0.5454545454545454,0.20934362717448424,0.44474520719237737,30414,6.09,2026-05-11 00:33:24
Chamelon,privgraph,1.5,2,0.1753631074988517,0.7727272727272727,0.0008528262649127537,2.804494336618295,0.5454545454545454,0.13965452906571194,0.4059376050215431,30461,5.84,2026-05-11 00:33:30
Chamelon,privgraph,1.5,3,0.14280167859254758,0.7727272727272727,0.0020287024324312647,4.49444787069863,0.5454545454545454,0.04974289587420077,0.38152236055472166,29928,5.45,2026-05-11 00:33:36
Chamelon,privgraph,1.5,4,0.16958223969371275,0.9545454545454546,0.002080142454065508,1.4184413367347233,0.5454545454545454,0.016552635658334317,0.3625190835307721,29499,5.94,2026-05-11 00:33:42
Chamelon,privgraph,1.5,5,0.16251802298280624,1.0,0.0022370735981534886,2.9852964009599456,0.5454545454545454,0.03467150511474814,0.3540623802871458,30139,5.57,2026-05-11 00:33:47
Chamelon,privgraph,1.5,6,0.16237249956352465,0.9090909090909091,0.0023773501365613793,2.8045074662477467,0.5454545454545454,0.1370782163784578,0.4282256819737542,30195,5.93,2026-05-11 00:33:53
Chamelon,privgraph,1.5,7,0.17807641224716766,0.9545454545454546,0.002039592263269476,1.5284036023819123,0.5454545454545454,0.003638042479515411,0.331562718396766,30142,5.86,2026-05-11 00:33:59
Chamelon,privgraph,1.5,8,0.18590705994335344,0.8181818181818182,0.0009095245331697879,2.523067466065664,0.4545454545454545,0.023148515487652305,0.361439319207195,29978,6.25,2026-05-11 00:34:05
Chamelon,privgraph,1.5,9,0.15746736501041583,0.8636363636363636,0.0015181182838660968,3.1536231880484062,0.5454545454545454,0.04187429009071692,0.3639135308242513,30264,5.74,2026-05-11 00:34:11
Chamelon,privgraph,2.0,0,0.19181245200790634,0.9090909090909091,0.001619438855002743,1.226908808246661,0.4545454545454545,0.018238944694420802,0.3064599534746772,29924,6.07,2026-05-11 00:34:17
Chamelon,privgraph,2.0,1,0.19945662022035415,0.9090909090909091,0.0021135929970641804,1.2956231959177797,0.5454545454545454,0.047658359839315635,0.34063345587143196,29845,6.01,2026-05-11 00:34:23
Chamelon,privgraph,2.0,2,0.17516601417833902,0.8636363636363636,0.0015259183008217764,1.0755429693378318,0.4545454545454545,0.017221217119829556,0.29387423526818574,29902,6.36,2026-05-11 00:34:29
Chamelon,privgraph,2.0,3,0.18691833587194875,0.9090909090909091,0.0012355402868042056,2.6801367603090216,0.5454545454545454,0.052940440742986504,0.37943509837634387,30291,5.92,2026-05-11 00:34:35
Chamelon,privgraph,2.0,4,0.17636364494361548,0.8636363636363636,0.001155729900238503,4.0282052639617065,0.5454545454545454,0.010127964529210953,0.3728321185496292,30339,5.77,2026-05-11 00:34:41
Chamelon,privgraph,2.0,5,0.19265897224300493,0.9090909090909091,0.0030954450853665828,1.1627159622152758,0.5454545454545454,0.18713863279220794,0.38999165558876075,30488,6.35,2026-05-11 00:34:47
Chamelon,privgraph,2.0,6,0.17693744835578665,0.9545454545454546,0.003038391634525864,1.1032708025257363,0.5454545454545454,0.1206103553221079,0.3446035526481705,30094,6.3,2026-05-11 00:34:54
Chamelon,privgraph,2.0,7,0.15476972105866266,0.8636363636363636,0.0019922050811872205,1.4118313766359158,0.5454545454545454,0.09437504165342853,0.39512394558664166,30361,6.14,2026-05-11 00:35:00
Chamelon,privgraph,2.0,8,0.19026452740165245,0.9090909090909091,0.002199519491494298,0.9861105298871069,0.4545454545454545,0.04777857248646795,0.31503614379665695,29801,6.13,2026-05-11 00:35:06
Chamelon,privgraph,2.0,9,0.18439436216373106,0.9090909090909091,0.00156151951830474,2.9331767072876382,0.5454545454545454,0.09368554074128531,0.3884785615487555,30551,6.11,2026-05-11 00:35:12
Chamelon,privgraph,2.5,0,0.20467128204441556,0.8636363636363636,0.0015656144620855086,1.0353125932384748,0.4545454545454545,0.01891119618791709,0.25928334323758695,29537,6.48,2026-05-11 00:35:19
Chamelon,privgraph,2.5,1,0.23240555669008148,0.8636363636363636,0.002986831118615525,0.7969024088233823,0.3636363636363636,0.06162649674545554,0.2429498816944297,30040,6.57,2026-05-11 00:35:25
Chamelon,privgraph,2.5,2,0.22202504187010613,0.9090909090909091,0.002979891114285794,1.3940992574056537,0.5454545454545454,0.10719131410103859,0.3503176268524461,30155,6.04,2026-05-11 00:35:31
Chamelon,privgraph,2.5,3,0.1866768763355819,0.8636363636363636,0.0020065094467717317,1.0883813151696549,0.4545454545454545,0.08748393736549902,0.3099140100586924,30091,6.27,2026-05-11 00:35:37
Chamelon,privgraph,2.5,4,0.1963640263908557,0.8636363636363636,0.0010738121598051764,0.9813679329553071,0.5454545454545454,0.04443706435391335,0.2787887532306865,29737,6.43,2026-05-11 00:35:44
Chamelon,privgraph,2.5,5,0.21175897445321154,0.7727272727272727,0.0015068326359575243,1.0701476968010086,0.4545454545454545,0.033186116222091354,0.2955440085328899,29997,6.19,2026-05-11 00:35:50
Chamelon,privgraph,2.5,6,0.2101328161952746,0.9090909090909091,0.002852981551381267,2.7362680108788924,0.5454545454545454,0.0018010592589284638,0.3230255505447844,29803,5.89,2026-05-11 00:35:56
Chamelon,privgraph,2.5,7,0.20394751334462333,0.8636363636363636,0.0010844029927101263,1.3250931278960874,0.4545454545454545,0.029485573629076438,0.280143108351195,29988,6.34,2026-05-11 00:36:02
Chamelon,privgraph,2.5,8,0.18800405068348466,0.9090909090909091,0.002519451252618501,1.2015607176011547,0.4545454545454545,0.15237134357574714,0.3492521604002833,30312,6.29,2026-05-11 00:36:09
Chamelon,privgraph,2.5,9,0.20284000825949877,0.8636363636363636,0.0015265873380048587,1.0887309192147683,0.4545454545454545,0.035774120026568,0.272775051646911,29904,6.35,2026-05-11 00:36:15
Chamelon,privgraph,3.0,0,0.2506361489049407,0.9090909090909091,0.0016265145669148264,0.8315784676929703,0.3636363636363636,0.049750932370606515,0.24480254015714228,29937,6.31,2026-05-11 00:36:21
Chamelon,privgraph,3.0,1,0.22574808824935547,0.9090909090909091,0.0019966790747727964,1.3265389195095953,0.4545454545454545,0.01026031993445665,0.2936800573245554,29712,6.43,2026-05-11 00:36:28
Chamelon,privgraph,3.0,2,0.19580621722346292,0.7272727272727273,0.0071056549561346735,1.1286629854657177,0.4545454545454545,0.2570652193512437,0.5022071525405715,30176,6.65,2026-05-11 00:36:34
Chamelon,privgraph,3.0,3,0.21210313516406612,0.9090909090909091,0.002063383244210644,0.8622194757651236,0.4545454545454545,0.20112610103505485,0.3800288479209524,30093,6.32,2026-05-11 00:36:41
Chamelon,privgraph,3.0,4,0.22839570067950296,0.9090909090909091,0.0019146536110651736,1.0707092319163687,0.3636363636363636,0.013145821604953123,0.24940182716922685,29706,6.31,2026-05-11 00:36:47
Chamelon,privgraph,3.0,5,0.22711802356152852,0.9090909090909091,0.002176341679523796,1.019722079139719,0.4545454545454545,0.029475003906993594,0.2834697153301638,29725,6.26,2026-05-11 00:36:53
