dataset,scheme,e1_r,e2_r,e3_r,epsilon,rep,nmi,evc_overlap,evc_mae,deg_kl,diam_rel,cc_rel,mod_rel,edges,comm_n,time_sec,timestamp
Enron,B_aggressive,0.2,0.6,0.20000000000000007,2.0,2,0.36169595766936274,0.6428571428571429,0.003933068181622655,1.5942269916884397,0.0,1.8782924995426682,0.015807561625713756,122116,17,127.05,2026-05-12 10:14:50
Enron,B_aggressive,0.2,0.6,0.20000000000000007,2.0,3,0.3573172931101637,0.7619047619047619,0.00411090497407873,1.5497154270013027,0.07692307692307691,2.0952995401028365,0.06428132148646604,132036,18,126.69,2026-05-12 10:15:55
Enron,B_aggressive,0.2,0.6,0.20000000000000007,2.0,4,0.3611789003980541,0.7648809523809523,0.0036559932847021696,1.595774378872774,0.15384615384615383,1.7718860661128186,0.08198686920693926,124355,20,130.45,2026-05-12 10:16:34
Enron,B_aggressive,0.2,0.6,0.20000000000000007,2.0,5,0.34321536987873363,0.4851190476190476,0.0053164098387761035,1.6008367039275633,0.07692307692307691,3.432424421977415,0.4004571015931837,122906,21,132.07,2026-05-12 10:17:02
Enron,B_aggressive,0.2,0.6,0.20000000000000007,2.0,6,0.35604093033317125,0.5208333333333334,0.004840613035491119,1.526394340213143,0.07692307692307691,2.5763811841566966,0.2559520230047874,136202,17,127.84,2026-05-12 10:18:03
Enron,B_aggressive,0.2,0.6,0.20000000000000007,2.0,7,0.35821436491753944,0.7529761904761905,0.004168255894910303,1.5620415237095837,0.0,2.0296204535652516,0.021247759129305314,126007,20,127.07,2026-05-12 10:18:41
Enron,B_aggressive,0.2,0.6,0.20000000000000007,2.0,8,0.3568486056513748,0.7470238095238095,0.0035558334126829577,1.5534950798486564,0.15384615384615383,2.030194467238632,0.0650762431625788,135222,18,131.49,2026-05-12 10:19:14
Enron,B_aggressive,0.2,0.6,0.20000000000000007,2.0,9,0.3638907760275763,0.7827380952380952,0.00301858881666653,1.5789451222245332,0.07692307692307691,1.5822213519160044,0.10922359148682988,136918,18,136.47,2026-05-12 10:20:20
Enron,C_balanced,0.25,0.5,0.25,2.0,0,0.36811398682600177,0.8154761904761905,0.002508364464413438,1.4949521925237086,0.07692307692307691,1.3641782259271567,0.13422586051059535,146938,14,135.22,2026-05-12 10:20:57
Enron,C_balanced,0.25,0.5,0.25,2.0,1,0.36141917547032504,0.8095238095238095,0.0031965328712108922,1.550740618371685,0.15384615384615383,1.8172940228071925,0.017743206866982532,145824,17,133.33,2026-05-12 10:21:27
Enron,C_balanced,0.25,0.5,0.25,2.0,2,0.3584275722193082,0.7976190476190477,0.003466738372003941,1.4668034209872198,0.07692307692307691,1.888101901796693,0.11242165439188744,155598,13,190.11,2026-05-12 10:23:30
Enron,C_balanced,0.25,0.5,0.25,2.0,3,0.367755355168234,0.8333333333333334,0.0020608446294554028,1.515794075238709,0.23076923076923073,1.2356183515510204,0.14340592370073377,150777,14,334.43,2026-05-12 10:26:31
Enron,C_balanced,0.25,0.5,0.25,2.0,4,0.346313665140107,0.49404761904761907,0.0056460966809900055,1.4737575284782782,0.0,2.651223082450933,0.2931797892166879,139167,16,351.69,2026-05-12 10:27:19
Enron,C_balanced,0.25,0.5,0.25,2.0,5,0.3623196893865167,0.7976190476190477,0.0026029598252048747,1.4847055275399856,0.07692307692307691,1.6136534375974476,0.04750297868644318,158826,13,256.26,2026-05-12 10:27:46
Enron,C_balanced,0.25,0.5,0.25,2.0,6,0.364122695262672,0.7857142857142857,0.0027961355325039094,1.5320514596071617,0.07692307692307691,1.597483598371132,0.08176279971631085,144146,15,138.32,2026-05-12 10:28:49
Enron,C_balanced,0.25,0.5,0.25,2.0,7,0.3655920940176666,0.8392857142857143,0.002802480300900511,1.4954914161326005,0.07692307692307691,1.5535761273209296,0.08018149179321578,148716,14,134.04,2026-05-12 10:29:33
Enron,C_balanced,0.25,0.5,0.25,2.0,8,0.3685421883291459,0.8154761904761905,0.0022891139703171684,1.5672536382068063,0.07692307692307691,1.2269184444880046,0.22989934482144225,140080,17,133.86,2026-05-12 10:30:00
Enron,C_balanced,0.25,0.5,0.25,2.0,9,0.35766822499766365,0.7797619047619048,0.003968453304641602,1.4461124404655392,0.07692307692307691,1.8535329849683826,0.15407652241456107,158931,12,134.34,2026-05-12 10:31:04
Enron,D_save_e3,0.15,0.55,0.29999999999999993,2.0,0,0.3504292751274604,0.7172619047619048,0.004317943349919066,1.534546996752364,0.0,2.280962079195679,0.20014934775807142,153031,17,133.96,2026-05-12 10:31:47
Enron,D_save_e3,0.15,0.55,0.29999999999999993,2.0,1,0.35224029121401473,0.7410714285714286,0.004746462831453473,1.5969486346424282,0.0,2.4810518113560205,0.1642334779361686,142181,19,132.87,2026-05-12 10:32:13
Enron,D_save_e3,0.15,0.55,0.29999999999999993,2.0,2,0.33757335491827245,0.5684523809523809,0.006360182926348843,1.4326282561078676,0.07692307692307691,2.95989047660828,0.3582449655163012,140274,18,135.04,2026-05-12 10:33:19
Enron,D_save_e3,0.15,0.55,0.29999999999999993,2.0,3,0.3492448955004161,0.7827380952380952,0.005446674507813312,1.5657939319357088,0.0,2.548001556575329,0.1688924617092126,131377,23,137.6,2026-05-12 10:34:04
Enron,D_save_e3,0.15,0.55,0.29999999999999993,2.0,4,0.35317220261042975,0.7708333333333334,0.0034279204804525173,1.478292732001316,0.07692307692307691,1.979794407118368,0.13510737252645846,150267,17,135.42,2026-05-12 10:34:28
Enron,D_save_e3,0.15,0.55,0.29999999999999993,2.0,5,0.34228307095545174,0.6071428571428571,0.006326152806449663,1.5422904314462464,0.15384615384615383,3.1342453557157985,0.3235620272602518,133797,20,130.91,2026-05-12 10:35:30
Enron,D_save_e3,0.15,0.55,0.29999999999999993,2.0,6,0.34711072068975796,0.7291666666666666,0.00486496611877022,1.5117735906438292,0.15384615384615383,2.3936239052676815,0.243452302836677,151919,18,133.7,2026-05-12 10:36:18
Enron,D_save_e3,0.15,0.55,0.29999999999999993,2.0,7,0.3476198671973149,0.6458333333333334,0.0048574634382049,1.591064325284683,0.15384615384615383,2.8420653623378125,0.2280702846963216,141847,19,132.87,2026-05-12 10:36:41
Enron,D_save_e3,0.15,0.55,0.29999999999999993,2.0,8,0.35680694467805196,0.7113095238095238,0.003911431848214451,1.5465383945230609,0.07692307692307691,2.081620738911941,0.1004534700223741,140888,19,131.19,2026-05-12 10:37:41
Enron,D_save_e3,0.15,0.55,0.29999999999999993,2.0,9,0.3561395419353104,0.75,0.0039571693809661536,1.5334363147893237,0.15384615384615383,2.0651319525758964,0.07476813901974629,137799,19,131.75,2026-05-12 10:38:30
Enron,E_low_e1,0.1,0.45,0.45,2.0,0,0.32278163760117273,0.36607142857142855,0.007554742792081886,1.384759752835338,0.15384615384615383,3.2646693685655794,0.4575258249710868,151232,20,134.83,2026-05-12 10:38:56
Enron,E_low_e1,0.1,0.45,0.45,2.0,1,0.32151644139695534,0.40773809523809523,0.010035796569663115,1.4485453806192707,0.30769230769230765,3.4469917867845496,0.47104595425649337,144521,20,132.06,2026-05-12 10:39:53
Enron,E_low_e1,0.1,0.45,0.45,2.0,2,0.3354478753278863,0.5684523809523809,0.007044968525159219,1.5181294030165413,0.15384615384615383,3.116102409984324,0.372290314014394,142595,21,128.47,2026-05-12 10:40:38
Enron,E_low_e1,0.1,0.45,0.45,2.0,3,0.3251142966513787,0.5297619047619048,0.007537314808489908,1.464042876585268,0.15384615384615383,3.2860865998529745,0.41932698104747845,152358,20,128.9,2026-05-12 10:41:05
Enron,E_low_e1,0.1,0.45,0.45,2.0,4,0.32524755868382166,0.45535714285714285,0.008370212547943697,1.3946503060216546,0.15384615384615383,3.51251668842475,0.4500282566187551,144349,22,126.66,2026-05-12 10:42:00
Enron,E_low_e1,0.1,0.45,0.45,2.0,5,0.3394960632821951,0.7261904761904762,0.005084973969477287,1.4183589167712223,0.15384615384615383,2.551498510411447,0.2793041359131293,153944,19,131.25,2026-05-12 10:42:50
Enron,E_low_e1,0.1,0.45,0.45,2.0,6,0.33512863113806296,0.6785714285714286,0.006521820571739496,1.4457666012478336,0.07692307692307691,2.7935119181419306,0.35590310312413953,156905,18,131.03,2026-05-12 10:43:16
Enron,E_low_e1,0.1,0.45,0.45,2.0,7,0.34072674303399014,0.7261904761904762,0.006128936632437888,1.499748198759763,0.23076923076923073,2.912145248480794,0.3317455909756555,153271,20,129.41,2026-05-12 10:44:09
Enron,E_low_e1,0.1,0.45,0.45,2.0,8,0.31731642781567165,0.38392857142857145,0.00971081098614692,1.464517148010164,0.23076923076923073,3.6196150523120028,0.48671748441965573,146032,21,126.1,2026-05-12 10:44:56
Enron,E_low_e1,0.1,0.45,0.45,2.0,9,0.3393507657763254,0.7202380952380952,0.005977841016710947,1.4830731237665182,0.0,2.9022027620029616,0.3152401069051421,151063,20,126.68,2026-05-12 10:45:23
Enron,F_e2_heavy,0.2,0.5,0.30000000000000004,2.0,0,0.3525489825782071,0.7559523809523809,0.004315354033153808,1.550378772017298,0.0,2.248120305521809,0.13690087759627373,141200,20,127.39,2026-05-12 10:46:16
Enron,F_e2_heavy,0.2,0.5,0.30000000000000004,2.0,1,0.34892940179547133,0.75,0.004804613339007856,1.5071264580481627,0.23076923076923073,2.3006055692321654,0.17094613226457117,142595,17,129.16,2026-05-12 10:47:05
Enron,F_e2_heavy,0.2,0.5,0.30000000000000004,2.0,2,0.35345832219507667,0.75,0.00406002575898116,1.5374530710594903,0.0,2.138424967554254,0.13388714432765728,146843,17,134.71,2026-05-12 10:47:37
Enron,F_e2_heavy,0.2,0.5,0.30000000000000004,2.0,3,0.35001767206063666,0.7261904761904762,0.004496678405661891,1.538955786862356,0.0,2.3693399503758132,0.17820955118783244,145478,17,134.56,2026-05-12 10:48:31
Enron,F_e2_heavy,0.2,0.5,0.30000000000000004,2.0,4,0.3398948564492182,0.6101190476190477,0.005742731862761275,1.5229490008641224,0.07692307692307691,2.7935045074004043,0.3452124041756174,150805,19,138.86,2026-05-12 10:49:24
Enron,F_e2_heavy,0.2,0.5,0.30000000000000004,2.0,5,0.3371367212481302,0.5297619047619048,0.005985945157563626,1.4435605098267554,0.0,3.162035906213575,0.4051904938993417,145475,17,134.94,2026-05-12 10:49:52
Enron,F_e2_heavy,0.2,0.5,0.30000000000000004,2.0,6,0.3350141489577602,0.43154761904761907,0.006496760448113633,1.4260278182519663,0.0,3.208595791652472,0.4145160203747471,147240,17,129.44,2026-05-12 10:50:40
Enron,F_e2_heavy,0.2,0.5,0.30000000000000004,2.0,7,0.33936993269973403,0.40476190476190477,0.007258602090738255,1.447408936728891,0.0,2.9712691243897504,0.3563304400233816,128363,19,123.25,2026-05-12 10:51:27
Enron,F_e2_heavy,0.2,0.5,0.30000000000000004,2.0,8,0.34066854460894347,0.5892857142857143,0.005873865816057724,1.4811521002172465,0.07692307692307691,2.869688343785986,0.3474837012618375,146785,17,127.06,2026-05-12 10:51:59
Enron,F_e2_heavy,0.2,0.5,0.30000000000000004,2.0,9,0.3565331986825989,0.7589285714285714,0.004280938758522808,1.54115249693704,0.0,2.2773402758044132,0.10377339156086762,136637,18,115.72,2026-05-12 10:52:36
