eps,e1_r,e2_r,e3_r,Q_noisy,comm_count,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
2.0,0.3,0.1,0.6,0.07053473580699876,4,0,0.06613869720917685,0.7727272727272727,0.005463007397288578,8.778077390347088,0.6363636363636362,0.3722084089756195,0.543618213357593
2.0,0.3,0.2,0.5,0.07053473580699876,4,0,0.1546482363587772,0.8636363636363636,0.001594134218936194,2.8369430713690234,0.5454545454545454,0.09373051117322381,0.4271890745484768
2.0,0.3,0.30000000000000004,0.4,0.07053473580699876,4,0,0.17754597708616676,0.7727272727272727,0.0024690235360287148,3.9131310660074465,0.5454545454545454,0.15987130327365803,0.43809776690019075
2.0,0.3,0.4,0.3,0.07053473580699876,4,0,0.15950611559029482,0.7272727272727273,0.006402835393331322,1.3178702143559275,0.5454545454545454,0.21877188945799625,0.47816307782069123
2.0,0.3,0.5,0.2,0.07053473580699876,4,0,0.1564295669490539,0.7272727272727273,0.007677374244503291,1.295053574732121,0.4545454545454545,0.23710107769883218,0.4931383309200284
2.0,0.3,0.6,0.1,0.07053473580699876,4,0,0.17216782491771904,0.8181818181818182,0.0031839733338021687,1.4373502915390644,0.4545454545454545,0.10219994813850468,0.31655245511964486
2.0,0.3,0.1,0.6,0.0861622800655004,3,1,0.09330392167150767,0.8636363636363636,0.005978687354611729,5.843396208896877,0.5454545454545454,0.28783759457441127,0.4898669816930848
2.0,0.3,0.2,0.5,0.0861622800655004,3,1,0.15389949671314568,0.8181818181818182,0.003190277299867589,2.956727428351653,0.5454545454545454,0.17521017763755872,0.41959745669438536
2.0,0.3,0.30000000000000004,0.4,0.0861622800655004,3,1,0.15911165269534938,0.8181818181818182,0.002503917628112211,1.1678150118669393,0.5454545454545454,0.16108297280086012,0.4008137837363483
2.0,0.3,0.4,0.3,0.0861622800655004,3,1,0.17934608245654596,0.8636363636363636,0.004097092951323462,1.2521833994193003,0.4545454545454545,0.1781170204908381,0.3797470801067645
2.0,0.3,0.5,0.2,0.0861622800655004,3,1,0.1723622254418059,0.6818181818181818,0.004526804917683512,1.1652299181492811,0.3636363636363636,0.20500936646487952,0.39540186996522714
2.0,0.3,0.6,0.1,0.0861622800655004,3,1,0.13861578372725458,0.7272727272727273,0.0074886928829904584,1.093677127514761,0.3636363636363636,0.23942929544108754,0.39609918081506373
