method,eps,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,mat2_edges,orig_edges,edge_ratio,comm_n,mod_raw,mod_orig
Ours-V5-NoDegfix,0.5,0,0.2777468772289766,0.25833333333333336,0.01241895304345569,1.6907370900301024,0.07692307692307691,0.8355962628192201,0.019108191740487,26062,118489,0.22,13,0.645872,0.658454
Ours-V5-NoDegfix,0.5,1,0.28731907165604337,0.23333333333333334,0.02917599253989062,1.7109213344039018,0.23076923076923073,0.8171444334324567,0.014930239573384348,26898,118489,0.227,13,0.648623,0.658454
Ours-V5-NoDegfix,0.5,2,0.28240561453642626,0.19166666666666668,0.012059349071445812,1.70523363092543,0.07692307692307691,0.8300359634565715,0.008953764129336156,26961,118489,0.2275,13,0.652558,0.658454
Ours-V5-NoDegfix,0.5,3,0.26935365343201306,0.13333333333333333,0.009678271059890471,1.8703867337703004,0.0,0.8465969132561597,0.02612644276169526,24863,118489,0.2098,12,0.641251,0.658454
Ours-V5-NoDegfix,0.5,4,0.27119477931266484,0.23333333333333334,0.026830482919906713,1.7533967356037725,0.15384615384615383,0.8021108811066249,0.02235810972481947,25715,118489,0.217,14,0.643732,0.658454
Ours-V5-NoDegfix,1.0,0,0.3196398633844933,0.75,0.007960295042705571,2.049679935264254,0.07692307692307691,0.13769372593981524,0.3134588024280468,41230,118489,0.348,12,0.452056,0.658454
Ours-V5-NoDegfix,1.0,1,0.317876158160042,0.775,0.006554406959401867,2.1004852589387095,0.07692307692307691,0.052713430505663475,0.28602761410494093,42795,118489,0.3612,13,0.470118,0.658454
