dataset,eps,intra_ratio,inter_ratio,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,syn_edges
Chamelon,0.5,0.1,0.7,2,0.1842168416164418,0.09090909090909091,0.05994790857572485,4.8674485723627505,0.0909090909090909,0.10658762581123274,0.21630375718127076,5403
Chamelon,0.5,0.1,0.7,3,0.1931009969234972,0.2727272727272727,0.04567913464125928,4.042890704075983,0.4545454545454545,0.217566865901566,0.06496634307112738,6353
Chamelon,0.5,0.1,0.7,4,0.1822191452864939,0.045454545454545456,0.05254648021080444,5.34182774363172,0.1818181818181818,0.3032534159644346,0.19507945217107006,4956
Chamelon,0.5,0.1,0.8,0,0.16844031287980712,0.18181818181818182,0.06112906643844636,4.539390267326466,0.1818181818181818,0.18920015942525445,0.18811548249122678,4968
Chamelon,0.5,0.1,0.8,1,0.20271677723358225,0.22727272727272727,0.0543964916050986,4.667044367307983,0.0909090909090909,0.10849806166545492,0.19731767288078117,5941
Chamelon,0.5,0.1,0.8,2,0.17386684256947693,0.22727272727272727,0.04744457911108282,4.277682957270701,0.3636363636363636,0.07445554239272902,0.10950131811735409,5724
Chamelon,0.5,0.1,0.8,3,0.18001876408545414,0.045454545454545456,0.060954952906967834,4.643269997646266,0.0909090909090909,0.11207626835132528,0.21817899729684548,5804
Chamelon,0.5,0.1,0.8,4,0.1865720168342076,0.4090909090909091,0.05008780584421655,4.030212791506152,0.0909090909090909,0.1951733153902884,0.18103414256164246,6227
Chamelon,0.5,0.1,0.9,0,0.1795309285055074,0.09090909090909091,0.03253423388858833,4.1274846121202735,0.2727272727272727,0.18042024982464352,0.16351517968470752,5933
Chamelon,0.5,0.1,0.9,1,0.17327629556969967,0.0,0.057408515490455586,4.703180207025445,0.0909090909090909,0.1107386390645867,0.2079410898533082,5661
Chamelon,0.5,0.1,0.9,2,0.18726253031013548,0.5454545454545454,0.04621927912262118,3.8731179794682973,0.0,0.08228998907938552,0.13727908888441673,6181
Chamelon,0.5,0.1,0.9,3,0.1817920006284896,0.045454545454545456,0.029332869545396486,4.324705646374576,0.0909090909090909,0.14857531099374055,0.14809604236801505,6673
Chamelon,0.5,0.1,0.9,4,0.18391205877666747,0.045454545454545456,0.05694170844574769,5.085886367405253,0.2727272727272727,0.13992900643629014,0.22150690011839166,5219
Chamelon,0.5,0.1,1.0,0,0.2001190668260444,0.5,0.03710162301948736,3.239248440968028,0.0909090909090909,0.10747201959189846,0.0738946559477397,7839
Chamelon,0.5,0.1,1.0,1,0.18768021307719754,0.09090909090909091,0.06272965585390831,4.610356508014244,0.3636363636363636,0.15755280117873258,0.19632050033168727,5076
Chamelon,0.5,0.1,1.0,2,0.18818123427434125,0.09090909090909091,0.0495934039790992,3.9005567886311123,0.0,0.1188130033798647,0.1907497955646546,6514
Chamelon,0.5,0.1,1.0,3,0.20660680789486413,0.22727272727272727,0.04926955803741994,3.5347110459322497,0.0909090909090909,0.11445340548262303,0.14559967432737655,7217
Chamelon,0.5,0.1,1.0,4,0.17977577930464098,0.09090909090909091,0.030247745637328086,4.600421881334725,0.0909090909090909,0.08123975260089163,0.19371786425721105,5804
Chamelon,0.5,0.2,0.1,0,0.16042367114202194,0.13636363636363635,0.04874581405467888,4.15675142157483,0.2727272727272727,0.22657813875983288,0.21515804321774484,5828
Chamelon,0.5,0.2,0.1,1,0.1631437250769541,0.0,0.03204503457020444,4.1625095671860395,0.0,0.22346972036192325,0.15268997487909364,7108
Chamelon,0.5,0.2,0.1,2,0.16149532404889758,0.13636363636363635,0.05742445712708902,4.029188232362625,0.0909090909090909,0.22398987634784528,0.2206792838302745,6356
Chamelon,0.5,0.2,0.1,3,0.17242016073898225,0.3181818181818182,0.04759525718456709,4.07194055088537,0.0,0.18515884638347804,0.21625513238457447,6385
Chamelon,0.5,0.2,0.1,4,0.1592367913900476,0.18181818181818182,0.047578306502030036,4.352018690259255,0.1818181818181818,0.1675670572831529,0.20954176344597492,6262
Chamelon,0.5,0.2,0.2,0,0.1540739294098313,0.0,0.05376777489786251,4.5349501821779405,0.0,0.20401724108131133,0.2424251804372999,6187
Chamelon,0.5,0.2,0.2,1,0.1309429836917082,0.0,0.06676090905945703,4.962633012067219,0.3636363636363636,0.3287049044755404,0.23819793823251897,4959
Chamelon,0.5,0.2,0.2,2,0.15426634704583858,0.13636363636363635,0.03463025834809945,3.6586979828799384,0.2727272727272727,0.21507101573122694,0.11973319220744655,7028
Chamelon,0.5,0.2,0.2,3,0.13895734161628043,0.09090909090909091,0.05848984801604942,4.537166708276203,0.2727272727272727,0.2968640150109399,0.23962125764022382,4921
Chamelon,0.5,0.2,0.2,4,0.17807832817418615,0.045454545454545456,0.04018949914092176,3.5257357128581046,0.0909090909090909,0.24029948171027854,0.16303487785494616,7311
Chamelon,0.5,0.2,0.3,0,0.1557767152990039,0.045454545454545456,0.05981563542611985,5.000728471874229,0.4545454545454545,0.3001692818092297,0.23885366092778948,4474
Chamelon,0.5,0.2,0.3,1,0.14051116152784598,0.22727272727272727,0.05509865498882321,4.151906267420071,0.0909090909090909,0.24715178485809017,0.201930740337159,5804
Chamelon,0.5,0.2,0.3,2,0.15078342903338948,0.0,0.043384026027018456,4.538534509257232,0.4545454545454545,0.22156560166502523,0.19900207821108346,5745
