inter_ratio,exper,eps,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,mat2_edges,edge_ratio,comm_n,mod_raw
0.05,0,1.5,0.3160593899506012,0.7727272727272727,0.004656816074686604,1.404494762467667,0.4545454545454545,0.43136172951880847,0.032465394784336604,28198,0.8989,5,0.673124
0.05,1,1.5,0.3007790962198748,0.4090909090909091,0.0041677393712879545,1.2422205146974443,0.3636363636363636,0.34645387032809755,0.03573460806823204,27635,0.8809,4,0.67085
0.05,2,1.5,0.34273676301796674,0.8636363636363636,0.0027805317194848256,1.4098432140579025,0.4545454545454545,0.2318688087349272,0.08805423686056629,27823,0.8869,3,0.634451
0.05,3,1.5,0.3130616453329307,0.8636363636363636,0.004919111410232885,1.6763645235897209,0.3636363636363636,0.45660658129552506,0.06455422171947008,27407,0.8736,5,0.6508
0.05,4,1.5,0.3091235760160773,0.9090909090909091,0.008275192506702228,1.4554055596272926,0.4545454545454545,0.09185380376808985,0.2706575957479677,28783,0.9175,4,0.507411
0.1,0,1.5,0.3112102381928976,0.9090909090909091,0.0022033824105574763,1.2020220299149051,0.4545454545454545,0.27497993810688914,0.06812523779460071,27480,0.876,4,0.648315
0.1,1,1.5,0.3132147227525369,0.8181818181818182,0.0053972298652477215,1.472136336492075,0.3636363636363636,0.2866605013316821,0.14641993057907987,27708,0.8832,4,0.593845
0.1,2,1.5,0.28985103804717194,0.9090909090909091,0.004645837287533454,1.3216216868668664,0.3636363636363636,0.42941277979925085,0.05368511577105603,27154,0.8656,5,0.658361
0.1,3,1.5,0.31970650315600335,0.7727272727272727,0.0039125528662791705,1.5956646035084756,0.3636363636363636,0.3773324017401036,0.05622049767709628,26519,0.8453,5,0.656598
0.1,4,1.5,0.3086165243558712,0.8181818181818182,0.0028202048589119626,1.0799566071145539,0.4545454545454545,0.1912788751314781,0.10986372903735861,28553,0.9102,3,0.619277
0.15,0,1.5,0.28184753133629026,0.6818181818181818,0.005069076091698785,1.2633895149642975,0.3636363636363636,0.2976424635236235,0.06572647707372536,27937,0.8905,4,0.649984
