inter_ratio,exper,eps,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,mat2_edges,edge_ratio,comm_n,mod_raw
0.15,1,1.5,0.34786422382485027,0.9416666666666667,0.0033363490606525903,1.1645596802075349,0.23076923076923073,0.5304778049818578,0.2149699259673688,117185,0.989,6,0.520125
0.15,2,1.5,0.3396961705369331,0.9666666666666667,0.002831937772015134,1.2835792797483054,0.0,0.41021013168949455,0.14684352431839207,110334,0.9312,10,0.565263
0.15,3,1.5,0.34954457251399673,0.975,0.0031575378061379548,1.2380078773795857,0.15384615384615383,0.4751210634771818,0.1719376556224343,114210,0.9639,8,0.548636
0.15,4,1.5,0.3579381340818762,0.9666666666666667,0.002070075641539963,1.288830849668625,0.23076923076923073,0.35861240704784625,0.11856510040358692,108767,0.918,9,0.583999
0.2,0,1.5,0.30160811256276265,0.95,0.0007446266233799061,1.0795749064051374,0.15384615384615383,0.2304518062260004,0.012376378676093614,112069,0.9458,10,0.670755
0.2,1,1.5,0.3048705904749098,0.9583333333333334,0.0023939109533768657,0.9937297988039318,0.15384615384615383,0.4510191250232392,0.14063330658575698,116047,0.9794,8,0.569377
0.2,2,1.5,0.3243857786426711,0.9583333333333334,0.0018870863192784924,1.0738016948143128,0.15384615384615383,0.4008348436772407,0.10287150961869293,114633,0.9675,8,0.594397
0.2,3,1.5,0.3178003874874853,0.9583333333333334,0.0029313323373661142,0.9474513883637906,0.15384615384615383,0.45756244639731875,0.13234706128941257,115758,0.977,8,0.574867
0.2,4,1.5,0.30730565774950913,0.9583333333333334,0.00262118661590366,1.08088600456349,0.0,0.4372833176134562,0.15530760839173843,113232,0.9556,9,0.559655
0.3,0,1.5,0.24829137917636984,0.9333333333333333,0.0023049708583223793,0.848389452490358,0.15384615384615383,0.4360016991879429,0.15482247257002124,115464,0.9745,9,0.559976
0.3,1,1.5,0.27530006194888645,0.9583333333333334,0.0020979667430111757,0.890098142227401,0.23076923076923073,0.4396449776502651,0.18352469259682086,112877,0.9526,8,0.540959
0.3,2,1.5,0.2615062001537426,0.9666666666666667,0.00181282210244482,0.8402650621154875,0.15384615384615383,0.43601972070992745,0.16569036754036817,115072,0.9712,8,0.552776
0.3,3,1.5,0.25434240308859835,0.9666666666666667,0.0036900156814188715,0.8334924969022712,0.07692307692307691,0.546584245880782,0.25780734087735746,116069,0.9796,9,0.491743
0.3,4,1.5,0.24958048039935285,0.9416666666666667,0.0031662645837954506,0.8373671543297092,0.0,0.5026672642086127,0.21321378056140045,115583,0.9755,9,0.521289
0.4,0,1.5,0.20128318420602906,0.9583333333333334,0.0028706993321106944,0.7002683768860073,0.15384615384615383,0.49787089421015174,0.26675813613905097,113862,0.9609,9,0.485813
0.4,1,1.5,0.2178143121317512,0.9416666666666667,0.003476318551252913,0.6560264882472886,0.15384615384615383,0.5540334514159014,0.28793394049260834,116286,0.9814,8,0.471783
0.4,2,1.5,0.19391867714269023,0.9666666666666667,0.003001707435533167,0.7089461909254865,0.15384615384615383,0.49564454543861547,0.21517280212808024,115779,0.9771,10,0.519991
0.4,3,1.5,0.21821282802989747,0.95,0.003251002478610955,0.6131965432910989,0.0,0.5238216329635983,0.26214021317617636,115541,0.9751,8,0.488872
0.4,4,1.5,0.2027698891748541,0.95,0.0029930083397695342,0.7083558878464356,0.23076923076923073,0.5034559675252042,0.24889790812585524,115829,0.9776,9,0.497646
0.5,0,1.5,0.17172245887778517,0.9666666666666667,0.003639259895053548,0.6112457050047944,0.23076923076923073,0.5702794141836532,0.3342331692845634,115608,0.9757,9,0.441107
0.5,1,1.5,0.2125397107756137,0.9416666666666667,0.0024526264705128854,0.5604502411579139,0.30769230769230765,0.5247261315697062,0.3010869178332589,115321,0.9733,8,0.463068
0.5,2,1.5,0.1968716933418433,0.9583333333333334,0.0026752055274995865,0.6744008172424639,0.23076923076923073,0.5252959016612088,0.3091498399682255,115162,0.9719,8,0.457726
