eps,e1_r,e2_r,e3_r,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
2,0.05,0.8,0.15,0,0.14740565143312023,0.5909090909090909,0.007515796500280167,1.4173419389599609,0.5454545454545454,0.31831327040879587,0.5011354895135383
2,0.05,0.8,0.15,1,0.11794367362999977,0.6818181818181818,0.00866356344894711,1.0237445748541179,0.4545454545454545,0.40020699819054745,0.6102150062495874
2,0.05,0.8,0.15,2,0.13601510844609893,0.7727272727272727,0.0027375877334494436,2.95725176858312,0.5454545454545454,0.198250045922291,0.41911340002742736
2,0.1,0.75,0.15,0,0.1448610961613246,0.5909090909090909,0.011330718923029113,1.1503648145867844,0.3636363636363636,0.31015087709059724,0.5429455404385396
2,0.1,0.75,0.15,1,0.11118151572803757,0.7272727272727273,0.012728044359719536,1.1011657965154515,0.5454545454545454,0.4472401144002166,0.6570768755383929
2,0.1,0.75,0.15,2,0.19854882924630185,0.8636363636363636,0.005444727185557275,1.2337971258903493,0.4545454545454545,0.18300406877850134,0.39843415088425266
2,0.15,0.7,0.15,0,0.17827484676505784,0.8181818181818182,0.0015896795959328377,1.094913040700085,0.4545454545454545,0.14613437047500635,0.36758677629569336
2,0.15,0.7,0.15,1,0.20639836068458467,0.8636363636363636,0.002996715145092187,0.8724016004345178,0.4545454545454545,0.16269379712573157,0.34919460557637766
2,0.15,0.7,0.15,2,0.22372902976627312,0.8181818181818182,0.001890909497954489,1.0671298004130074,0.4545454545454545,0.03371038413992889,0.23770033602295987
2,0.2,0.65,0.15,0,0.2311469048198263,0.9090909090909091,0.0037294946263122784,0.9320907755989013,0.3636363636363636,0.061587251764082605,0.19989486565582315
2,0.2,0.65,0.15,1,0.2080778760485604,0.8636363636363636,0.003841006299782547,0.9114789356448136,0.3636363636363636,0.07617751178077664,0.2095544492622297
2,0.2,0.65,0.15,2,0.13494713680317952,0.6818181818181818,0.006172373090723246,1.2628021736699935,0.4545454545454545,0.28412229950122125,0.4550090204563392
2,0.25,0.6,0.15,0,0.20980758408212244,0.9090909090909091,0.0043835178332720295,0.8982876624987497,0.3636363636363636,0.07247081693976198,0.220815663592633
2,0.25,0.6,0.15,1,0.22709492121840347,0.8181818181818182,0.0015121111305488814,0.885182586937306,0.4545454545454545,0.05500900920061869,0.2171375849938476
2,0.25,0.6,0.15,2,0.1938439483023439,0.8181818181818182,0.002566303351595753,1.0895511821647281,0.4545454545454545,0.016661985069419384,0.26911161311969417
2,0.3,0.55,0.15,0,0.20369643214512825,0.8181818181818182,0.0025659723557504206,0.9400938002717006,0.4545454545454545,0.010622996115197137,0.2624465512587871
2,0.3,0.55,0.15,1,0.20863600871683263,0.7727272727272727,0.002033873924911414,1.245962003415654,0.4545454545454545,0.029751506926414588,0.2581412333038539
2,0.3,0.55,0.15,2,0.1943208413925736,0.8636363636363636,0.0021694444014723883,0.7459778702235491,0.3636363636363636,0.06357279669884645,0.21409791009220494
2,0.35,0.5,0.15,0,0.15378393552776717,0.8181818181818182,0.0039982780630167395,1.186237990578782,0.4545454545454545,0.2096491145347111,0.43057377827353877
2,0.35,0.5,0.15,1,0.2141303204941141,0.8636363636363636,0.0035741180818289722,1.0290571237864574,0.4545454545454545,0.18948618184845664,0.36014240484743004
2,0.35,0.5,0.15,2,0.20228680880311234,0.8181818181818182,0.0017254584379561668,0.8834501768915554,0.3636363636363636,0.0464102193831478,0.2156595814392872
2,0.4,0.45,0.15,0,0.1968740908334393,0.8181818181818182,0.00229254004237581,1.075461375008783,0.3636363636363636,0.038410395714801,0.22601900463967398
2,0.4,0.45,0.15,1,0.22409653649963981,0.8181818181818182,0.001720798577048734,1.0785198832408052,0.4545454545454545,0.03145768494600709,0.2329526240537331
2,0.4,0.45,0.15,2,0.14778996775466866,0.8181818181818182,0.00398989356905376,1.1772525299403425,0.4545454545454545,0.12632054414863228,0.3034759929437445
2,0.45,0.4,0.15,0,0.19799452163839767,0.9090909090909091,0.0032610934298340586,0.9894387816541429,0.3636363636363636,0.08417016097752744,0.24347068670781918
2,0.45,0.4,0.15,1,0.20948773892860692,0.7727272727272727,0.001007022823782659,1.0933420992572482,0.4545454545454545,0.018741927139952725,0.24882366757177343
2,0.45,0.4,0.15,2,0.16398578932081115,0.8636363636363636,0.0020156082894630337,0.9883218126220714,0.4545454545454545,0.024507636594012863,0.2819229024328664
2,0.5,0.35,0.15,0,0.16633850004533476,0.9090909090909091,0.004534611168364293,0.9978555852132219,0.4545454545454545,0.062233095780832914,0.27240536682008676
2,0.5,0.35,0.15,1,0.18095478885541505,0.7272727272727273,0.004343504307746054,1.232678950767492,0.3636363636363636,0.19665288725329394,0.41221272051263425
2,0.5,0.35,0.15,2,0.1795492652783873,0.8636363636363636,0.0016822035319540055,1.2180179875975452,0.4545454545454545,0.04895311540779549,0.26144178761334586
2,0.55,0.3,0.15,0,0.18035995076537137,0.8181818181818182,0.003289431333757205,1.1245308991921257,0.4545454545454545,0.07758400713621345,0.296762644271622
2,0.55,0.3,0.15,1,0.14702753119689954,0.8181818181818182,0.003348275803227005,1.3449828054958042,0.5454545454545454,0.12862063168965887,0.3647755561271387
