epsilon,e1_r,e2_r,e3_r,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
2.0,0.1,0.2,0.7,0.0,0.21345369807177714,0.7727272727272727,0.01639890416338553,3.4828299733696357,0.2727272727272727,0.19462347972784524,0.19949568791437267
2.0,0.1,0.2,0.7,1.0,0.1991673670475004,0.7272727272727273,0.008410185744492555,3.5361020497275986,0.1818181818181818,0.10833198595681015,0.3738340401976012
2.0,0.1,0.2,0.7,2.0,0.22344507746487638,0.8181818181818182,0.002815323965450915,2.45941457746937,0.0909090909090909,0.21433128149399636,0.44615200477311756
2.0,0.1,0.2,0.7,3.0,0.22018698297387848,0.7727272727272727,0.0014604441901647515,3.4668978730314843,0.2727272727272727,0.04484057031224519,0.6022833262298424
2.0,0.1,0.2,0.7,4.0,0.19898116438783278,0.18181818181818182,0.05121224593701277,4.707908133940571,0.1818181818181818,0.4865347398817652,0.05911406460192944
2.0,0.1,0.2,0.7,5.0,0.2130251036392754,0.45454545454545453,0.0037730597127916695,2.8992722962142907,0.0,0.06517006196932466,0.33734956585091086
2.0,0.1,0.2,0.7,6.0,0.2145075687102781,0.7727272727272727,0.01328208301353141,3.750224705982983,0.2727272727272727,0.2729822562713406,0.1509478851815484
2.0,0.1,0.2,0.7,7.0,0.2443657908693792,0.8181818181818182,0.0053343225760405085,2.455625955154805,0.1818181818181818,0.3150650816967296,0.2250553917293888
2.0,0.1,0.2,0.7,8.0,0.22617086461214117,0.5909090909090909,0.0174004694040517,3.2584511618189866,0.0,0.110926225286112,0.13915978927397785
2.0,0.1,0.2,0.7,9.0,0.22739615665376023,0.5,0.009539747253329617,2.987665985033615,0.1818181818181818,0.4758571759316993,0.17851313927213014
2.0,0.1,0.3,0.6,0.0,0.26180739019577215,0.7727272727272727,0.0017158598973788166,2.3484157505168106,0.1818181818181818,0.5230828440828973,0.18319508563287284
2.0,0.1,0.3,0.6,1.0,0.2354404524253929,0.6818181818181818,0.006787967988984459,3.2842241297045933,0.1818181818181818,0.4806955562757765,0.23766902095839773
2.0,0.1,0.3,0.6,2.0,0.26498962020276273,0.9090909090909091,0.003159390925862786,1.596766367300742,0.0909090909090909,0.10188798603273629,0.42996400417910463
2.0,0.1,0.3,0.6,3.0,0.23794836863680902,0.8181818181818182,0.009234791218669073,3.6064656985290595,0.1818181818181818,0.06471708651297935,0.48860631792319753
2.0,0.1,0.3,0.6,4.0,0.22905364802264255,0.6818181818181818,0.0035886098970676367,2.3695859242359463,0.4545454545454545,0.06281311675912377,0.45705915199715247
2.0,0.1,0.3,0.6,5.0,0.25750957314523565,0.8181818181818182,0.0008049736390506816,1.8936452512383681,0.0,0.25025345872314436,0.3249905097600862
2.0,0.1,0.3,0.6,6.0,0.2615913599367515,0.8181818181818182,0.005163418868137681,2.480687328312376,0.0909090909090909,0.3051765124786142,0.20216161146606326
2.0,0.1,0.3,0.6,7.0,0.24859881166802691,0.7272727272727273,0.0015671807606438479,2.2152789681468303,0.4545454545454545,0.13196988852919186,0.5038506624420445
2.0,0.1,0.3,0.6,8.0,0.22604547711098666,0.8181818181818182,0.0033922970864328442,2.216159716166304,0.0909090909090909,0.061985205249731286,0.5337724070666023
2.0,0.1,0.3,0.6,9.0,0.27348401396187005,0.8181818181818182,0.0019899337879761892,2.1978748931882337,0.0,0.3788376337247775,0.194512420796408
2.0,0.1,0.4,0.5,0.0,0.2662745670941685,0.8181818181818182,0.007144164568891728,1.705958014390366,0.0909090909090909,0.03935776779472296,0.607522279431498
2.0,0.1,0.4,0.5,1.0,0.3029372777356894,0.7727272727272727,0.0030575904917433876,1.8184545792423208,0.0909090909090909,0.2871188759852603,0.08429851090458453
2.0,0.1,0.4,0.5,2.0,0.26594047785263614,0.7727272727272727,0.008002452577228475,1.7142505039836395,0.1818181818181818,0.010808426548719012,0.35932174511293163
2.0,0.1,0.4,0.5,3.0,0.2776267077955606,0.8181818181818182,0.0009157386635602508,2.1775621843478072,0.0909090909090909,0.3524672974303327,0.20145796074208913
2.0,0.1,0.4,0.5,4.0,0.2880961685708637,0.8181818181818182,0.0011026128087665136,1.596027189214046,0.0909090909090909,0.22039208355463735,0.24395437198076325
2.0,0.1,0.4,0.5,5.0,0.2174134446087763,0.7727272727272727,0.004652975701571367,1.7517767413260763,0.0909090909090909,0.20532297561892274,0.7191062076662964
2.0,0.1,0.4,0.5,6.0,0.28865537808969677,0.7727272727272727,0.01069663658100956,2.3691676125591585,0.0909090909090909,0.3710589717468429,0.060938278076428265
2.0,0.1,0.4,0.5,7.0,0.265243308348571,0.9090909090909091,0.003379844978670392,1.6246952739891982,0.4545454545454545,0.004944864057488978,0.32793060565579285
2.0,0.1,0.4,0.5,8.0,0.25155980546362466,0.6818181818181818,0.004030662855417306,2.6693286362959,0.1818181818181818,0.37818486859777467,0.19814120011717437
2.0,0.1,0.4,0.5,9.0,0.26625053175048324,0.8181818181818182,0.004582915057148544,2.1400500327469065,0.0909090909090909,0.1706756642795733,0.40253085109168024
2.0,0.1,0.5,0.4,0.0,0.2278864187828501,0.8181818181818182,0.005213564766109042,1.4246620389091604,0.1818181818181818,0.23385769903001413,0.7031878870336657
2.0,0.1,0.5,0.4,1.0,0.29274542041431084,0.8181818181818182,0.0010659863894043552,1.4352154926813883,0.0909090909090909,0.19349113279138522,0.23213566298736885
2.0,0.1,0.5,0.4,2.0,0.2786621201536544,0.9545454545454546,0.004114977204189505,1.3910201024624353,0.0,0.06659740684318174,0.4267654115177897
2.0,0.1,0.5,0.4,3.0,0.2609698846925367,0.9545454545454546,0.005020132995553217,1.4664879137221452,0.1818181818181818,0.19418072005802775,0.5641494400789943
2.0,0.1,0.5,0.4,4.0,0.24107310836976387,1.0,0.0045602479161544396,1.5614891756816855,0.1818181818181818,0.1563251524880902,0.6515056256719042
2.0,0.1,0.5,0.4,5.0,0.2540895650284295,0.5909090909090909,0.008599980620324134,1.9796699635444632,0.2727272727272727,0.12915942220268378,0.3682779318788386
2.0,0.1,0.5,0.4,6.0,0.2979931584992876,0.8181818181818182,0.0013982849446532069,1.5110038551951006,0.1818181818181818,0.21327912515574673,0.1836263390120941
2.0,0.1,0.5,0.4,7.0,0.2627839222063554,0.7727272727272727,0.0021838265499746433,1.6907221543010458,0.2727272727272727,0.4094847477198838,0.13751138341200023
2.0,0.1,0.5,0.4,8.0,0.29314011827252945,0.8636363636363636,0.004909555315293355,1.7557144364941728,0.1818181818181818,0.37697551399118323,0.07732097667923782
2.0,0.1,0.5,0.4,9.0,0.26726402427687884,0.8636363636363636,0.0032115598636969517,2.060344198982899,0.0,0.11234608883414492,0.3133043821450227
2.0,0.1,0.6,0.3,0.0,0.31285907980198235,0.9090909090909091,0.005690426959518693,1.4453172407381885,0.0909090909090909,0.1205432638753499,0.3969933572573141
2.0,0.1,0.6,0.3,1.0,0.3341183058347998,0.8636363636363636,0.0024377540373566233,1.5119439803946428,0.1818181818181818,0.2245943566522957,0.18025633219687257
2.0,0.1,0.6,0.3,2.0,0.31997022939183567,0.9090909090909091,0.001341568779851583,1.3929883237166165,0.1818181818181818,0.28574938979712633,0.141106084571643
2.0,0.1,0.6,0.3,3.0,0.32322838282167615,0.8636363636363636,0.004947263215050716,1.6237260376118958,0.0,0.0065414519552343935,0.2973068682902883
2.0,0.1,0.6,0.3,4.0,0.28901285123351134,0.6818181818181818,0.0007771885879287367,1.396838273705387,0.0909090909090909,0.10269956303679575,0.23825345687634128
2.0,0.1,0.6,0.3,5.0,0.30899572396135444,0.8181818181818182,0.004670012057085212,1.361176020517393,0.0,0.01930757831633526,0.3614731243247648
2.0,0.1,0.6,0.3,6.0,0.3127797048314361,0.7272727272727273,0.002439392419761305,1.792211904502849,0.0,0.3440123509332767,0.1421910733069909
2.0,0.1,0.6,0.3,7.0,0.31738523848356165,0.7727272727272727,0.0022384476603948965,1.62154507522325,0.0909090909090909,0.32349315706964044,0.1002305548713098
2.0,0.1,0.6,0.3,8.0,0.29877556289844426,0.9090909090909091,0.005200481231824896,1.2899308340194464,0.0909090909090909,0.12939710569942436,0.4335296785347971
2.0,0.1,0.6,0.3,9.0,0.325991319985309,0.9545454545454546,0.002173635844361912,1.3942665516925148,0.0909090909090909,0.37364492367199553,0.08986840270332577
2.0,0.2,0.2,0.6,0.0,0.23613996091179568,0.7727272727272727,0.0025627463238074434,1.4751930586634598,0.0909090909090909,0.06250332109969234,0.35843330438261856
2.0,0.2,0.2,0.6,1.0,0.2557634155278967,0.9545454545454546,0.0020213230741707587,1.596853068068528,0.0909090909090909,0.014883557034850302,0.3079123173564797
2.0,0.2,0.2,0.6,2.0,0.24708926788736707,0.0,0.013827865028978958,2.878622955882702,0.0909090909090909,0.2737329163492944,0.077088374541562
2.0,0.2,0.2,0.6,3.0,0.2754966170874199,0.8636363636363636,0.0012375936893246702,1.9901630483110382,0.0909090909090909,0.379095922804135,0.17864095467008578
2.0,0.2,0.2,0.6,4.0,0.27033268692629037,0.7727272727272727,0.0013299197468466125,1.893720969980766,0.1818181818181818,0.23409582451085498,0.2164913532198411
2.0,0.2,0.2,0.6,5.0,0.2283982146783122,0.6818181818181818,0.012251134201666862,2.0162068718130297,0.0909090909090909,0.05737048505314844,0.3340760816414246
