method,eps,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,mat2_edges
PrivGraph,0.5,0,0.014288796039160412,0.22727272727272727,0.018159817543863106,13.911995676947521,0.6363636363636362,0.8427414395106705,0.6555922298463531,31112
PrivGraph,0.5,1,0.01899978161115553,0.36363636363636365,0.02570189290135091,11.803524642365753,0.6363636363636362,0.7538284998606167,0.6164984316480785,30797
PrivGraph,0.5,2,0.0128243983645677,0.09090909090909091,0.02179532771496344,14.281662894725583,0.6363636363636362,0.8321621336420483,0.6383405847848768,30681
PrivGraph,0.5,3,0.014099122689252903,0.09090909090909091,0.016041601395594327,15.325515574642814,0.6363636363636362,0.8576995795227026,0.6660651438141948,30774
PrivGraph,0.5,4,0.011267604083362186,0.13636363636363635,0.017010856204284674,14.864851113641654,0.6363636363636362,0.8699101732981331,0.6748523920017183,30526
PrivGraph,0.5,5,0.01356887323136904,0.09090909090909091,0.02431494288681567,12.918234841480206,0.6363636363636362,0.8675852433704017,0.6714998868036924,30316
PrivGraph,0.5,6,0.015623614163399713,0.36363636363636365,0.017892576373383904,13.452600463742424,0.6363636363636362,0.8182594242155601,0.6369033834758038,30704
PrivGraph,0.5,7,0.012077132276757793,0.13636363636363635,0.01972342159655678,15.394127270500064,0.6363636363636362,0.8463911193923321,0.6509890534767067,30344
PrivGraph,0.5,8,0.012032096933336352,0.13636363636363635,0.015763809765506828,14.835386691274952,0.6363636363636362,0.8431035819361299,0.6620339158629381,29836
PrivGraph,0.5,9,0.021615357632027828,0.5909090909090909,0.023645125887797436,11.72087647380797,0.6363636363636362,0.7040854499978726,0.5986217891864772,31033
PrivGraph,1.0,0,0.06736553154854028,0.7727272727272727,0.0027387206534087803,6.47129062731047,0.6363636363636362,0.32534884864445895,0.5623566494857373,30772
PrivGraph,1.0,1,0.07046822443896215,0.5909090909090909,0.006269870711953465,9.93853973605715,0.6363636363636362,0.297259602025119,0.5213839363169728,30572
PrivGraph,1.0,2,0.07670807080335271,0.6818181818181818,0.0029584672964463304,8.888067554947614,0.5454545454545454,0.2400618856174307,0.5237078483504612,30142
PrivGraph,1.0,3,0.06808795138377154,0.7272727272727273,0.001623195333350521,6.1743914539490055,0.6363636363636362,0.27049322711438034,0.5355294139176098,30908
PrivGraph,1.0,4,0.11725159855510738,0.6818181818181818,0.008892187506955494,5.840168577321322,0.6363636363636362,0.22536544228118366,0.42847781969809545,30339
PrivGraph,1.0,5,0.06535158549270248,0.6363636363636364,0.002033934979591272,9.83744647001601,0.6363636363636362,0.30812287772657626,0.562453207881663,30868
PrivGraph,1.0,6,0.10264651735726778,0.7727272727272727,0.004798483638123901,5.669879633759906,0.5454545454545454,0.18485994007622808,0.4417258705332801,30665
PrivGraph,1.0,7,0.07794243623179031,0.6818181818181818,0.0021138300621183896,6.14196827821938,0.5454545454545454,0.2759886716728885,0.5383523134749421,30218
PrivGraph,1.0,8,0.061781780228997295,0.6818181818181818,0.004959771851990868,6.362653348706077,0.5454545454545454,0.31536505591437314,0.5212312833702395,30692
PrivGraph,1.0,9,0.12324534943124181,0.8181818181818182,0.0031472814487534246,5.490181991284649,0.6363636363636362,0.11250904743439298,0.4358043452205751,30504
PrivGraph,1.5,0,0.16984099451909157,0.7272727272727273,0.001363461520020639,1.466102911757959,0.5454545454545454,0.04625832068483066,0.3356587432083137,29914
PrivGraph,1.5,1,0.15526663465291943,0.9090909090909091,0.0022008735077943095,3.018126955584657,0.5454545454545454,0.14438112775607478,0.4389440382250399,30368
PrivGraph,1.5,2,0.15842354782807705,0.8636363636363636,0.005458324818704023,4.510313334312521,0.5454545454545454,0.268488115594179,0.49716647879562587,30587
PrivGraph,1.5,3,0.1736722071384223,0.9090909090909091,0.0012883641737456329,2.9837697751970578,0.5454545454545454,0.08851282674813853,0.4036800615500319,30422
PrivGraph,1.5,4,0.1344244517825387,0.9545454545454546,0.0015574477772767154,2.776686417109749,0.5454545454545454,0.06579787789072156,0.38935935880410677,30343
PrivGraph,1.5,5,0.15505681276358718,0.7727272727272727,0.0030881535665073026,1.7590210218442226,0.5454545454545454,0.15130846540897658,0.46813862501704534,30092
PrivGraph,1.5,6,0.18496751283730484,0.7727272727272727,0.002047534256632799,1.6086264304202451,0.5454545454545454,0.1218076645410741,0.4562978961532575,30831
PrivGraph,1.5,7,0.15195228887593096,0.8636363636363636,0.0044092003235258435,2.835567309216797,0.5454545454545454,0.060969506972137356,0.36142964351083573,29990
PrivGraph,1.5,8,0.14980647181983167,0.9090909090909091,0.00506451698360822,3.0421128106033133,0.5454545454545454,0.21849907842324162,0.46080261115185744,30316
PrivGraph,1.5,9,0.1569950102436477,0.8181818181818182,0.0023546277917168017,1.2771666859830013,0.5454545454545454,0.03320267667980972,0.3328442074027291,30175
PrivGraph,2.0,0,0.20052554652093857,0.9545454545454546,0.002964759574307987,1.482268145364913,0.5454545454545454,0.050676212048249,0.31863548058179547,29418
PrivGraph,2.0,1,0.18636053280576756,0.9090909090909091,0.0018447028138473354,2.705935207342943,0.5454545454545454,0.09389042529937822,0.37366581683933536,30273
PrivGraph,2.0,2,0.1625019918818153,0.8181818181818182,0.0015296745349774473,2.8923168249013798,0.5454545454545454,0.14689072860964703,0.38655581173457504,30507
PrivGraph,2.0,3,0.15855669392176014,0.9090909090909091,0.0033088915692277166,2.663739734018066,0.5454545454545454,0.13005492617505268,0.37850915898522836,30256
PrivGraph,2.0,4,0.18526843104445803,0.8181818181818182,0.0012414640718913371,1.4843872838189562,0.5454545454545454,0.026455449455375972,0.3346635143638207,29935
PrivGraph,2.0,5,0.2106832910934566,0.9090909090909091,0.001378268063032855,1.1860565925125908,0.4545454545454545,0.04573010144386123,0.2688180720557861,29570
PrivGraph,2.0,6,0.1621946780938248,0.7727272727272727,0.001195923868984184,3.278633045608086,0.5454545454545454,0.13335973439833476,0.41071726500060696,30776
PrivGraph,2.0,7,0.2109274785380832,0.8636363636363636,0.0012503972922328348,2.9942659633686346,0.5454545454545454,0.06983322010709381,0.3827391752860084,30127
PrivGraph,2.0,8,0.17728625809821982,0.9090909090909091,0.0009342817291577697,1.7234769056454429,0.4545454545454545,0.015721329150218732,0.3092566143673992,29927
PrivGraph,2.0,9,0.181816522489598,0.8181818181818182,0.001002372782630708,2.5667794282236254,0.5454545454545454,0.008146103555256733,0.31024438223285833,30041
PrivGraph,2.5,0,0.21700611185411028,0.8181818181818182,0.001259986537283965,1.094524939611759,0.4545454545454545,0.005906331881137691,0.2688470897650512,29962
PrivGraph,2.5,1,0.2048762350488399,0.9090909090909091,0.0009500877267224824,1.0497550590588607,0.4545454545454545,0.010137205152182253,0.306699379933765,29958
PrivGraph,2.5,2,0.18195851279643413,0.8181818181818182,0.003579963983694388,2.941301370489279,0.5454545454545454,0.31579199918217715,0.48028927961870765,30676
PrivGraph,2.5,3,0.23143283507549428,0.8636363636363636,0.001892575521623886,1.135405881587396,0.4545454545454545,0.014209809663416074,0.25818993751955743,29775
PrivGraph,2.5,4,0.21992493779138086,0.8636363636363636,0.003983275787663088,1.0240813931372565,0.4545454545454545,0.0834085098275469,0.28998504009507237,29901
PrivGraph,2.5,5,0.22719307639133973,0.8181818181818182,0.0018532543611776615,0.9904702853402341,0.4545454545454545,0.008210174871041576,0.255808225983285,29673
PrivGraph,2.5,6,0.2268745439155316,0.8636363636363636,0.0022800924641425565,0.9177054140091871,0.4545454545454545,0.029092257291690737,0.24385235450763015,29731
PrivGraph,2.5,7,0.15669031262603536,0.6363636363636364,0.00579973252783313,1.1349236388339534,0.5454545454545454,0.25866349874508493,0.49380401571853944,30622
PrivGraph,2.5,8,0.2025999761154146,0.8181818181818182,0.0009562492212886231,1.0543872549334843,0.4545454545454545,0.0010021526961996165,0.2567062982153924,29692
PrivGraph,2.5,9,0.1799851403110348,0.8636363636363636,0.004128670999718063,1.107265541352587,0.4545454545454545,0.28827501401578187,0.4613119904340613,30399
PrivGraph,3.0,0,0.24718929008888244,0.9090909090909091,0.001096600972641796,0.7994952438023322,0.4545454545454545,0.03146678088416331,0.2233465638884374,29675
PrivGraph,3.0,1,0.20905415863348456,0.8636363636363636,0.002921199509698089,1.0451622090703492,0.4545454545454545,0.1696551993262632,0.3430686202819237,30304
PrivGraph,3.0,2,0.250624685298428,0.9090909090909091,0.003814396661784408,0.9221815876723449,0.3636363636363636,0.23383986675505714,0.371527041552737,30574
PrivGraph,3.0,3,0.22917927687364878,0.9090909090909091,0.0021919851887795393,1.0890134630490982,0.4545454545454545,0.05036179466287654,0.23617704257851097,29848
PrivGraph,3.0,4,0.21110370225051459,0.9545454545454546,0.0018925987977892176,1.1446977228934965,0.4545454545454545,0.14232716826399583,0.3493847056018224,30395
PrivGraph,3.0,5,0.18765557566894164,0.9090909090909091,0.0028608459203360707,1.0923421977292542,0.4545454545454545,0.11259499669233305,0.317498464317006,30174
PrivGraph,3.0,6,0.2299312336401552,0.8636363636363636,0.001415505840715462,1.0143535354556943,0.3636363636363636,0.015370099221847781,0.23428008221988536,29693
PrivGraph,3.0,7,0.22880644626661462,0.8636363636363636,0.002425712325590272,2.534522299618845,0.5454545454545454,0.10930640569777389,0.3494298602936787,29954
PrivGraph,3.0,8,0.23388488018277648,0.9090909090909091,0.003187586869634913,0.9378414129378057,0.4545454545454545,0.07056292048844859,0.24636771157529322,29978
PrivGraph,3.0,9,0.2185624129149199,0.8636363636363636,0.0019139957532096081,0.8842809195156526,0.4545454545454545,0.07968103516686645,0.2768112566586784,30145
PrivGraph,3.5,0,0.24417589736595813,0.8636363636363636,0.0028404718011629,1.036040198441386,0.4545454545454545,0.09153765058428291,0.2541197875791477,30021
PrivGraph,3.5,1,0.25098020014847794,0.9090909090909091,0.0025254165524142853,1.1611562025355833,0.4545454545454545,0.04437286176451339,0.26209801155528417,29786
PrivGraph,3.5,2,0.19924665694190766,0.9090909090909091,0.0023146453311074793,0.9694191467575427,0.4545454545454545,0.05959208420760842,0.28820619004850506,30145
PrivGraph,3.5,3,0.23429487928520815,0.8636363636363636,0.001609915853316549,0.7893261610849297,0.4545454545454545,0.05466625937724229,0.23729372513089392,29525
PrivGraph,3.5,4,0.1989253042900609,0.8636363636363636,0.0020776222781751165,1.2080186221330436,0.5454545454545454,0.1040636678000008,0.30466589008719014,30347
PrivGraph,3.5,5,0.22244147614132054,0.8636363636363636,0.003108745511693611,1.0831131237596625,0.4545454545454545,0.0832912528577191,0.2859219419715731,29931
PrivGraph,3.5,6,0.14965318201216504,0.7272727272727273,0.006740606379788446,1.0193689785166398,0.4545454545454545,0.27702791855842107,0.4766545521149099,30570
PrivGraph,3.5,7,0.24080834629632003,0.9090909090909091,0.0016436789875033562,0.8730801128332595,0.3636363636363636,0.018287463117154398,0.22780880192193537,29801
PrivGraph,3.5,8,0.1844700522973167,0.8636363636363636,0.0039907521838664604,1.2295974385987924,0.4545454545454545,0.22380859024829858,0.39264978999221345,30312
PrivGraph,3.5,9,0.22086250543399125,0.9090909090909091,0.002582919479132469,1.1689219775145252,0.4545454545454545,0.16422259961696048,0.3809049347494382,30130
Ours-R,0.5,0,0.27310416838203444,0.13636363636363635,0.01727535842047701,4.413775509449902,0.1818181818181818,0.1664889368485986,0.07778626938679295,5946
Ours-R,0.5,1,0.26461322871401055,0.22727272727272727,0.028634486164903276,3.8618063276632597,0.0909090909090909,0.2136310480933423,0.0807191131605784,6449
Ours-R,0.5,2,0.24891011254015674,0.0,0.009598071641197187,4.461147791604365,0.0909090909090909,0.15592892057152422,0.12495889568495724,5155
Ours-R,0.5,3,0.2551551185022009,0.13636363636363635,0.05114194018644596,4.1683479335192635,0.0909090909090909,0.08620147964685303,0.09785922451403241,5737
Ours-R,0.5,4,0.2673028955047637,0.18181818181818182,0.0352433796424112,3.6113657069904543,0.1818181818181818,0.2179375415358607,0.03176326358219014,6423
Ours-R,0.5,5,0.2535025367826994,0.09090909090909091,0.01978765553973449,3.822228254038137,0.0909090909090909,0.19807343534657904,0.05826817423440487,6688
Ours-R,0.5,6,0.24384997881361548,0.22727272727272727,0.055667906356814845,4.819814530581006,0.2727272727272727,0.11184181483795576,0.13663215535411935,5275
Ours-R,0.5,7,0.24336131098775596,0.09090909090909091,0.036457777122775044,4.288051426192014,0.1818181818181818,0.19046006787426648,0.10054867907189065,5457
Ours-R,0.5,8,0.26213980740867976,0.22727272727272727,0.04516534774603976,3.8685521996228287,0.0,0.1079028120564091,0.10855018041068942,6441
Ours-R,0.5,9,0.2611018792642294,0.22727272727272727,0.038484240117283124,4.04538072673257,0.0909090909090909,0.16668321154222923,0.07177458812743633,5637
Ours-R,1.0,0,0.24385204813955433,0.5,0.025178303307826767,3.535811767202425,0.0,0.10504720788703825,0.060895735174153816,7587
