variant,eps,exper,edges,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
stage1,0.5,3,14579,0.26516985161185574,0.18181818181818182,0.0035848592356165364,3.1463749069435303,0.2727272727272727,0.7287991344538759,0.03928971049501777
stage2,0.5,3,13217,0.3171001788370953,0.22727272727272727,0.015545004962063803,3.6605069621715107,0.1818181818181818,1.0371628379150184,0.12400546516133248
both,0.5,3,13217,0.31312147806788243,0.22727272727272727,0.01423415507947251,3.5892683370308625,0.2727272727272727,1.0382187494131714,0.12437105112301247
none,0.5,4,15090,0.26718937123868114,0.09090909090909091,0.01551450473141702,3.09423625062957,0.3636363636363636,0.7347839979573821,0.04458955830089169
stage1,0.5,4,15090,0.26718937123868114,0.09090909090909091,0.015513977934999479,3.094638973726571,0.3636363636363636,0.7346693874326657,0.04458955830089169
stage2,0.5,4,13736,0.31862695549519743,0.09090909090909091,0.02119824682877107,3.682860955166109,0.3636363636363636,1.0305861525860074,0.12597799755920386
both,0.5,4,13736,0.31992957480660567,0.09090909090909091,0.02119486951564214,3.7279263284700006,0.3636363636363636,1.0338561395028545,0.12717456415395123
none,0.5,5,21307,0.2775925397415897,0.13636363636363635,0.024797703957948204,2.3794441642343305,0.2727272727272727,0.6391699237065435,0.04470178053661114
stage1,0.5,5,21307,0.2775925397415896,0.13636363636363635,0.02474277928589154,2.4455797358122657,0.2727272727272727,0.6396538564934582,0.04476575374910668
stage2,0.5,5,20009,0.31470278377088867,0.09090909090909091,0.01716327277412424,2.560003998228253,0.4545454545454545,0.8342038513165974,0.10774002627872789
both,0.5,5,20009,0.31079498128032834,0.09090909090909091,0.01615050371893151,2.579807492355395,0.3636363636363636,0.8370289322522888,0.10875380112684144
none,0.5,6,15255,0.2642381737773654,0.09090909090909091,0.018355578205014832,3.133687355859268,0.2727272727272727,0.6158580478454225,0.020217720486789943
stage1,0.5,6,15255,0.2641948235106837,0.09090909090909091,0.01836328729326012,3.1300414417412763,0.2727272727272727,0.6158804539151028,0.02014324760399749
stage2,0.5,6,13905,0.3173067806066691,0.09090909090909091,0.020009209646764305,3.471080819359028,0.3636363636363636,0.8614017101228756,0.050147936835592474
both,0.5,6,13905,0.3125862574015274,0.09090909090909091,0.019991184706272282,3.209796204571264,0.3636363636363636,0.8634651614485112,0.05335919558146719
none,0.5,7,16703,0.2599729024810286,0.18181818181818182,0.010714938240001658,3.597465219195854,0.3636363636363636,0.7022798693483774,0.025325142346657406
stage1,0.5,7,16703,0.26019689766525844,0.18181818181818182,0.010712491292117486,3.5929261167485698,0.3636363636363636,0.7022467880813424,0.025271594885227174
stage2,0.5,7,15379,0.312123140765983,0.18181818181818182,0.018566133683734314,3.7910037428669114,0.2727272727272727,0.942879831186141,0.0968482548671543
both,0.5,7,15379,0.3125496101237504,0.18181818181818182,0.01853652919943322,3.174109271663837,0.2727272727272727,0.9441761125306363,0.09688778080410135
none,0.5,8,21517,0.2710900410186799,0.22727272727272727,0.0044752953363216,2.1532205877635757,0.2727272727272727,0.6120551534418718,0.013864289588269156
stage1,0.5,8,21517,0.2713754671918137,0.22727272727272727,0.004475786022165252,2.113667557948123,0.2727272727272727,0.6121296220418909,0.013864289588269156
stage2,0.5,8,20235,0.30700639794343787,0.22727272727272727,0.006937484667984804,2.5812976605345024,0.3636363636363636,0.7899561056052326,0.07306649573574778
both,0.5,8,20235,0.3054530119759247,0.22727272727272727,0.006978335775725366,2.434499885427296,0.1818181818181818,0.7930075079798461,0.07323459528798534
none,0.5,9,18500,0.28013712740603774,0.18181818181818182,0.011408766443713596,2.5447671966376784,0.3636363636363636,0.6392307565619887,0.02705640446080331
stage1,0.5,9,18500,0.28013712740603774,0.18181818181818182,0.01143479689216797,2.5937641807713536,0.3636363636363636,0.6392399182290693,0.02705640446080331
stage2,0.5,9,17169,0.3199005624185356,0.18181818181818182,0.014854605542048031,2.6515550087978976,0.3636363636363636,0.863029414386087,0.09812071249584207
both,0.5,9,17169,0.31819074828315425,0.18181818181818182,0.014888760616282016,2.688408163519015,0.3636363636363636,0.8630146232316276,0.09989468828045858
none,1.0,0,23999,0.26479316479409565,0.6818181818181818,0.004100391906941701,1.927539788149356,0.2727272727272727,0.5098549474826443,0.07498569083289004
stage1,1.0,0,23999,0.2650243366236116,0.6818181818181818,0.004075258860212749,1.901643831025083,0.2727272727272727,0.5096891877964888,0.07495909474232065
stage2,1.0,0,22855,0.30591428492390504,0.6818181818181818,0.0039096778851783745,2.043102041173569,0.3636363636363636,0.6266660783721699,0.033993878861602475
both,1.0,0,22855,0.29985403371333086,0.6818181818181818,0.0038911034470061434,1.9945891361447947,0.3636363636363636,0.6259237889185111,0.03422083159241805
none,1.0,1,25136,0.2664588579043275,0.0,0.0020894015158190505,1.4381689969580314,0.3636363636363636,0.4882173443640808,0.026905271957502537
stage1,1.0,1,25136,0.26649583965367607,0.0,0.0021234463393895882,1.439606439589744,0.3636363636363636,0.48837498928560613,0.026905271957502377
stage2,1.0,1,24018,0.297929869830413,0.0,0.0019117760743938466,1.6639659092683217,0.3636363636363636,0.6123462425081708,0.0741631837361564
both,1.0,1,24018,0.2989688420814856,0.0,0.0019031052781197282,1.5403739069881706,0.3636363636363636,0.611892329072949,0.073703704833928
none,1.0,2,28000,0.2868003192494074,0.7727272727272727,0.007168354952168635,1.2962328564282972,0.3636363636363636,0.3448173370851676,0.1252315174794085
stage1,1.0,2,28000,0.28698738340611624,0.7727272727272727,0.007124646734965611,1.2858473328901976,0.3636363636363636,0.34422901674582157,0.1252315174794085
stage2,1.0,2,27232,0.3100834224245955,0.7727272727272727,0.0069155248698545,1.389701440962044,0.4545454545454545,0.408383575028501,0.0972380597405178
both,1.0,2,27232,0.3078256009395566,0.7272727272727273,0.006912385094841062,1.3795352507845713,0.3636363636363636,0.4090075005715681,0.09651988476192332
none,1.0,3,27319,0.29350952854259954,0.7272727272727273,0.007120605565745264,1.4496365191007885,0.3636363636363636,0.47070527766599723,0.08386396681139838
stage1,1.0,3,27319,0.2947530443294925,0.7272727272727273,0.00708592147495695,1.5161458644784227,0.3636363636363636,0.4711079862176114,0.08386396681139838
stage2,1.0,3,26531,0.3160505019784831,0.7272727272727273,0.006905259720130167,1.5751757580679489,0.4545454545454545,0.5435227204160931,0.05574275970379832
both,1.0,3,26531,0.3191591709317661,0.7272727272727273,0.006843523121918362,1.639623666398323,0.3636363636363636,0.5431459944810273,0.05533451262687678
none,1.0,4,23993,0.2815922673609173,0.45454545454545453,0.002670870330248372,1.5705582607475148,0.3636363636363636,0.5611036816104634,0.050482008568867004
stage1,1.0,4,23993,0.2821715580392049,0.45454545454545453,0.00261336796389309,1.560039623760425,0.3636363636363636,0.5616629596868655,0.050482008568867004
stage2,1.0,4,22925,0.30964925599502874,0.5454545454545454,0.004120691274852996,1.8231681574449654,0.3636363636363636,0.6957777760299227,0.09853732844915264
both,1.0,4,22925,0.3089917723997972,0.5,0.004190052144594659,1.7238809761866913,0.2727272727272727,0.6988917192611661,0.09856851436599129
none,1.0,5,23586,0.27351580926340696,0.22727272727272727,0.01828113175168689,1.9857304509253444,0.1818181818181818,0.443811020034099,0.0010929190228287377
stage1,1.0,5,23586,0.27401681693592383,0.22727272727272727,0.01812272111706493,1.8170067522908622,0.1818181818181818,0.4434075873559147,0.0011580364415323006
stage2,1.0,5,22433,0.30769428732447995,0.13636363636363635,0.01911823216325897,1.908920832418619,0.3636363636363636,0.5733065955091148,0.05174155903502043
both,1.0,5,22433,0.31124974473901523,0.13636363636363635,0.018922787750856082,1.8366580065525113,0.3636363636363636,0.5751194046466696,0.05087263672235524
none,1.0,6,26262,0.2706228134021666,0.6363636363636364,0.008447148236797436,1.982569283010385,0.3636363636363636,0.45155145074089215,0.1128128313265113
stage1,1.0,6,26262,0.2706605853764176,0.6363636363636364,0.008426709880087653,2.081287085273304,0.3636363636363636,0.4513322789382841,0.1127522614500319
stage2,1.0,6,25277,0.305714841286333,0.6363636363636364,0.008347266588291704,2.017114223092356,0.3636363636363636,0.5367564994166385,0.08304177519416925
both,1.0,6,25277,0.3022800012711911,0.6363636363636364,0.008266632102742805,2.158045983465682,0.3636363636363636,0.5386548330908966,0.08286372136250177
none,1.0,7,27106,0.28364385670049125,0.7272727272727273,0.006307039789492258,1.7166353585860445,0.3636363636363636,0.2893774111495571,0.1255761789339934
stage1,1.0,7,27106,0.28364385670049125,0.7272727272727273,0.006268227644746472,1.7063310421883062,0.3636363636363636,0.28813585180387546,0.12557617893399292
stage2,1.0,7,26212,0.3109790621067035,0.7272727272727273,0.006145603869693647,1.857042768772139,0.3636363636363636,0.36077871094280967,0.09509794194714799
both,1.0,7,26212,0.3092949656547348,0.7272727272727273,0.006137324718699308,1.816106329450943,0.3636363636363636,0.3615867441775628,0.09431857783247452
none,1.0,8,25480,0.2898018613359567,0.7727272727272727,0.004895083957461691,1.3663549172151437,0.3636363636363636,0.5498319831391217,0.012930488343262703
stage1,1.0,8,25480,0.28986450380783474,0.7727272727272727,0.004935040527341083,1.4873994699009523,0.3636363636363636,0.5499231145193052,0.012857655038090145
stage2,1.0,8,24535,0.31079205836960894,0.7272727272727273,0.003079549022292985,1.607162144672075,0.4545454545454545,0.6562846886401934,0.027458597083875724
both,1.0,8,24535,0.30981444912411654,0.7272727272727273,0.003078633188231079,1.6587451735650243,0.3636363636363636,0.6562227569563183,0.02778312886741455
none,1.0,9,22867,0.2733083488033135,0.7272727272727273,0.007536090183312642,1.6639826362115862,0.2727272727272727,0.714238788793879,0.008241285149204781
stage1,1.0,9,22867,0.27332161897796187,0.7272727272727273,0.0075470701861816555,1.7263965577272984,0.2727272727272727,0.71443627485157,0.008241285149204941
stage2,1.0,9,21808,0.31041320734330047,0.7272727272727273,0.007410134970810381,2.0486052721561463,0.3636363636363636,0.8488263637103562,0.03220686482344168
both,1.0,9,21808,0.3091381389224426,0.7272727272727273,0.007423107067538116,1.6749821831800147,0.3636363636363636,0.8482323439881109,0.03298609690388637
none,1.5,0,27514,0.3208956348424751,0.8636363636363636,0.009817210644617646,1.5987454627976683,0.3636363636363636,0.16070666860341448,0.22267735209544295
stage1,1.5,0,27514,0.32153691961579955,0.8636363636363636,0.009736420921508825,1.4818865265942833,0.3636363636363636,0.15996513354021438,0.22267735209544326
stage2,1.5,0,26887,0.3399808111972141,0.8636363636363636,0.009786167459782235,1.6875820127682724,0.3636363636363636,0.20010224792254472,0.2073793206493675
both,1.5,0,26887,0.3400052420344421,0.8636363636363636,0.009687388768963662,1.7629372204302554,0.3636363636363636,0.19872246006727473,0.2075994101555739
