method,eps,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,mat2_edges
PrivGraph,1.5,3,0.05843441782701288,0.9416666666666667,0.004316643091093666,1.5529585639835197,0.46153846153846145,0.5706655185867071,0.4230792954364506,117303
PrivGraph,1.5,4,0.055608750762853404,0.9416666666666667,0.004030902387117258,1.4659520118012503,0.46153846153846145,0.5514032366351184,0.39779808925891885,116771
PrivGraph,1.5,5,0.058679705821466234,0.925,0.0037737740556446327,1.6756328979131558,0.46153846153846145,0.544558641420782,0.40945540250615414,117491
PrivGraph,1.5,6,0.05603117843646321,0.9333333333333333,0.003449122956901619,1.7228174778652017,0.46153846153846145,0.5153164142359602,0.4077610238980504,117075
PrivGraph,1.5,7,0.0552567253981826,0.95,0.0037403975316193474,1.798218144111513,0.46153846153846145,0.5185400976036795,0.4046920138534412,117291
PrivGraph,1.5,8,0.057608238966369386,0.95,0.004202579303294222,1.5418028595664892,0.46153846153846145,0.5688814213257316,0.41734442118817094,117220
PrivGraph,1.5,9,0.05324887812456636,0.95,0.0029798573043728132,2.083935502328392,0.5384615384615384,0.4605085090077076,0.39984672742476746,117272
PrivGraph,2.0,0,0.0710338184442487,0.9333333333333333,0.0042842393353113815,0.8350533518335139,0.30769230769230765,0.5814466152785516,0.3464491707286225,115791
PrivGraph,2.0,1,0.07340441793414292,0.975,0.00466506926629765,1.0473520660847593,0.3846153846153846,0.6356809415462817,0.4387539156609285,116510
PrivGraph,2.0,2,0.06454836742291985,0.95,0.00410947087689377,1.1383944845052256,0.3846153846153846,0.5801639219791133,0.37470942324790973,116956
PrivGraph,2.0,3,0.06606165943971032,0.9666666666666667,0.004063850129526744,1.0148173053860379,0.3846153846153846,0.5665443146630001,0.3383406561857735,117191
PrivGraph,2.0,4,0.06317634271198475,0.9666666666666667,0.004258113728520033,0.9098559436846043,0.3846153846153846,0.598761825729554,0.37026715258872045,117495
