inter_ratio,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,mat2_edges
0.05,0,0.3404489201948029,0.8636363636363636,0.001489960123261247,1.701926486444779,0.1818181818181818,0.24846941777826112,0.09829406956567674,20090
0.05,1,0.32519442393510095,0.9090909090909091,0.004046977227678134,1.277580194980097,0.1818181818181818,0.010247012341378047,0.20188876030988692,21970
0.05,2,0.30567144701689936,0.7272727272727273,0.0032383964762923313,1.504421511981166,0.3636363636363636,0.02608181307539878,0.28768764681506803,21853
0.05,3,0.3211195357413678,0.8636363636363636,0.001641039794896945,1.6370471693419537,0.0,0.2617220249186635,0.15533263958942983,18869
0.05,4,0.3260265845162818,0.7727272727272727,0.0013217429404238424,1.716545501625622,0.0909090909090909,0.46993806465224575,0.10549369016805682,16753
0.05,5,0.347382397525932,0.8636363636363636,0.0020708856000003733,1.673615273311643,0.0,0.3251280038439939,0.1302814931734298,18677
0.05,6,0.34976978258884955,0.9090909090909091,0.0018815752360654711,1.2026924195171333,0.3636363636363636,0.12206402012754798,0.08883077810535334,23000
0.05,7,0.35423562169016715,0.9090909090909091,0.002642516780942175,1.6082994997160216,0.2727272727272727,0.09189088386488091,0.10523766872789755,22284
0.05,8,0.3676090996377765,0.8636363636363636,0.0010755479523205278,1.4473141065341137,0.0909090909090909,0.20335789179526922,0.07826432971676173,22026
0.05,9,0.32312677710309434,0.8636363636363636,0.0018697875881801154,1.5857709434973377,0.0,0.0801935150385059,0.23948257917649887,20357
0.1,0,0.32509965871225255,0.8636363636363636,0.0019370161658848562,1.3231757261549864,0.0,0.24247557080283305,0.10777567885316036,20503
0.1,1,0.3441766837409475,0.9090909090909091,0.002065533167039301,1.2590899817866612,0.3636363636363636,0.12168812066953104,0.08363942842510219,22611
0.1,2,0.3434088894849123,0.8636363636363636,0.0020363763938563515,1.1651358730169092,0.3636363636363636,0.0889325112193409,0.11507837580677925,22767
0.1,3,0.3158442502193214,0.7727272727272727,0.0024378364925626487,1.5193865312315116,0.1818181818181818,0.1928768341936335,0.21437051021486997,19435
0.1,4,0.33482577207347947,0.8181818181818182,0.0027222143946109847,1.4458620370315667,0.0,0.1591150253461385,0.10289100022001611,21960
0.1,5,0.3551233143815943,0.8181818181818182,0.0014725916223961482,1.3370055356405164,0.3636363636363636,0.1444797963495975,0.0944590620056665,22197
0.1,6,0.3110831941861897,0.7272727272727273,0.00848893617593147,1.5456093146712595,0.1818181818181818,0.12619455127859808,0.4870530511674543,22162
0.1,7,0.3151504919269587,0.8181818181818182,0.003019104636811672,1.554851426574149,0.0,0.016130510564823133,0.28941299317665836,21055
0.1,8,0.3299929630110972,0.9090909090909091,0.004456065400380854,1.4873934049440787,0.0909090909090909,0.17514177697899264,0.3485683661066071,23177
0.1,9,0.30618231932462686,0.7727272727272727,0.003594971339037231,1.105134723637937,0.0,0.01197179812239926,0.37674127320343914,20709
0.15,0,0.35933507151962324,0.8636363636363636,0.0017930361518674388,1.2659792898702704,0.3636363636363636,0.084332182915982,0.10319147386603685,23117
0.15,1,0.34777049956639194,0.7727272727272727,0.002347134130936389,1.6748447094192263,0.0909090909090909,0.21386168933432617,0.09199737941500191,20642
0.15,2,0.2737865877338545,0.9090909090909091,0.0036139297992649477,1.3360351443013099,0.2727272727272727,0.05177476896973438,0.28773360020760996,21975
0.15,3,0.31644909514268316,0.8181818181818182,0.0011603351164997124,1.3671895285525106,0.0909090909090909,0.021846773398557277,0.25392071838778635,21400
0.15,4,0.32635432377730916,0.7727272727272727,0.0010313749657248205,1.3621420841365692,0.2727272727272727,0.25658286505082495,0.10763843654393451,19537
0.15,5,0.3420793567499873,0.7727272727272727,0.0010354817998481098,1.5148113602271898,0.0909090909090909,0.33382846158949747,0.09091847495178518,19581
0.15,6,0.32048317448453995,0.8181818181818182,0.0019136858633472878,1.2868244330984417,0.0909090909090909,0.00967233342821671,0.2685176951077846,21848
0.15,7,0.34791315815445506,0.7272727272727273,0.0013174096523449438,1.28283138476914,0.3636363636363636,0.08373693254175604,0.10062733215844068,23425
