version,eps,exper,nodes,edges,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
original,0.5,0,12008,116773,0.03624252247219701,0.175,0.014697710159573617,15.958971063514214,0.6153846153846153,0.9652818372022418,0.6189726433194473
improved,0.5,0,12008,12928,0.4072073486556758,0.075,0.03873563344894894,2.9832260685800165,0.30769230769230765,0.6311020062980249,0.3871804025155141
original,0.5,1,12008,118018,0.03802914792814179,0.14166666666666666,0.027280107537307467,17.883939193710734,0.6153846153846153,0.9595024319083452,0.6146940315289638
improved,0.5,1,12008,13578,0.4050955654425957,0.10833333333333334,0.03935229775519935,2.741176544778095,0.15384615384615383,0.6160725818766783,0.38112454351092534
original,0.5,2,12008,118079,0.037519089212614466,0.18333333333333332,0.029732084603704405,12.462010995359174,0.6153846153846153,0.9582982792346152,0.6129183794394072
improved,0.5,2,12008,14114,0.40380880130195046,0.16666666666666666,0.033170962684195816,2.7863071197486664,0.23076923076923073,0.6141470070114451,0.3804531656090601
original,0.5,3,12008,117085,0.03709923336242108,0.18333333333333332,0.036084914581353614,15.815874715613448,0.6153846153846153,0.9572649034313999,0.6098076036868229
improved,0.5,3,12008,13593,0.41034368666935445,0.18333333333333332,0.03674267802424474,3.0974958124438605,0.15384615384615383,0.5876244208950187,0.38044916212200325
original,0.5,4,12008,118634,0.03901863558738586,0.16666666666666666,0.031903673147744956,12.374942013054824,0.6153846153846153,0.9609539091056665,0.6142588810901377
improved,0.5,4,12008,14298,0.406224417392798,0.16666666666666666,0.035034287521054856,2.891840722320296,0.15384615384615383,0.6047190186148528,0.38808816804612517
original,0.5,5,12008,116608,0.038191972459458136,0.125,0.018690431885076495,16.165538161093902,0.6153846153846153,0.9663487303431942,0.6271910366652822
improved,0.5,5,12008,12151,0.40714147321325594,0.09166666666666666,0.041701256007470856,3.1809743490017564,0.30769230769230765,0.6077156023449505,0.39737568082302843
original,0.5,6,12008,117910,0.039516866030648856,0.21666666666666667,0.03346861856294585,12.488596578633658,0.6153846153846153,0.9557830664790424,0.6106457044075171
improved,0.5,6,12008,14013,0.40729585263608914,0.21666666666666667,0.034651967785884814,3.0607017733045065,0.30769230769230765,0.5912107274026612,0.3853260652156741
original,0.5,7,12008,118192,0.03652808535005125,0.15833333333333333,0.026187905986351716,12.727081144466133,0.6153846153846153,0.9615871103579409,0.6138005291747944
improved,0.5,7,12008,13875,0.40597185742496017,0.11666666666666667,0.03148481034173762,2.983466715846976,0.23076923076923073,0.6273910821475773,0.381413336990847
