version,eps,exper,nodes,edges,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
original,0.5,0,2277,30323,0.011640877413998102,0.0,0.034497074453718524,16.294672228652203,0.6363636363636362,0.8639183239068731,0.6684071122467016
improved,0.5,0,2277,4599,0.2804570256647456,0.09090909090909091,0.03508999448772594,4.788017293260663,0.0909090909090909,0.00984421425667849,0.17029968789509917
original,0.5,1,2277,31037,0.011411308801494125,0.045454545454545456,0.03265210322355563,15.438102935383101,0.6363636363636362,0.8471169838431416,0.6464485074899906
improved,0.5,1,2277,5730,0.30091183832984075,0.09090909090909091,0.03849206152266215,4.568677336504832,0.1818181818181818,0.05055223654006423,0.16377891136074224
original,0.5,2,2277,30887,0.01120106155445034,0.22727272727272727,0.013388465964660073,15.136419300407448,0.6363636363636362,0.8360767516843004,0.6481391604318174
improved,0.5,2,2277,5661,0.2989136940217051,0.22727272727272727,0.0459298785421814,4.777594792585239,0.1818181818181818,0.02944084192541923,0.14595794773663198
original,0.5,3,2277,30777,0.016726034167838362,0.3181818181818182,0.03161715079712841,13.42650980712197,0.6363636363636362,0.8047843865201922,0.6395861131393462
improved,0.5,3,2277,5905,0.29503228395444725,0.3181818181818182,0.048490039519124256,4.055871445252066,0.0909090909090909,0.07784663229189895,0.12718820856366286
original,0.5,4,2277,30984,0.010718935457154126,0.2727272727272727,0.019757382472163205,12.33371719684812,0.6363636363636362,0.819135148669388,0.6318015172078729
improved,0.5,4,2277,6688,0.3015306383483432,0.22727272727272727,0.019206896187914126,3.9620732816688418,0.1818181818181818,0.086295496832845,0.10605804181052503
original,0.5,5,2277,31086,0.010252887188612498,0.18181818181818182,0.024216595326647085,15.067104582308458,0.6363636363636362,0.8354265703225078,0.6526852717271895
improved,0.5,5,2277,5501,0.30105249909773313,0.18181818181818182,0.04245448149552858,4.606797999711485,0.1818181818181818,0.009591440680099721,0.15478753917302837
original,0.5,6,2277,30803,0.016237452962202744,0.2727272727272727,0.024805388434111186,15.172401655908239,0.6363636363636362,0.834391090527475,0.64494189378678
improved,0.5,6,2277,5538,0.30278204949462334,0.4090909090909091,0.04908299254936603,4.282079631776733,0.2727272727272727,0.03814141777675643,0.1535424695216604
original,0.5,7,2277,31340,0.008560859135556896,0.0,0.036087521522054355,15.080256032386865,0.6363636363636362,0.8324551917801163,0.6397835465275439
improved,0.5,7,2277,5953,0.294728242850258,0.09090909090909091,0.015492558611884845,4.379532735258067,0.1818181818181818,0.005739295041198538,0.15744371670907734
original,0.5,8,2277,30926,0.00907513990447296,0.22727272727272727,0.017304082242207856,12.505957426615305,0.6363636363636362,0.8246070469413455,0.6399189305843638
improved,0.5,8,2277,6472,0.2995998912250031,0.22727272727272727,0.04242770658747508,3.8091711163887085,0.0909090909090909,0.1273041446818809,0.11898578845601566
original,0.5,9,2277,30374,0.014870882856019054,0.045454545454545456,0.026203678281846266,13.376079795568565,0.6363636363636362,0.825320275426204,0.6373947458773016
improved,0.5,9,2277,6283,0.30505287287951,0.045454545454545456,0.03361510354590936,4.145750253283816,0.2727272727272727,0.1337769798331073,0.09446381385469693
original,0.5,10,2277,31517,0.013785168072956286,0.13636363636363635,0.018364950710718485,12.552554004205533,0.6363636363636362,0.8226456564867196,0.6372231002926503
improved,0.5,10,2277,6253,0.29761757849645315,0.13636363636363635,0.0423266820587576,4.250111432415052,0.1818181818181818,0.04418353791483035,0.14396917989387964
original,0.5,11,2277,30798,0.013620259203007693,0.045454545454545456,0.023477014011525243,14.120013716537148,0.6363636363636362,0.8464512811693746,0.6483505498450214
improved,0.5,11,2277,5599,0.28920099346415956,0.045454545454545456,0.04059251473925696,4.376252086421865,0.0909090909090909,0.08073359819510144,0.10921566432842982
original,0.5,12,2277,31338,0.014073109120251342,0.36363636363636365,0.008286578440784982,15.009892587430214,0.6363636363636362,0.8005597845449883,0.6335086474363645
improved,0.5,12,2277,6402,0.2979247104247894,0.3181818181818182,0.043817393161794366,3.715787781310975,0.0909090909090909,0.0452965833499547,0.12286897601999679
original,0.5,13,2277,31413,0.012115430280765734,0.09090909090909091,0.03520155474584718,14.490614799759127,0.6363636363636362,0.8410164635655929,0.6501877936224705
improved,0.5,13,2277,5574,0.2868093225717914,0.0,0.04307821366866683,4.2266166454582486,0.1818181818181818,0.07038622085069678,0.1908128702383916
original,0.5,14,2277,31399,0.029170529388358336,0.5454545454545454,0.020036725033846223,11.955644700495675,0.6363636363636362,0.6057179149233135,0.5907215963973441
improved,0.5,14,2277,8047,0.29635935283473075,0.6363636363636364,0.021325272868416175,3.4924818227702255,0.1818181818181818,0.3050058638541899,0.02210145771485649
original,0.5,15,2277,30590,0.01265732754906938,0.45454545454545453,0.018125732140097318,10.975609983056037,0.6363636363636362,0.7889696537268692,0.6227952880077828
improved,0.5,15,2277,6588,0.3037645732707207,0.45454545454545453,0.04190077129231582,3.5242772498650052,0.0909090909090909,0.028551371517303636,0.058799999319413605
original,0.5,16,2277,30570,0.010465375033630684,0.2727272727272727,0.012460872597907902,12.666089273939653,0.6363636363636362,0.8173006870438735,0.6369337194712325
improved,0.5,16,2277,6268,0.2985939199739446,0.2727272727272727,0.049822153700614484,3.759693279719957,0.1818181818181818,0.09352020533006744,0.10207885460096469
original,0.5,17,2277,30723,0.01441080920683849,0.18181818181818182,0.011475433165866501,12.79171027071842,0.6363636363636362,0.8336032405651997,0.6423268503594792
improved,0.5,17,2277,5602,0.29781511705943925,0.13636363636363635,0.050263887172429245,4.41026353621074,0.1818181818181818,0.009389876493326062,0.14957001194569147
original,0.5,18,2277,30181,0.00962934462034379,0.09090909090909091,0.02198975928457877,15.513488394712844,0.6363636363636362,0.8606325105904222,0.6707978921898777
improved,0.5,18,2277,4365,0.29340055409005844,0.045454545454545456,0.049081319012851315,5.065656517330073,0.2727272727272727,0.051086300238897646,0.16572868682073819
