method,eps,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,mat2_edges
PrivGraph,0.5,0,0.01090783120325524,0.026785714285714284,0.026894983710051473,3.2627947312393997,0.3846153846153846,0.6686170027617888,0.5152214901409057,178650
PrivGraph,0.5,1,0.011856150729555679,0.047619047619047616,0.01770819581234637,3.346031870915016,0.3846153846153846,0.5860489429643256,0.4961494240249659,182282
PrivGraph,0.5,2,0.01103171437471698,0.02976190476190476,0.021368463307312194,3.298494094301784,0.3846153846153846,0.6861736138102879,0.5052786181031144,179968
PrivGraph,0.5,3,0.010771393059589,0.047619047619047616,0.026804378117942902,3.3241967144683335,0.3846153846153846,0.698958108608366,0.5121907889054711,180187
PrivGraph,0.5,4,0.009580214725793996,0.05357142857142857,0.017606923783532527,3.1783231520202198,0.3846153846153846,0.6370766114305568,0.4918932399091654,182123
PrivGraph,1.0,0,0.011612341257858995,0.13095238095238096,0.01712624226857463,3.292858384064153,0.3846153846153846,0.8752587422183854,0.4969380864653726,180302
PrivGraph,1.0,1,0.011959473477269802,0.13690476190476192,0.019356188460267532,3.0414931205046734,0.3846153846153846,0.866179995643992,0.5064009019368566,179048
PrivGraph,1.0,2,0.01097422206865102,0.1488095238095238,0.01743983354372461,3.2518453863351553,0.3846153846153846,0.8941128613609537,0.5062690435298906,178774
PrivGraph,1.0,3,0.01096679415356137,0.1636904761904762,0.014641334307266536,3.041423928000499,0.3846153846153846,0.860813303329767,0.4943468084219339,179914
PrivGraph,1.0,4,0.011290758809913863,0.14583333333333334,0.016516992776780013,3.0281606498095206,0.3846153846153846,0.8540025307633119,0.4946056134868472,179994
PrivGraph,1.5,0,0.0125374703603075,0.5535714285714286,0.005908232721726754,1.6858463157687187,0.3846153846153846,0.5196389365965227,0.4541542714095907,179187
PrivGraph,1.5,1,0.012744365796799696,0.5863095238095238,0.007011313116082229,1.6610883564543004,0.3846153846153846,0.499953645783766,0.4420006070644702,180525
PrivGraph,1.5,2,0.012139434003692835,0.22321428571428573,0.010894915535670336,2.483253002423348,0.3846153846153846,0.8976466381813472,0.4758646239917816,180111
PrivGraph,1.5,3,0.014603473499514916,0.7083333333333334,0.004768543970714422,1.3140806074438087,0.30769230769230765,0.3675579058315677,0.42315133193939614,179407
PrivGraph,1.5,4,0.01318179660582521,0.6011904761904762,0.0062052652519803755,1.6264719445925546,0.3846153846153846,0.4770466809293606,0.44550297038931597,179996
PrivGraph,2.0,0,0.018073431764152856,0.7886904761904762,0.0029371695504714097,0.990316729797601,0.30769230769230765,0.18313548137482985,0.40621683813403164,179345
PrivGraph,2.0,1,0.01571388862426925,0.5952380952380952,0.003924601296108406,1.2411626049754452,0.30769230769230765,0.4685250566266397,0.4388976309156529,178840
PrivGraph,2.0,2,0.013684641440234697,0.7648809523809523,0.003731412415518421,1.3054243557364873,0.30769230769230765,0.21647039505416116,0.4348585393172953,179983
PrivGraph,2.0,3,0.015694538572373615,0.6577380952380952,0.0043066956695524605,1.1676614710686846,0.30769230769230765,0.36441424988999177,0.4291331303550476,179507
PrivGraph,0.5,5,0.011715755138287924,0.050595238095238096,0.020122707236095428,3.3070588880652583,0.3846153846153846,0.7122758234723441,0.5145699194180186,179353
PrivGraph,0.5,6,0.010909105811873453,0.03273809523809524,0.02666677986129041,3.3024550185718295,0.3846153846153846,0.6446648719851573,0.5104990976448094,180831
PrivGraph,0.5,7,0.010268334797631482,0.011904761904761904,0.02771393433603207,3.342206745421996,0.3846153846153846,0.6484181872623324,0.5073457142766163,180761
PrivGraph,0.5,8,0.011761020559955104,0.026785714285714284,0.009346707909664137,3.34240354159684,0.3846153846153846,0.6155746940491595,0.49636352085499197,183620
PrivGraph,0.5,9,0.01172139136861038,0.023809523809523808,0.02530012065691428,3.523747418932265,0.3846153846153846,0.7053344236048585,0.5168288251683671,179384
PrivGraph,1.0,5,0.010793947796356673,0.11011904761904762,0.01734817209993989,3.2474763684530887,0.3846153846153846,0.8818717987092728,0.5061639659941852,178382
PrivGraph,1.0,6,0.013055480502245953,0.08630952380952381,0.0186230928867961,3.3212159848025986,0.3846153846153846,0.8741006270347156,0.49673487106668296,181519
PrivGraph,1.0,7,0.012882890850959118,0.1130952380952381,0.016216522170337082,3.207063638355473,0.3846153846153846,0.8610088049718981,0.5070292018899587,179253
PrivGraph,1.0,8,0.011753276281768588,0.15178571428571427,0.01728771749357199,3.128417007473816,0.3846153846153846,0.8739406884877121,0.5094842634001778,179513
PrivGraph,1.0,9,0.010611512746461335,0.14583333333333334,0.010531979286827113,3.0231627315437257,0.3846153846153846,0.8635565227551343,0.47783518903677613,179876
PrivGraph,1.5,5,0.012400295027848387,0.5803571428571429,0.006952266582369317,1.6238102372876404,0.3846153846153846,0.44833626659821024,0.4377288050126071,180157
PrivGraph,1.5,6,0.012702416735758396,0.5089285714285714,0.010192380014087954,1.9578383776912507,0.3846153846153846,0.5482821757714461,0.4701164118553938,178752
PrivGraph,1.5,7,0.012566588399724977,0.39285714285714285,0.011912843375419816,1.9376765140890055,0.3846153846153846,0.7130937700446615,0.47247585440441,178979
PrivGraph,1.5,8,0.01367149887246389,0.4642857142857143,0.009131946795177712,1.7684019968553246,0.3846153846153846,0.5375138246152507,0.4551819850831728,178872
PrivGraph,1.5,9,0.01246630673194957,0.46130952380952384,0.009033038209261282,1.8773224156815476,0.3846153846153846,0.6322127344134311,0.46625337416199575,179911
PrivGraph,2.0,4,0.0165620598447649,0.7619047619047619,0.0037672952744477817,1.3549421420259733,0.3846153846153846,0.29050032138985665,0.4408414019096572,179681
PrivGraph,2.0,5,0.017178382379033928,0.6666666666666666,0.0045403757388075075,1.228507293562382,0.30769230769230765,0.37804669393096374,0.44183006767989813,179325
PrivGraph,2.0,6,0.013920427826628659,0.6994047619047619,0.00500953420879925,1.5403255001161444,0.30769230769230765,0.28168386112951543,0.452733885310731,179404
PrivGraph,2.0,7,0.014106647496515762,0.44642857142857145,0.010004250046544974,1.9526218622104148,0.3846153846153846,0.6149102152914332,0.47684627755555176,178389
PrivGraph,2.0,8,0.016856883335152516,0.5803571428571429,0.004276235611624978,1.1485203280355205,0.30769230769230765,0.37547046349152063,0.435284910126125,178970
PrivGraph,2.0,9,0.015973345899041053,0.8184523809523809,0.002774220904911775,1.0594592639540044,0.3846153846153846,0.1887243086683219,0.4364998398292429,178997
PrivGraph,2.5,0,0.018651458227666097,0.7351190476190477,0.0035120002275366583,1.019167400637467,0.30769230769230765,0.1808992005846667,0.41252405653596813,178201
PrivGraph,2.5,1,0.018353072497184243,0.7589285714285714,0.0034160473928940218,1.0406998095692035,0.23076923076923073,0.09281176835031477,0.3763689211294961,177849
PrivGraph,2.5,2,0.02034068225903989,0.8125,0.0026259607557085085,0.9426137585434827,0.30769230769230765,0.10441983871486808,0.3783483171625999,177849
PrivGraph,2.5,3,0.01979003806154937,0.8035714285714286,0.0027025277905719297,0.8533894729102739,0.30769230769230765,0.20145240291241873,0.417249744549433,179490
PrivGraph,2.5,4,0.01957216739962153,0.8005952380952381,0.002235634779369888,0.9081327325304589,0.30769230769230765,0.22659306439729987,0.4248264893470523,180167
PrivGraph,2.5,5,0.019791794572181658,0.7410714285714286,0.0034429153867372654,0.9787158512323904,0.23076923076923073,0.255035399688558,0.41446714208623436,178044
PrivGraph,2.5,6,0.01764346741381731,0.7738095238095238,0.002839180669523806,0.9547979329968951,0.30769230769230765,0.1623502795643824,0.42279768444050325,178145
