eps,convert_ratio,oversample,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
0.5,1.0,1.0,0.0,0.0992092604762719,0.045454545454545456,0.03474782103225314,3.7148321065880174,0.0909090909090909,0.5473890827397604,0.19896174713320836
0.5,1.0,1.0,1.0,0.10694268789055514,0.22727272727272727,0.02330780430134537,3.2904348282614118,0.2727272727272727,0.5477770952279647,0.17527215561034018
0.5,1.0,1.0,2.0,0.0942217381861068,0.09090909090909091,0.035308056761668316,3.619969809647537,0.0,0.5945919256556258,0.1811494667200229
0.5,1.0,1.0,3.0,0.09585293339590797,0.18181818181818182,0.01534161948376288,3.5453092040784284,0.1818181818181818,0.5475731746152454,0.17974312189605296
0.5,1.0,1.0,4.0,0.10611044903842111,0.13636363636363635,0.016405478954745405,3.370197371074177,0.1818181818181818,0.5333074684075558,0.17047557020856988
0.5,1.0,1.0,5.0,0.10003967090011347,0.3181818181818182,0.04960117963536675,4.072732313146253,0.4545454545454545,0.5661954041603388,0.19992919141753931
0.5,1.0,1.0,6.0,0.10643858970812707,0.13636363636363635,0.034162687762870854,3.4918151572583733,0.3636363636363636,0.5677085290398796,0.18639642858728875
0.5,1.0,1.0,7.0,0.12358048698588457,0.18181818181818182,0.030642187153713488,3.1075943840942406,0.0,0.5345680125268956,0.12848704217468182
0.5,1.0,1.0,8.0,0.10180480044934365,0.18181818181818182,0.012920226791339457,3.5336869916600353,0.0909090909090909,0.5612527831056142,0.1871050241395911
0.5,1.0,1.0,9.0,0.09208601989413888,0.09090909090909091,0.014137236363528342,3.9987450992133953,0.0909090909090909,0.5591755327258277,0.2300534192812181
0.5,1.0,1.1,0.0,0.09125799563943673,0.18181818181818182,0.026323698244863736,3.865330325342269,0.3636363636363636,0.5569636138848618,0.20554813002049696
0.5,1.0,1.1,1.0,0.13436565947046875,0.13636363636363635,0.016763085729695624,3.1718044843798756,0.0909090909090909,0.5733504627120808,0.11525318773686641
0.5,1.0,1.1,2.0,0.09310466212492297,0.18181818181818182,0.027518486499491072,3.6034763803773986,0.4545454545454545,0.5461200310489376,0.19366222156768534
0.5,1.0,1.1,3.0,0.08512836382497166,0.09090909090909091,0.015034054385271813,3.9076700882937847,0.3636363636363636,0.5429191730597299,0.21852477416338745
0.5,1.0,1.1,4.0,0.10353643867237038,0.09090909090909091,0.02132817884741691,3.604333257762742,0.4545454545454545,0.5818879497719386,0.19548172074343165
0.5,1.0,1.1,5.0,0.13740686864014165,0.13636363636363635,0.02571538835231378,3.423201948252897,0.1818181818181818,0.5550633401408541,0.1566618959824457
0.5,1.0,1.1,6.0,0.09520690640002338,0.09090909090909091,0.012870927109787074,3.074945163911581,0.1818181818181818,0.5347733685500969,0.16639452995404097
0.5,1.0,1.1,7.0,0.08839003577511367,0.13636363636363635,0.012241555276133407,3.3294408589862323,0.3636363636363636,0.5529379519378753,0.19718833583913314
0.5,1.0,1.1,8.0,0.10146059206992057,0.18181818181818182,0.04340230957654814,3.5485751582178064,0.3636363636363636,0.5806066982362428,0.18122035423560484
0.5,1.0,1.1,9.0,0.09638519863121922,0.045454545454545456,0.008599113382775851,3.715029499804131,0.3636363636363636,0.5842747806845022,0.20629380772749065
0.5,1.0,1.2,0.0,0.10382673230742151,0.2727272727272727,0.03782172204952489,3.3952617180567812,0.3636363636363636,0.5716461358957354,0.18564849817946855
0.5,1.0,1.2,1.0,0.09232290430119659,0.045454545454545456,0.016461422895755442,3.181364543206575,0.3636363636363636,0.5719305177088159,0.17929933586052338
0.5,1.0,1.2,2.0,0.08076289575722773,0.045454545454545456,0.011453888643356712,3.5171267397184414,0.4545454545454545,0.5407494443138897,0.21158251910067957
0.5,1.0,1.2,3.0,0.10208361460492768,0.09090909090909091,0.01735831746478068,3.6482141910927566,0.2727272727272727,0.608243281479274,0.1757925706894414
0.5,1.0,1.2,4.0,0.10541215712040747,0.13636363636363635,0.020979831500852825,3.6132075084585074,0.1818181818181818,0.5498004915413353,0.19528259968911527
0.5,1.0,1.2,5.0,0.09777849438544703,0.045454545454545456,0.022061780218688813,3.642330145876706,0.4545454545454545,0.5817732596216898,0.17831458329581806
0.5,1.0,1.2,6.0,0.08781746857229354,0.09090909090909091,0.03215096037432953,3.3405928933414617,0.3636363636363636,0.5687345336656711,0.21421184130721727
0.5,1.0,1.2,7.0,0.10228141511452359,0.045454545454545456,0.009929732534070727,4.0945027274635795,0.3636363636363636,0.600151143035183,0.21647839257659313
0.5,1.0,1.2,8.0,0.11357096534926259,0.045454545454545456,0.020474136786706065,3.137278567751858,0.2727272727272727,0.5547278225292479,0.1309823046158434
0.5,1.0,1.2,9.0,0.10882499809833675,0.0,0.019511369365290434,3.6743468791070995,0.3636363636363636,0.5907823921699608,0.1725147586367932
0.5,1.0,1.3,0.0,0.09923299995750769,0.045454545454545456,0.015242218168164444,3.474876910271731,0.5454545454545454,0.5877585549731758,0.172255289359355
0.5,1.0,1.3,1.0,0.09521872880025126,0.09090909090909091,0.01250981465199501,3.064475526465486,0.4545454545454545,0.5746500802114978,0.1807453741389889
0.5,1.0,1.3,2.0,0.11134039491445094,0.0,0.024219527556681,3.2557310216366337,0.5454545454545454,0.5294674340771308,0.1864056741711767
0.5,1.0,1.3,3.0,0.11184167150763197,0.13636363636363635,0.018464997466904828,3.1211633631165774,0.1818181818181818,0.5736526009796522,0.12785844166359
0.5,1.0,1.3,4.0,0.11635712727759073,0.0,0.019038660326824018,3.412713942707545,0.3636363636363636,0.5787229806696365,0.1700615298262816
0.5,1.0,1.3,5.0,0.09759752011060219,0.3181818181818182,0.0073060207946115665,3.082046929065187,0.2727272727272727,0.516289944127193,0.17287984602471498
0.5,1.0,1.3,6.0,0.10103212802703389,0.18181818181818182,0.010411069504199962,3.405559502547578,0.4545454545454545,0.5957287098516066,0.16299962515316643
0.5,1.0,1.3,7.0,0.09075683263324603,0.2727272727272727,0.007607469558618004,3.2168229582183523,0.0909090909090909,0.5570300210992196,0.17146237222301589
0.5,1.0,1.3,8.0,0.07305928852170801,0.045454545454545456,0.011350076370461261,3.7351346516175576,0.4545454545454545,0.5722100995994954,0.22059256977760006
0.5,1.0,1.3,9.0,0.09099712080474986,0.045454545454545456,0.016966501362670226,3.252791015445406,0.4545454545454545,0.5798401712373531,0.19242627374984103
1.0,1.0,1.0,0.0,0.12612533731508838,0.8181818181818182,0.0018037432089349605,1.485390372329833,0.2727272727272727,0.17305380252751784,0.11266084094280564
1.0,1.0,1.0,1.0,0.1440650727016559,0.5909090909090909,0.0036578274024937477,2.4379494672143447,0.1818181818181818,0.025005131809177447,0.08645967999797063
1.0,1.0,1.0,2.0,0.1258835639436602,0.6818181818181818,0.0014085547294179427,1.6006004464077876,0.0909090909090909,0.014659034410204679,0.17915823226445918
1.0,1.0,1.0,3.0,0.1735318114784814,0.7727272727272727,0.004008660976190317,1.3061870161934248,0.0,0.22086399327250628,0.019811649994001833
1.0,1.0,1.0,4.0,0.14814955115527087,0.7727272727272727,0.0017102871686372402,1.6782683310824509,0.3636363636363636,0.13868247420903032,0.1585400889770926
1.0,1.0,1.0,5.0,0.09892331064700746,0.5,0.036416893963837814,2.984492813526903,0.1818181818181818,0.3553016424332272,0.20788556106962985
1.0,1.0,1.0,6.0,0.15509383597749804,0.7272727272727273,0.0014913057093869737,1.623334365451493,0.1818181818181818,0.19088101809364344,0.003602043538883652
1.0,1.0,1.0,7.0,0.12074369679357196,0.6363636363636364,0.01409285884588274,2.0532020576506462,0.1818181818181818,0.06227054720994574,0.09774000674063799
