intra_ratio,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,mat2_edges
0.0,0,0.33825727784201326,0.8636363636363636,0.00204322493297695,1.2239930395747902,0.3636363636363636,0.11271235897022372,0.09602090339647112,21949
0.0,1,0.31339525740842616,0.8636363636363636,0.004648019582686525,1.5748987414238995,0.1818181818181818,0.028287528994197935,0.34140908733549824,20225
0.0,2,0.32633645132794176,0.7272727272727273,0.005695213526424116,2.046508754450728,0.1818181818181818,0.3648838932365046,0.06903342331939777,16268
0.0,3,0.336267653425809,0.9090909090909091,0.0031680525300331595,1.4272249235991614,0.0909090909090909,0.07124483551846643,0.33053309613381004,21169
0.0,4,0.34722644546913567,0.7727272727272727,0.001623000439123581,1.6398136466473872,0.3636363636363636,0.1402716045590042,0.11627437736447271,21368
0.0,5,0.3431744233484974,0.8181818181818182,0.001684168165130983,1.5545256096024556,0.2727272727272727,0.26919721768909605,0.14921300127781356,18299
0.0,6,0.3277325941626458,0.9090909090909091,0.005488103916361562,1.175024552426388,0.3636363636363636,0.09029190402537028,0.39135376565067387,21044
0.0,7,0.34634629040013815,0.8636363636363636,0.0009578661280662165,1.685300051721578,0.1818181818181818,0.040999789950939766,0.24772455237708202,21690
0.0,8,0.34389370722397905,0.8181818181818182,0.002098595724818442,1.691118864747258,0.2727272727272727,0.3560180478934735,0.09843781482177336,18211
0.0,9,0.30657547322134504,0.8636363636363636,0.002836498206079652,1.3946396769854568,0.3636363636363636,0.03280280407455038,0.21112779904075452,21507
0.05,0,0.3020188867213778,0.8181818181818182,0.0021452719694482554,1.5537112616062951,0.1818181818181818,0.13444485709693485,0.22504431190826477,19466
0.05,1,0.353254323783755,0.8636363636363636,0.0014063525094437665,1.5237899067754452,0.0909090909090909,0.20915797382151952,0.09279337543567007,21994
0.05,2,0.3352672389628979,0.9090909090909091,0.005796739201165486,1.35330801632505,0.0909090909090909,0.08963606163216344,0.3280684675453714,22681
0.05,3,0.3351478791172311,0.7727272727272727,0.001336362546426312,1.160449389578524,0.3636363636363636,0.16144561731597964,0.0813519113172999,22266
0.05,4,0.3274463224080888,0.8636363636363636,0.0017787034841621927,1.4119580246598984,0.0,0.0948809414262714,0.24433979701676312,20965
