variant,eps,exper,edges,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
stage2,2.0,4,84607,0.2627540034117352,0.8,0.010738077864114074,0.4487825812495318,0.24999999999999994,0.5298881469300708,0.2960847580969022
both,2.0,4,84607,0.2635862877455141,0.8,0.010996886786007114,0.44712855028511833,0.24999999999999994,0.5323001308019876,0.29600903898400766
none,2.0,5,86268,0.2867452593538423,0.75,0.003096224961101263,0.45424686556014543,0.24999999999999994,0.334342994003045,0.24202147417879322
stage1,2.0,5,86268,0.2896776335269448,0.75,0.0030882144416953614,0.44616536237299265,0.12499999999999997,0.34492274816761115,0.24198939378241546
stage2,2.0,5,85316,0.28870146530246243,0.75,0.003067657094482516,0.47041973363907663,0.24999999999999994,0.3196705780338574,0.22910858721816263
both,2.0,5,85316,0.28944998397925714,0.725,0.00305176260745352,0.4320209051500471,0.24999999999999994,0.3332358051756362,0.229059925203277
none,2.0,6,86501,0.28291059597023344,0.8,0.002571863965892648,0.469285627183782,0.24999999999999994,0.29478303962288577,0.1678352906289751
stage1,2.0,6,86501,0.2857811332580661,0.8,0.0026296011212186294,0.4727791303963251,0.24999999999999994,0.2957606104099686,0.16781802973977003
stage2,2.0,6,85123,0.2845965524221555,0.8,0.002413849086570395,0.5045265964320238,0.24999999999999994,0.2734666183392606,0.14999319130310323
both,2.0,6,85123,0.2882641199681909,0.8,0.0024209755983008946,0.4304482187681053,0.24999999999999994,0.2748887003805547,0.1500654636152019
none,2.0,7,86184,0.297068294192907,0.75,0.006116555275622309,0.5495673683256195,0.24999999999999994,0.39513690072816143,0.2142393523809025
stage1,2.0,7,86184,0.297999440114633,0.775,0.006197716972233059,0.4771325114772137,0.24999999999999994,0.3964847044306992,0.21421654889198855
stage2,2.0,7,84855,0.3007772184669564,0.75,0.006048902144888411,0.4877865690014917,0.24999999999999994,0.3779454134971642,0.19821482185387795
both,2.0,7,84855,0.30374496384499233,0.75,0.0061625721112182645,0.5039881202994615,0.24999999999999994,0.37962454195352496,0.1981648348802707
