swap_ratio,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,mat2_edges
0.0,0,0.3186545070946241,0.7727272727272727,0.0016090750073813477,1.335574441524224,0.2727272727272727,0.0979768469453118,0.16121870936317867,20914
0.0,1,0.3513191711574141,0.9090909090909091,0.0018163351252291746,1.370945023941235,0.3636363636363636,0.11075517585124417,0.10229194592021956,23119
0.0,2,0.33991878441155254,0.7727272727272727,0.0012511229205669652,1.351388038737333,0.1818181818181818,0.17081141482478102,0.09503906638536552,22234
0.0,3,0.3529097166072119,0.9090909090909091,0.002253633941568479,1.3269291139094823,0.3636363636363636,0.11990629242538352,0.10327652232147415,23332
0.0,4,0.32411063507950516,0.9090909090909091,0.0019783770715964297,1.8567703720429483,0.1818181818181818,0.16163461151808203,0.14210241479289967,20646
0.0,5,0.32841695150757555,0.9090909090909091,0.0013582966360500604,1.5069611647120786,0.0,0.299001874466927,0.12985566317647163,19424
0.0,6,0.3125273899149126,0.7727272727272727,0.0016872606921804875,1.6228719695260503,0.2727272727272727,0.3478112798932287,0.1122531027203812,17583
0.0,7,0.3100148132535958,0.8636363636363636,0.0013525168716141235,1.5384503859051772,0.0909090909090909,0.13694521737151433,0.17618249912164263,19947
0.0,8,0.308164864671521,0.8636363636363636,0.0035695267163539097,1.493786125775578,0.0909090909090909,0.05094698051717344,0.40342934371431577,20375
0.0,9,0.33449534729606817,0.8181818181818182,0.0017174457367173045,1.717052948979894,0.0909090909090909,0.20707528727751912,0.1034445821683406,21023
0.1,0,0.3343611608899809,0.8636363636363636,0.0020867041825183537,1.6872440799227202,0.1818181818181818,0.18873340762985327,0.12545662159067758,20136
0.1,1,0.2931019949301936,0.8636363636363636,0.0023829551258824568,1.1367816629521716,0.1818181818181818,0.10357273727810891,0.2870379060878387,23662
0.1,2,0.30406938458958016,0.7272727272727273,0.007028084069184245,1.3683858765970613,0.0909090909090909,0.1088877078438119,0.4584336389065476,22245
0.1,3,0.3206493967117459,0.8636363636363636,0.0012601149375791334,1.3139053516084598,0.0909090909090909,0.05123503254824901,0.27297842264823013,21351
0.1,4,0.31074784754706597,0.9545454545454546,0.003179472813448825,1.7740033991786643,0.1818181818181818,0.07051736994935766,0.4581148677065226,19679
0.1,5,0.3090427869259306,0.8636363636363636,0.0019282858139950025,1.5712920348166708,0.0,0.20794213855804053,0.13916843306348234,19571
0.1,6,0.3222753058182536,0.8636363636363636,0.001136239057923383,1.7354516963552056,0.1818181818181818,0.2672860684928805,0.15383157173220322,19151
0.1,7,0.31425541329956347,0.9090909090909091,0.0017525247847974804,1.6981936222070169,0.0909090909090909,0.13687835910859197,0.2372636637670637,19096
0.1,8,0.35274043176166286,0.9090909090909091,0.0011586639775087197,1.1303169850432824,0.3636363636363636,0.13354581567452722,0.08823386203833058,22511
0.1,9,0.3087105773016297,0.6363636363636364,0.009048362183098251,1.2109550852029836,0.2727272727272727,0.16308846294738746,0.47857834294056417,23335
0.3,0,0.2539522222722435,0.7727272727272727,0.0054810442501060895,1.7589238088671415,0.0909090909090909,0.2781466294180773,0.7274052834011072,21062
0.3,1,0.31778119614125055,0.8636363636363636,0.0034729665548082003,1.4451531410242973,0.0909090909090909,0.08792143725679842,0.25365973535093433,20305
0.3,2,0.3116376069327777,0.9090909090909091,0.002863371735644546,1.3539615662642897,0.0909090909090909,0.0056470453772174654,0.2694780627101341,21597
0.3,3,0.35935330531365206,0.8636363636363636,0.0014796741292441996,1.7081272032286163,0.0909090909090909,0.38258783854525275,0.055970666921093974,19545
0.3,4,0.339872091669861,0.9090909090909091,0.0011869854037225033,1.454601137215338,0.1818181818181818,0.18202948706123293,0.09636900456899652,21545
0.3,5,0.3571413259090402,0.7727272727272727,0.0014307601305038507,1.505027798974865,0.0909090909090909,0.35577832597706044,0.08510792062466094,18622
0.3,6,0.3081893226574921,0.8636363636363636,0.002797524644516343,1.5264622362425893,0.0,0.08863544991088144,0.37883933012636456,18585
0.3,7,0.32471735029651677,0.8636363636363636,0.0017038506424041783,1.30142649528882,0.0909090909090909,0.18732948885825182,0.11474922452883786,20751
0.3,8,0.33777741268137845,0.9090909090909091,0.0015203622088062045,1.2936032955426804,0.0909090909090909,0.12623876367660616,0.13424518529211063,20946
0.3,9,0.3471773666747275,0.7272727272727273,0.0012931426261972073,1.7619259890985939,0.0909090909090909,0.1905696972283299,0.09451750007555805,21678
0.5,0,0.3186843188865332,0.9090909090909091,0.0018704428940459288,1.4797684296262001,0.1818181818181818,0.07012547803986707,0.23381613339570578,20752
0.5,1,0.3564688157941615,0.8636363636363636,0.002530129657543194,1.5002822089499017,0.4545454545454545,0.08512406073726035,0.09842473009403284,23030
0.5,2,0.32013696458971935,0.8636363636363636,0.0014452579416510793,1.3079374477200767,0.0909090909090909,0.18152827942426283,0.24442108756834496,19026
0.5,3,0.2977526571358285,0.7272727272727273,0.007749701187978297,1.2391208282672075,0.1818181818181818,0.12850302852300832,0.4581479454555358,22649
0.5,4,0.36026806869350414,0.8181818181818182,0.0012003103895301007,1.6323225264201704,0.1818181818181818,0.1447909618416583,0.09315493523919093,22427
0.5,5,0.33855503547454996,0.8181818181818182,0.0016395477838689573,1.600925006609792,0.0,0.4279684761014434,0.08439543824283086,17734
0.5,6,0.3068004050881281,0.8636363636363636,0.0020212203480753656,1.3890981757829386,0.1818181818181818,0.1700022250256162,0.20412364568426683,19084
0.5,7,0.33418318083620474,0.8181818181818182,0.0018611128527850932,1.4144074580764185,0.2727272727272727,0.1612890200651419,0.15020410737994644,20410
0.5,8,0.3669874464882417,0.7727272727272727,0.001603672480619332,1.4944481025168217,0.3636363636363636,0.09929715447940222,0.10636886042638773,23330
0.5,9,0.31766584844498813,0.7272727272727273,0.00611008384933889,1.2629800715786967,0.0909090909090909,0.06333889239602285,0.43104439283124063,21878
0.7,0,0.34484196911129483,0.8636363636363636,0.0027091097062375046,1.2628610585149471,0.1818181818181818,0.034785011274207564,0.2757015438376421,22182
0.7,1,0.3278095469925122,0.7727272727272727,0.0013037240489605349,1.469707094168709,0.1818181818181818,0.30656283315871447,0.16222038897460173,18004
0.7,2,0.3154727132501379,0.8181818181818182,0.00308414669350619,1.7173197376937368,0.0,0.219137792475202,0.26978660332052434,17786
0.7,3,0.30649535627119934,0.7727272727272727,0.005819041018658699,1.5806076091405443,0.0909090909090909,0.06482515724820938,0.44057076356501296,21548
0.7,4,0.3287114226496244,0.9090909090909091,0.0021101549441774115,1.721893327940464,0.0,0.016985788250697416,0.2587823140013892,20995
0.7,5,0.36377367371285774,0.8636363636363636,0.0023231680177514483,1.4925397162123937,0.0,0.13904927331386957,0.10531985609474301,21872
0.7,6,0.36043743494438263,0.6818181818181818,0.0018116729511573433,1.2555326876230706,0.1818181818181818,0.19262510497805393,0.07748436236975852,21485
0.7,7,0.3529477904694313,0.7727272727272727,0.002231060279575028,1.5785776360814254,0.0909090909090909,0.18519088832234082,0.1045229405813183,21122
0.7,8,0.3116592137623611,0.8181818181818182,0.0021076059029399353,1.182807506235765,0.0,0.0493968933644469,0.27700661449516617,22267
0.7,9,0.3483251139408637,0.8636363636363636,0.001664642190626118,1.5241932671061877,0.2727272727272727,0.2504072491608999,0.09128887033484781,20335
0.0,10,0.3542691672782591,0.8636363636363636,0.0014885997355865703,1.329962729059306,0.3636363636363636,0.12706141334251747,0.06717908288919348,23434
0.1,10,0.3011292244266124,0.9090909090909091,0.0048730343465451876,1.331887738991806,0.0,0.0926041260176817,0.4043185365100157,20916
0.3,10,0.31470051492556744,0.8636363636363636,0.001296690863485745,1.435097779619611,0.0909090909090909,0.22251592052508726,0.08613505032596855,19097
0.5,10,0.3363000038884267,0.9090909090909091,0.0018580916025127037,1.4473882638153017,0.0909090909090909,0.2572374180882977,0.08269645319027573,20410
0.7,10,0.35484659695660914,0.8636363636363636,0.0020557579857606785,1.3294196368086517,0.2727272727272727,0.05773861056312833,0.09069978080076779,23224
0.0,11,0.3463469685311142,0.8181818181818182,0.0018083606424266977,1.2441736580730174,0.3636363636363636,0.10008497666311132,0.07214250757011545,22424
0.1,11,0.2942534725885561,0.8636363636363636,0.0025018927133673933,1.0317117152663096,0.3636363636363636,0.055424741659841396,0.15667203533469118,21069
0.3,11,0.3365147760225106,0.7727272727272727,0.0017791442553353844,1.2630097424780207,0.3636363636363636,0.10376542963635921,0.05019703089355471,22034
0.5,11,0.3536961363008947,0.8181818181818182,0.0008679409831687051,1.2352535636131556,0.2727272727272727,0.21237926291647302,0.0608960054236252,21179
0.7,11,0.3059078701510535,0.9090909090909091,0.0014153742284909372,1.3347013730542874,0.2727272727272727,0.11743104777110544,0.14500579416620601,20423
0.0,12,0.300915009912182,0.8181818181818182,0.0008664458759731278,1.7792712499078478,0.1818181818181818,0.31467326782666444,0.1604685230113025,18149
0.1,12,0.3100176741456846,0.8636363636363636,0.0019029960026602788,1.4611543374461746,0.0909090909090909,0.11770109523942227,0.1937270202543599,19579
0.3,12,0.3056063891810893,0.7727272727272727,0.004724067276507401,1.4500669014531102,0.1818181818181818,0.031045282182886387,0.41711531822869885,21056
0.5,12,0.31626979146677947,0.9090909090909091,0.0015957214492171477,1.4609372563861527,0.1818181818181818,0.17851766924333243,0.10756156974963872,20269
0.7,12,0.30913206030406815,0.8181818181818182,0.002469614275722366,1.24267935642824,0.0,0.02059739568291054,0.245790880229026,22051
0.0,13,0.3508850196302431,0.9090909090909091,0.0022298479378537743,1.5327344921782242,0.0909090909090909,0.2258894534828,0.04752339948300509,21190
0.1,13,0.35149493845845703,0.8636363636363636,0.0020402337503356753,1.1853601080846468,0.4545454545454545,0.13201468551319734,0.06436000841597445,23026
0.3,13,0.33507764412657337,0.8181818181818182,0.000826074838881714,1.3037162307174417,0.4545454545454545,0.1381611911116421,0.05554204956932843,22576
0.5,13,0.337683047155353,0.9545454545454546,0.0014226318404765078,1.0246283796142905,0.3636363636363636,0.12411586222171689,0.06542350334475171,21667
0.7,13,0.35185439302456517,0.8181818181818182,0.0022560310781218045,1.8390723301557528,0.0909090909090909,0.17588392195188723,0.07633774522261509,21722
0.0,14,0.3079759980226726,0.8636363636363636,0.0014461279021786705,1.181639113239755,0.3636363636363636,0.161741759366179,0.10415290200157833,21065
