dataset,eps,intra_ratio,inter_ratio,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,syn_edges
Chamelon,0.5,0.1,0.1,0.2179850005148613,0.11818181818181817,0.037950133062791123,4.26027163896364,0.10909090909090909,0.1602078367107488,0.15959708723131444,6386.8
Chamelon,0.5,0.1,0.2,0.19796294910799356,0.13636363636363638,0.05151426236362543,4.461457825365734,0.1818181818181818,0.15181394301597867,0.17624443208171103,5730.2
Chamelon,0.5,0.1,0.3,0.19665133280100353,0.11818181818181817,0.03610328649376121,4.1569851160689835,0.2909090909090909,0.15400779869897777,0.15480636857425303,6171.6
Chamelon,0.5,0.1,0.4,0.18917652522894823,0.23636363636363633,0.045067268552432774,4.049885667605505,0.03636363636363636,0.16918349324792095,0.14402369713678115,6268.0
Chamelon,0.5,0.1,0.5,0.18959302381004853,0.16363636363636364,0.04261579853444788,3.8626876789063616,0.19999999999999998,0.19979843651001775,0.137655601325368,6773.0
Chamelon,0.5,0.1,0.6,0.18216928942754027,0.18181818181818182,0.041549025402712804,4.204231534798829,0.01818181818181818,0.15851452920835082,0.1817635901280348,6250.6
Chamelon,0.5,0.1,0.7,0.18715938418875805,0.2545454545454545,0.050142255848916274,4.277409867112445,0.2909090909090909,0.14372449540876592,0.14649130465417123,5922.6
Chamelon,0.5,0.1,0.8,0.18232294272050562,0.21818181818181817,0.054802579181162436,4.431520076211514,0.16363636363636364,0.1358806694450104,0.17882952266957,5732.8
Chamelon,0.5,0.1,0.9,0.1811547627580999,0.14545454545454545,0.04448732129856185,4.422874962478769,0.14545454545454545,0.13239063907972928,0.17566766018176783,5933.4
Chamelon,0.5,0.1,1.0,0.19247262027541767,0.2,0.04578839730544858,3.977058932976072,0.12727272727272726,0.11590619644680207,0.16005649808573383,6490.0
Chamelon,0.5,0.2,0.1,0.1633439344793807,0.15454545454545454,0.046677773887713894,4.154481692453624,0.10909090909090909,0.20535272782724645,0.2028648395515325,6387.8
Chamelon,0.5,0.2,0.2,0.15126378598756893,0.05454545454545454,0.05076765789247804,4.243836719651881,0.19999999999999998,0.2569913316018594,0.2006024892744871,6081.2
Chamelon,0.5,0.2,0.3,0.15460386129244905,0.10909090909090909,0.0529758342306481,4.365769700967064,0.309090909090909,0.22766240978438312,0.21020060395709933,5721.4
Chamelon,0.5,0.2,0.4,0.15620023065517605,0.18181818181818182,0.032203119330991195,3.9136668426503443,0.2545454545454545,0.1676122230044807,0.18722876254213006,6860.2
Chamelon,0.5,0.2,0.5,0.15344025958880947,0.3181818181818182,0.049476993291950835,4.107988136318046,0.12727272727272726,0.20822520573286893,0.19592824797511324,6471.8
Chamelon,0.5,0.2,0.6,0.14933914052248848,0.15454545454545454,0.0517499366756913,4.362940214970736,0.2909090909090909,0.28022123103231983,0.19660918963577934,6260.6
Chamelon,0.5,0.2,0.7,0.15361274390260465,0.11818181818181817,0.047987829833362826,4.313018675644211,0.3272727272727272,0.24398352576182786,0.1973778597907512,6304.8
Chamelon,0.5,0.2,0.8,0.1395948552162644,0.22727272727272724,0.049582364531296434,4.241445986831136,0.6181818181818182,0.23845870379197157,0.18655653533425437,6076.4
Chamelon,0.5,0.2,0.9,0.14919049000601148,0.19090909090909092,0.04665621175309394,4.252569909489229,0.23636363636363633,0.24647543647383613,0.18793462673932887,6277.4
Chamelon,0.5,0.2,1.0,0.13912208955819902,0.12727272727272726,0.052419842462141,4.279533532849642,0.32727272727272727,0.2212072507382738,0.20866740087699717,5993.8
Chamelon,0.5,0.3,0.1,0.11794857769054146,0.18181818181818182,0.053401866132749456,4.235840593099306,0.2545454545454545,0.29578794551298226,0.21830672864105125,5982.2
Chamelon,0.5,0.3,0.2,0.13162454273743307,0.17272727272727273,0.046604146474151086,3.7234630193285883,0.07272727272727272,0.3111724180382565,0.15774571394409737,7078.4
Chamelon,0.5,0.3,0.3,0.12036583096398842,0.13636363636363635,0.052573631741306026,4.563516669631828,0.2909090909090909,0.33646952161223304,0.21326718576692208,5898.0
Chamelon,0.5,0.3,0.4,0.1272832693789164,0.2,0.04793529178515215,4.382920832259921,0.21818181818181817,0.3492491672194994,0.19057326883192185,6279.8
Chamelon,0.5,0.3,0.5,0.11995276114475631,0.2727272727272727,0.04599571875297894,4.164411941366265,0.3454545454545454,0.2813198021654747,0.19343560709104887,6243.8
Chamelon,0.5,0.3,0.6,0.11868072303683871,0.18181818181818182,0.054153972694052234,4.339921963402844,0.2909090909090909,0.34761211456277874,0.19834359712094035,6149.4
Chamelon,0.5,0.3,0.7,0.12403812611056597,0.21818181818181817,0.04994132035372809,4.134738739897408,0.3636363636363636,0.329867451622171,0.1874189309680776,6169.8
Chamelon,0.5,0.3,0.8,0.12247555597557243,0.28181818181818186,0.046745296106779535,3.9197649227788154,0.2909090909090909,0.2501458423586436,0.16094238531909866,6573.2
