mode,e3_target,eps,e1_r,e2_r,e3_r,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
sweep_e3=0.03,0.03,1,0.4666,0.4844,0.049,0,0.09970383569782056,0.5454545454545454,0.004980174208458625,3.0074639998172916,0.5454545454545454,0.19022257317025817,0.2897877442831054
sweep_e3=0.03,0.03,1,0.4666,0.4844,0.049,1,0.05468657945517821,0.4090909090909091,0.007393540988562517,4.696797122576131,0.5454545454545454,0.03071689145116407,0.39745342350633805
sweep_e3=0.03,0.03,1,0.4666,0.4844,0.049,2,0.08117824571303309,0.5,0.0055785188069771684,1.5847357328260672,0.5454545454545454,0.11049676401378855,0.31666244513883945
sweep_e3=0.03,0.03,1,0.4666,0.4844,0.049,3,0.09636345264526326,0.6363636363636364,0.0016509456068690503,2.6720787307782574,0.5454545454545454,0.24538039298280406,0.2342153963045202
sweep_e3=0.03,0.03,1,0.4666,0.4844,0.049,4,0.08929838268982639,0.3181818181818182,0.001615346515677281,2.621288012684139,0.5454545454545454,0.18426599978293098,0.3072189526067614
sweep_e3=0.03,0.03,1,0.4666,0.4844,0.049,5,0.08382407201889346,0.4090909090909091,0.0033318110507692053,2.8473957536046814,0.5454545454545454,0.17737401031926894,0.3143164552898563
sweep_e3=0.03,0.03,1,0.4666,0.4844,0.049,6,0.08456464370684688,0.3181818181818182,0.0030157041968806326,2.8443713087937263,0.5454545454545454,0.06390927982765905,0.3344977442796133
sweep_e3=0.03,0.03,1,0.4666,0.4844,0.049,7,0.1162723614138451,0.4090909090909091,0.0061367590960422075,2.686942925537433,0.5454545454545454,0.1581299882403788,0.2780397582843986
sweep_e3=0.03,0.03,1,0.4666,0.4844,0.049,8,0.1055773494457958,0.13636363636363635,0.003976760790190492,3.064738398187201,0.5454545454545454,0.10361972155247662,0.3324842983834999
sweep_e3=0.03,0.03,1,0.4666,0.4844,0.049,9,0.08164916099062922,0.5454545454545454,0.0052675453699391065,1.484510658209626,0.4545454545454545,0.1615195226730801,0.27270835568390667
sweep_e3=0.03,0.03,2,0.2886,0.6624,0.049,0,0.17469788520716908,0.6818181818181818,0.0019644467137382732,0.9415965844180753,0.3636363636363636,0.08295112483321689,0.17269762071306327
sweep_e3=0.03,0.03,2,0.2886,0.6624,0.049,1,0.13323278329260477,0.7272727272727273,0.003965408894179513,0.8990386563095479,0.3636363636363636,0.10380244589615599,0.3281735341114692
sweep_e3=0.03,0.03,2,0.2886,0.6624,0.049,2,0.1349444356346218,0.7727272727272727,0.004281567131764531,1.1872875712905349,0.4545454545454545,0.05643441510920648,0.2919671924500196
sweep_e3=0.03,0.03,2,0.2886,0.6624,0.049,3,0.13868689332607814,0.6818181818181818,0.0026155646339385778,1.1517080272575622,0.4545454545454545,0.08094438282422588,0.26637169925509147
sweep_e3=0.03,0.03,2,0.2886,0.6624,0.049,4,0.13893206729000562,0.6818181818181818,0.007317787004753397,0.861063056352646,0.3636363636363636,0.20449638341815154,0.34331717902846726
sweep_e3=0.03,0.03,2,0.2886,0.6624,0.049,5,0.12598741822937035,0.7727272727272727,0.0014103238625954848,0.8832068144965757,0.4545454545454545,0.05684510837909181,0.19642875103900456
sweep_e3=0.03,0.03,2,0.2886,0.6624,0.049,6,0.15763132457007903,0.7272727272727273,0.003917817178296242,0.8870485984927434,0.4545454545454545,0.09361687736492225,0.2006957710533576
sweep_e3=0.03,0.03,2,0.2886,0.6624,0.049,7,0.1381960193163218,0.7272727272727273,0.0031833963781271652,1.0752389696331148,0.4545454545454545,0.07823214249826882,0.2886344932418263
sweep_e3=0.03,0.03,2,0.2886,0.6624,0.049,8,0.1893404189437148,0.7727272727272727,0.006007452435562282,0.7873995507390567,0.3636363636363636,0.12262157883542808,0.2859292170441495
sweep_e3=0.03,0.03,2,0.2886,0.6624,0.049,9,0.13732239651822228,0.5909090909090909,0.006468602919485127,0.8952572259429731,0.3636363636363636,0.08286243849896036,0.33080082873508165
sweep_e3=0.03,0.03,3,0.2293,0.7217,0.049,0,0.22977810637197887,0.8636363636363636,0.005078594084199756,1.0635039267451343,0.2727272727272727,0.08720569330744996,0.16085004992602203
sweep_e3=0.03,0.03,3,0.2293,0.7217,0.049,1,0.13155496408279374,0.9090909090909091,0.0038894959963119255,0.746649349251644,0.3636363636363636,0.21843712143752358,0.35353022981008436
sweep_e3=0.03,0.03,3,0.2293,0.7217,0.049,2,0.23144090509749696,0.8181818181818182,0.00258691685867857,1.227188873475722,0.1818181818181818,0.009927951843940769,0.16396839638044058
sweep_e3=0.03,0.03,3,0.2293,0.7217,0.049,3,0.2344530417214175,0.8636363636363636,0.004806570225742996,0.84950570709844,0.1818181818181818,0.04368299541408509,0.16356918969495501
sweep_e3=0.03,0.03,3,0.2293,0.7217,0.049,4,0.19022972199546068,0.7727272727272727,0.0011362815705534823,1.118335054694084,0.2727272727272727,0.024721782715852184,0.20457773976209698
sweep_e3=0.03,0.03,3,0.2293,0.7217,0.049,5,0.2251759887313261,0.7727272727272727,0.0009959820730746057,0.9396095521867938,0.1818181818181818,0.018428146471602007,0.17798159910051534
sweep_e3=0.03,0.03,3,0.2293,0.7217,0.049,6,0.21375974278163054,0.8181818181818182,0.002205385479791376,0.8746448117928765,0.2727272727272727,0.02883085403287791,0.15876641953350976
sweep_e3=0.03,0.03,3,0.2293,0.7217,0.049,7,0.1688457618674443,0.7727272727272727,0.002829958421848282,0.9527345660472335,0.3636363636363636,0.11618232381083561,0.28617387849248715
sweep_e3=0.03,0.03,3,0.2293,0.7217,0.049,8,0.2367417490654062,0.8181818181818182,0.0019310414794592161,0.934881580746967,0.1818181818181818,0.03175469142146863,0.14678185225153542
sweep_e3=0.03,0.03,3,0.2293,0.7217,0.049,9,0.1179833712926208,0.7727272727272727,0.004347438580042603,0.8731204176173956,0.4545454545454545,0.1995471504102817,0.3520204516787105
sweep_e3=0.05,0.05,1,0.4759,0.4741,0.05,0,0.09632217043356182,0.3181818181818182,0.0017527753859592986,3.01201352814368,0.5454545454545454,0.16892889365304042,0.362806761341777
sweep_e3=0.05,0.05,1,0.4759,0.4741,0.05,1,0.09076883018170497,0.5909090909090909,0.0026921178761748986,1.232284555084802,0.4545454545454545,0.10616267459988173,0.30759112403421085
sweep_e3=0.05,0.05,1,0.4759,0.4741,0.05,2,0.08039394907086245,0.5,0.005163074674377417,3.7436659264741166,0.5454545454545454,0.04298314430185104,0.5079275709959246
sweep_e3=0.05,0.05,1,0.4759,0.4741,0.05,3,0.08511703049656913,0.45454545454545453,0.00485387322361992,2.81521930715474,0.5454545454545454,0.08743527158728151,0.3632591907856412
sweep_e3=0.05,0.05,1,0.4759,0.4741,0.05,4,0.10269543314952313,0.36363636363636365,0.0025891336858543585,1.8498799041233673,0.4545454545454545,0.18576016134060613,0.2651736883941481
sweep_e3=0.05,0.05,1,0.4759,0.4741,0.05,5,0.09942201918170007,0.4090909090909091,0.0027781129858069115,3.0197977073124753,0.5454545454545454,0.1288987612477881,0.3594552253472851
sweep_e3=0.05,0.05,1,0.4759,0.4741,0.05,6,0.07982526889351045,0.36363636363636365,0.005457565679819815,3.304774631847839,0.5454545454545454,0.08857211882383782,0.34919190201005856
sweep_e3=0.05,0.05,1,0.4759,0.4741,0.05,7,0.0809889086832055,0.36363636363636365,0.0031644800032578145,4.059218239759299,0.5454545454545454,0.14094266634713545,0.34310852239038037
sweep_e3=0.05,0.05,1,0.4759,0.4741,0.05,8,0.0625073225487358,0.2727272727272727,0.007429454745388778,3.577535559021401,0.5454545454545454,0.03598108130324117,0.41179170117978636
sweep_e3=0.05,0.05,1,0.4759,0.4741,0.05,9,0.08807691333617054,0.45454545454545453,0.004669199499898613,4.076912757608821,0.5454545454545454,0.187182387044676,0.2773005743741201
sweep_e3=0.05,0.05,2,0.2944,0.6556,0.05,0,0.1372262887450447,0.6818181818181818,0.004220212318773665,1.0691201861264472,0.2727272727272727,0.10007436471710718,0.3189035452294273
sweep_e3=0.05,0.05,2,0.2944,0.6556,0.05,1,0.15573412440145326,0.7272727272727273,0.003809281052779873,1.2948162126666471,0.4545454545454545,0.10556717116340626,0.24571731554130422
sweep_e3=0.05,0.05,2,0.2944,0.6556,0.05,2,0.15188357250460813,0.7727272727272727,0.002855733233019804,0.996210056338092,0.4545454545454545,0.019720717318560677,0.20694295580696695
sweep_e3=0.05,0.05,2,0.2944,0.6556,0.05,3,0.16552288769611645,0.7727272727272727,0.0037566334066077246,1.0847564711175879,0.3636363636363636,0.07765621587296152,0.17864758411381265
sweep_e3=0.05,0.05,2,0.2944,0.6556,0.05,4,0.11176175843968554,0.45454545454545453,0.012555087516696095,0.9771353435721442,0.2727272727272727,0.27132904402905905,0.511020229231893
sweep_e3=0.05,0.05,2,0.2944,0.6556,0.05,5,0.11734371937230925,0.5909090909090909,0.004137314810988519,1.3614390564427326,0.4545454545454545,0.16071230954293697,0.4002714903697808
sweep_e3=0.05,0.05,2,0.2944,0.6556,0.05,6,0.1610073451218009,0.8181818181818182,0.006740787557465721,0.8135802583528136,0.2727272727272727,0.02362723419879904,0.16356493973792247
