variant,eps,exper,edges,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
stage2,1.0,4,92245,0.4156174106624815,0.6666666666666666,0.001154776137627416,2.1727219109476086,0.23076923076923073,0.00776704798140426,0.14094231359030487
both,1.0,4,92245,0.4147954405223578,0.6666666666666666,0.0011594400228271348,2.17962947478742,0.15384615384615383,0.007110520860121041,0.1409620122763514
none,1.0,5,90172,0.3497071865237242,0.5416666666666666,0.005508294841653192,1.6157232732743698,0.07692307692307691,0.11395897370028098,0.2057690833401718
stage1,1.0,5,90172,0.34980609539643365,0.5416666666666666,0.0055053160009665624,1.6143914280052556,0.07692307692307691,0.11398408481686984,0.20575631342465533
stage2,1.0,5,85662,0.40580159381225966,0.5416666666666666,0.005548163923091425,2.111984019654446,0.23076923076923073,0.049446989533770275,0.24376127508987883
both,1.0,5,85662,0.4076443381556391,0.5416666666666666,0.005546072304029989,2.096796247396283,0.15384615384615383,0.049823100457624434,0.24342962192397516
none,1.0,6,105443,0.3721355649659917,0.6916666666666667,0.0016736834879306681,1.6553051745779674,0.23076923076923073,0.11369964963028194,0.10401844173397164
stage1,1.0,6,105443,0.37233226200034353,0.6833333333333333,0.0016774151874258245,1.6567562802530689,0.23076923076923073,0.11391396891121658,0.1040184417339718
stage2,1.0,6,101734,0.4137089909769043,0.6916666666666667,0.001668350104615406,2.0097738031358388,0.30769230769230765,0.07374911889674102,0.1272379824935097
both,1.0,6,101734,0.4147493713787939,0.6833333333333333,0.0016719701452019705,2.0043486339538417,0.30769230769230765,0.07388955688336973,0.1267526830366265
none,1.0,7,82225,0.3361269213784291,0.5666666666666667,0.012002392996690115,1.789980557815832,0.15384615384615383,0.17049128561880775,0.2407172347093611
stage1,1.0,7,82225,0.336208616879308,0.575,0.01199825875910846,1.787275729998953,0.15384615384615383,0.1705084958015754,0.2407252765048019
stage2,1.0,7,77387,0.3996383947738972,0.5583333333333333,0.012110866258227547,2.167619113621072,0.15384615384615383,0.09469468068203636,0.287081592279596
both,1.0,7,77387,0.4002451782187263,0.5666666666666667,0.012104587694920333,2.296823839977197,0.15384615384615383,0.09509258399027472,0.28681354575944096
none,1.0,8,104635,0.37538012315960495,0.9583333333333334,0.001034097171121818,1.6379289602069869,0.15384615384615383,0.18670629370941505,0.009863792629574122
stage1,1.0,8,104635,0.37554579849548264,0.9583333333333334,0.0010338595721630045,1.6290650318719142,0.15384615384615383,0.18681498420575846,0.009863792629575974
stage2,1.0,8,101203,0.4183510786998021,0.9583333333333334,0.0010286518134906323,1.9886431794962138,0.23076923076923073,0.1579718568305489,0.002175875207908019
both,1.0,8,101203,0.41579521390704155,0.9583333333333334,0.0010262294908329574,2.02653166595949,0.30769230769230765,0.15812272970165078,0.0024980335555032443
none,1.0,9,88547,0.3577003578669353,0.6416666666666667,0.005445642075216581,1.5440369318476315,0.0,0.17149973656182474,0.16161111808646736
stage1,1.0,9,88547,0.3577474169705883,0.6416666666666667,0.005442212005674481,1.5464763197821747,0.0,0.17151153187381224,0.16162802871477183
stage2,1.0,9,84104,0.41142170010164575,0.6333333333333333,0.00549016207647133,1.9260233900152448,0.30769230769230765,0.11326591721324804,0.19649416763447858
both,1.0,9,84104,0.40920878122205717,0.6416666666666667,0.005479414302396622,2.0055511187465234,0.23076923076923073,0.11337240553443646,0.19717956801013783
none,1.5,0,114861,0.3771834189539743,0.9583333333333334,0.003564301955606027,1.4742881637619984,0.15384615384615383,0.468510825208053,0.1561544373812244
stage1,1.5,0,114861,0.377493163185954,0.9583333333333334,0.0036181792039334288,1.4580822479717859,0.15384615384615383,0.46856087092827675,0.15614406881790918
stage2,1.5,0,112219,0.4130668511321107,0.9583333333333334,0.0035633546862577784,1.7963385814928956,0.23076923076923073,0.45661659851095454,0.15342591022470853
both,1.5,0,112219,0.41184619225717006,0.9583333333333334,0.0036249615354719284,1.7509399135558512,0.23076923076923073,0.45636751470189846,0.1529939549310864
none,1.5,1,115750,0.37793981944903415,0.95,0.0024215979015669133,1.4297010529053324,0.23076923076923073,0.45699195548644406,0.14107036992893981
stage1,1.5,1,115750,0.3781653053338746,0.95,0.002472219667539363,1.450893745021696,0.23076923076923073,0.45705615725435905,0.1410605965546836
stage2,1.5,1,113033,0.40859994761956586,0.95,0.0024204363717678415,1.6733905038901562,0.3846153846153846,0.44268927075736997,0.13261250957860307
both,1.5,1,113033,0.40995525638613967,0.95,0.002468289845968859,1.6878521087929124,0.30769230769230765,0.44287956293355357,0.13250721484172906
none,1.5,2,116758,0.3692149412694976,0.9333333333333333,0.0027637521363256773,1.368627667248202,0.30769230769230765,0.4623869019050391,0.11120591252893895
stage1,1.5,2,116758,0.3694023040274122,0.9333333333333333,0.002816412141621209,1.333576855042649,0.30769230769230765,0.4626764448250744,0.11118195813881954
stage2,1.5,2,114047,0.39953870896612065,0.9333333333333333,0.002762512134139118,1.5979877362245627,0.3846153846153846,0.44909748488876916,0.10172190917408556
both,1.5,2,114047,0.39958196459385087,0.9333333333333333,0.002793617671872598,1.5874507447822392,0.3846153846153846,0.4491748716601916,0.10139249038357862
none,1.5,3,108343,0.3811423416102475,0.9666666666666667,0.0020497813103748878,1.5455761278623645,0.23076923076923073,0.341002216802288,0.07618278304453906
stage1,1.5,3,108343,0.381808637861344,0.9666666666666667,0.0020717375949603307,1.5434140708351523,0.23076923076923073,0.34064393070219057,0.07614279706315154
stage2,1.5,3,105460,0.41571510536993567,0.9666666666666667,0.0020475624140111714,1.7876377793723255,0.30769230769230765,0.3230222621358083,0.0691862087484368
both,1.5,3,105460,0.4176143885474678,0.9666666666666667,0.0020835851881806536,1.6928799249435817,0.30769230769230765,0.3227085913733573,0.06945508023293552
none,1.5,4,105440,0.37466695380105464,0.9583333333333334,0.0012068872262051664,1.5514547557781342,0.23076923076923073,0.25802739007683156,0.03965261505654144
stage1,1.5,4,105440,0.37520302903430547,0.9583333333333334,0.0012340676163799834,1.5465705760486799,0.23076923076923073,0.25790896280154124,0.03964876240706446
stage2,1.5,4,102288,0.41675975063162124,0.9583333333333334,0.0012058780889892455,1.9025906350581236,0.23076923076923073,0.23554544870024224,0.03249689579097216
both,1.5,4,102288,0.4177504136529902,0.9583333333333334,0.001215089685955612,1.8826819733515092,0.15384615384615383,0.23536215667446328,0.03230884946986003
none,1.5,5,116878,0.36747881705225893,0.95,0.003148737173155743,1.3883680974763533,0.30769230769230765,0.4809725898861453,0.13167188170026084
stage1,1.5,5,116878,0.36790970552836627,0.95,0.0032147063338318358,1.4058989054177804,0.30769230769230765,0.480993794783795,0.13166620955793923
stage2,1.5,5,114225,0.39900412847999334,0.95,0.0031477436542745787,1.642277501092663,0.30769230769230765,0.46861671823301226,0.12439119502183972
both,1.5,5,114225,0.40026478372246016,0.95,0.0032123542317251657,1.6785043295735702,0.30769230769230765,0.4687333661638144,0.12445739621192753
none,1.5,6,110737,0.37834342331145243,0.9333333333333333,0.0015472510304215031,1.4300527921916344,0.23076923076923073,0.33468397927670973,0.06520643938357014
stage1,1.5,6,110737,0.3787909973957219,0.9333333333333333,0.0015649054920790328,1.4233329541445046,0.23076923076923073,0.3350880068991042,0.06520643938357014
stage2,1.5,6,107867,0.4095885578186919,0.9333333333333333,0.001544435219133103,1.63610595512757,0.3846153846153846,0.3140261839498878,0.05299636097830696
both,1.5,6,107867,0.4103615608089843,0.9333333333333333,0.0015726723394627745,1.6386729567714455,0.3846153846153846,0.3142206357344128,0.052865089281665306
none,1.5,7,108146,0.37020815577229216,0.925,0.0008966930285093201,1.4095383463213962,0.15384615384615383,0.18418449754626082,0.0502938647427819
stage1,1.5,7,108146,0.3704190191055963,0.925,0.0008922560596312109,1.4186229164691289,0.15384615384615383,0.18429363895255546,0.05030875818247819
stage2,1.5,7,104897,0.409509537774055,0.925,0.0008931586633877825,1.6920564191492562,0.15384615384615383,0.15634328881212722,0.06497085726757798
