method,eps,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,mat2_edges,orig_edges,edge_ratio,comm_n,mod_raw,mod_orig
V6-CL-ir0.1,0.5,0,0.3315617526368373,0.15,0.02288714490048446,2.0252947011103037,0.0,0.1652209641218839,0.23794604991287263,54703,118489,0.4617,14,0.81322,0.65691
V6-CL-ir0.1,0.5,1,0.3371493790776889,0.24166666666666667,0.0189487464083394,2.000569262775841,0.07692307692307691,0.1502311097452675,0.20669602258876357,57675,118489,0.4868,13,0.792691,0.65691
V6-CL-ir0.1,0.5,2,0.347670502827181,0.35833333333333334,0.020932203445132417,2.1500523343786235,0.07692307692307691,0.17954531548738653,0.21423138174161857,57945,118489,0.489,14,0.797641,0.65691
V6-CL-ir0.1,0.5,3,0.34469071059772804,0.275,0.02152979465675015,2.182546214059917,0.07692307692307691,0.17130399160218632,0.23983608333258724,62274,118489,0.5256,13,0.814461,0.65691
V6-CL-ir0.1,0.5,4,0.34490873906172986,0.49166666666666664,0.01813787091993881,2.102675217406587,0.15384615384615383,0.19767042053176262,0.16827734006660333,62398,118489,0.5266,12,0.767453,0.65691
V6-CL-ir0.1,1.0,0,0.3578124598309734,0.6333333333333333,0.0014196224944615491,1.78139353082437,0.23076923076923073,0.09360023910379334,0.15737235706084984,97533,118489,0.8231,11,0.76029,0.65691
V6-CL-ir0.1,1.0,1,0.3595297013434382,0.8333333333333334,0.001669763264867415,1.7699936522912902,0.07692307692307691,0.032528655539768934,0.05568776938547426,93899,118489,0.7925,12,0.693492,0.65691
V6-CL-ir0.1,1.0,2,0.36769947377743284,0.9083333333333333,0.0013315659438322433,1.7495954048774636,0.07692307692307691,0.058971050763453374,0.009852738526170803,91502,118489,0.7722,12,0.663383,0.65691
V6-CL-ir0.1,1.0,3,0.33400366748563975,0.525,0.01587955169444551,1.9350226676861317,0.07692307692307691,0.11203190197053435,0.24940788449629359,70944,118489,0.5987,14,0.820749,0.65691
V6-CL-ir0.1,1.0,4,0.3594268982108196,0.625,0.0016529120148120811,1.6931895601414308,0.23076923076923073,0.10606274436101477,0.17529347636930218,99556,118489,0.8402,10,0.772062,0.65691
