eps,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
0.5,0.0,0.11307353648022003,0.6,0.008419331415621527,5.101049371363041,0.33333333333333326,0.379826146929939,0.13044325411252727
0.5,1.0,0.0704224256362608,0.0,0.003243593613267337,5.313766282682609,0.33333333333333326,0.41436619697948573,0.167571837035225
0.5,2.0,0.10493022076182376,0.5,0.022175270932998807,4.436795336811623,0.22222222222222218,0.25065256510963224,0.04013509300844761
0.5,3.0,0.10504978348116392,0.1,0.03262719058444745,4.948482491937014,0.11111111111111109,0.380414673963676,0.05682829294292329
0.5,4.0,0.08945287892675806,0.1,0.03804316020240574,5.309764188070801,0.33333333333333326,0.4127605754794855,0.13951376108571342
0.5,5.0,0.08801136226681466,0.0,0.0028017133092751293,5.160929978850282,0.33333333333333326,0.42516321160351317,0.17167324146331728
0.5,6.0,0.09754232953330298,0.2,0.03276781313474807,4.514796381549973,0.33333333333333326,0.418906615263274,0.1355907038559018
0.5,7.0,0.11409648679720157,0.3,0.029138368733009273,4.479754060275156,0.33333333333333326,0.39246585350984253,0.09624535016080651
0.5,8.0,0.11373018946480781,0.1,0.019591324212811217,5.194059306148247,0.44444444444444436,0.4126398062025029,0.11235195706462699
0.5,9.0,0.08900394252267643,0.2,0.03382047207817451,5.481222798700992,0.33333333333333326,0.3834035661910117,0.11983641160989209
1.0,0.0,0.13512903678224286,0.7,0.0097502983238584,3.528138240396128,0.22222222222222218,0.21746891643559793,0.1147107167863483
1.0,1.0,0.16699169632864577,0.8,0.003923572272304962,2.401208739859163,0.33333333333333326,0.15618806671140123,0.16362946902601136
1.0,2.0,0.28398760716651766,0.7,0.002543069471924625,1.2836667774492314,0.33333333333333326,0.22332303866916187,0.24028199646386703
1.0,3.0,0.31317061400840474,0.8,0.00356696995406421,2.053587262785765,0.33333333333333326,0.1390772825780039,0.30471959953239497
1.0,4.0,0.15906998959679078,0.4,0.011359165811890098,2.3333932904757457,0.33333333333333326,0.2728369657961329,0.026607035572581327
1.0,5.0,0.24906179720153548,0.7,0.003932608693569696,2.71084329981566,0.22222222222222218,0.11506661058016586,0.3652706140071212
1.0,6.0,0.13933224771232686,0.7,0.016348785305869706,3.2636414251085872,0.33333333333333326,0.2468928016707342,0.025522807832518847
1.0,7.0,0.2004270830217854,0.6,0.003648916604794353,2.9426032007069893,0.33333333333333326,0.13698331083703216,0.1700340565756585
1.0,8.0,0.2341700200658265,0.8,0.0027671295682454937,2.06198651266918,0.11111111111111109,0.11814535413238646,0.20153219396580932
1.0,9.0,0.22582829438980084,0.5,0.0025036502709301564,2.3979514516668177,0.33333333333333326,0.15402957534913433,0.33314948069193173
1.5,0.0,0.23317110539649377,0.8,0.0019358044113973905,1.6845456891302328,0.33333333333333326,0.19460079826154186,0.326758951210429
