dataset,oversample,avg_nmi,avg_evc_overlap,avg_evc_MAE,avg_deg_kl,avg_diam_rel,avg_cc_rel,avg_mod_rel
Facebook,1.3,0.2232408367494275,0.589642857142857,0.006101335027154654,0.5724561669911654,0.16249999999999995,0.47271036225345403,0.24227473103654326
Facebook,1.4,0.22560818650738648,0.5657142857142857,0.0061690456670831775,0.5471136049057379,0.1482142857142857,0.4619667989646968,0.2278746951078226
Facebook,1.5,0.22164083636060153,0.6007142857142858,0.005103722074583802,0.5553566382389666,0.16964285714285707,0.4457128208728746,0.23095760103776927
Facebook,1.6,0.22017427571243706,0.6032142857142857,0.006489316460516215,0.5245840036299181,0.17142857142857135,0.4533300141495075,0.22762017291754005
