eps,e1_r,e2_r,e3_r,Q_noisy,comm_count,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
2.0,0.1,0.1,0.8,0.08971416821650258,6,0,0.0366812273928845,0.6363636363636364,0.019566384338340875,11.012778103121056,0.6363636363636362,0.6454885278690142,0.6320217401048076
2.0,0.1,0.2,0.7,0.08971416821650258,6,0,0.0824918754518993,0.8181818181818182,0.004918936143813713,8.91981907758267,0.6363636363636362,0.3902186884165816,0.5674595883158707
2.0,0.1,0.30000000000000004,0.6,0.08971416821650258,6,0,0.0979102514675381,0.6818181818181818,0.003403799337584262,8.55156669800266,0.5454545454545454,0.2881237985766066,0.535604073042409
2.0,0.1,0.4,0.5,0.08971416821650258,6,0,0.10171391243332266,0.8181818181818182,0.0035112192574601104,5.116183204467211,0.5454545454545454,0.38941774469334905,0.5876018501399227
2.0,0.1,0.5,0.4,0.08971416821650258,6,0,0.11669103524872533,0.8181818181818182,0.0012050130968950265,3.606189171595434,0.5454545454545454,0.2312903711216426,0.4731780151282399
2.0,0.1,0.6,0.3,0.08971416821650258,6,0,0.17856403737798138,0.8181818181818182,0.0027162805824673,1.703102365598097,0.5454545454545454,0.16720556901733166,0.38643005413827375
2.0,0.1,0.7000000000000001,0.2,0.08971416821650258,6,0,0.1612409584036067,0.8181818181818182,0.003249450253576971,1.3748901235345343,0.4545454545454545,0.2017512034570834,0.38814605116884066
2.0,0.1,0.8,0.1,0.08971416821650258,6,0,0.17534351521570785,0.8181818181818182,0.0027989890403076548,1.2224427768414006,0.4545454545454545,0.09867379901649781,0.30213433653119154
2.0,0.1,0.1,0.8,0.10327739372638675,8,1,0.020831178108742958,0.4090909090909091,0.022137022537523608,18.279851807564913,0.6363636363636362,0.9283647211608927,0.7100146121256863
2.0,0.1,0.2,0.7,0.10327739372638675,8,1,0.09067683206541705,0.6818181818181818,0.005089191179718876,8.614592076709181,0.6363636363636362,0.3097381219636172,0.5574697076330986
2.0,0.1,0.30000000000000004,0.6,0.10327739372638675,8,1,0.12039852223109195,0.8181818181818182,0.0023664454599652135,6.244099720886291,0.6363636363636362,0.12596564790485143,0.46907024301269
2.0,0.1,0.4,0.5,0.10327739372638675,8,1,0.1290764969334427,0.8181818181818182,0.00181864236403865,5.59765558545122,0.5454545454545454,0.1510830027815082,0.4610585986113778
2.0,0.1,0.5,0.4,0.10327739372638675,8,1,0.16388168599283,0.9545454545454546,0.0025164450458000057,4.20593575673209,0.5454545454545454,0.14866594942802594,0.42548341756994146
2.0,0.1,0.6,0.3,0.10327739372638675,8,1,0.18796999224259892,0.8636363636363636,0.001227686976783763,2.6834508279605642,0.5454545454545454,0.17824393527500695,0.40251459903068576
2.0,0.1,0.7000000000000001,0.2,0.10327739372638675,8,1,0.22349594445632073,0.8636363636363636,0.0032210474408725055,1.0333446192304554,0.5454545454545454,0.14481804258653216,0.34309041250745637
2.0,0.1,0.8,0.1,0.10327739372638675,8,1,0.16734550567913387,0.7727272727272727,0.0019505112044381837,2.4693058333555835,0.5454545454545454,0.1512304370548979,0.3621434717980604
2.0,0.1,0.1,0.8,0.08952478353036417,8,2,0.014254226804152661,0.45454545454545453,0.02297042156617738,14.478468924998054,0.6363636363636362,0.9280143373843486,0.7132087648505374
