eps,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
0.5,0.0,0.06026808803203138,0.35,0.012672048384420159,1.1388590467759583,0.12499999999999997,0.6060842254900919,0.35960221979420365
0.5,1.0,0.0597291907233598,0.05,0.01074783072048707,1.1171325352690402,0.24999999999999994,0.6995868976205823,0.34280213733404086
0.5,2.0,0.07131412803581169,0.05,0.014222352395685001,1.3803209179259155,0.12499999999999997,0.6827271505173389,0.3626498040737169
0.5,3.0,0.07184479813690367,0.25,0.00804619270664866,1.2007973495635287,0.24999999999999994,0.6555407399584333,0.3656477909409039
0.5,4.0,0.053604981850321906,0.15,0.012995972713376639,1.2315366464510482,0.24999999999999994,0.6900778321661879,0.326618664383685
0.5,5.0,0.06501012659299588,0.025,0.007811153133415997,1.3631767964599504,0.12499999999999997,0.676368353553413,0.3305537470973657
0.5,6.0,0.04104256335801422,0.125,0.00664660821447711,1.1264239821523012,0.12499999999999997,0.6621240262127672,0.3457082109397693
0.5,7.0,0.059353142809960145,0.15,0.009534340272100646,1.3721865699126918,0.12499999999999997,0.6659238835000139,0.33961106096421295
0.5,8.0,0.06214645003552567,0.225,0.009873897679383657,1.3270651734238437,0.12499999999999997,0.654762680971982,0.35288594714747057
0.5,9.0,0.08709117824590899,0.45,0.006539447259726256,1.1142050636842227,0.12499999999999997,0.5912548978046123,0.31008226412910955
1.0,0.0,0.15284584924863304,0.65,0.0011201915650300037,0.7070651852682008,0.12499999999999997,0.4495861191852315,0.29179472369683734
1.0,1.0,0.18601331115888467,0.6,0.004193662025733765,0.6217035463051019,0.12499999999999997,0.3427896729490019,0.23280883614459197
1.0,2.0,0.18485430339017034,0.725,0.0026991608258482144,0.5431148055412229,0.12499999999999997,0.3956574594384491,0.3330993383474499
1.0,3.0,0.18574517223217316,0.725,0.007403225139425049,0.7925280551222738,0.0,0.45040016099173236,0.38333150044803893
1.0,4.0,0.10070611981498506,0.725,0.009757800835482746,0.8292768230889476,0.12499999999999997,0.6415329720976714,0.36665366845678865
1.0,5.0,0.15205089161791924,0.7,0.0068856368496158175,0.5055723739174397,0.12499999999999997,0.4228228235075414,0.3847722138762228
1.0,6.0,0.20106918123032702,0.675,0.0018828711141488594,0.5466192001165889,0.12499999999999997,0.3919878472875756,0.2815818222545688
1.0,7.0,0.20586263236581331,0.65,0.0005217478425104463,0.5178094736146057,0.12499999999999997,0.31949250941649576,0.2322963790665305
1.0,8.0,0.23413891193790737,0.725,0.002085633051347405,0.5089480323873498,0.12499999999999997,0.39785036373395116,0.2587041406778743
1.0,9.0,0.19739531208343936,0.7,0.0012781525463183637,0.5804916135774589,0.12499999999999997,0.34020526562488923,0.3542377806394739
1.5,0.0,0.2518426577524394,0.675,0.0011572710687694574,0.47363747162983694,0.24999999999999994,0.4480651690987493,0.302468388705999
1.5,1.0,0.22884959564054516,0.75,0.0034860642678753414,0.5221875104568726,0.12499999999999997,0.466753552442812,0.2917478940296467
1.5,2.0,0.23050463876336194,0.825,0.0006234406450756371,0.47520994482683476,0.24999999999999994,0.3807498060508947,0.2538964292398919
1.5,3.0,0.24981531108753885,0.725,0.0017987342994754448,0.49378095584985654,0.12499999999999997,0.3484769146564652,0.24295782010538625
1.5,4.0,0.18789707890820004,0.8,0.0014630540874197972,0.3235498664557617,0.12499999999999997,0.5820831093732756,0.4604781074754341
1.5,5.0,0.23006997948114433,0.675,0.010743784836944313,0.5393262571303786,0.24999999999999994,0.5109577424581484,0.33674281434062836
1.5,6.0,0.24219453561633827,0.8,0.0027889248605352497,0.6851479458174713,0.24999999999999994,0.4479861703038626,0.2802578812571
1.5,7.0,0.2568030566628793,0.775,0.0016012819418524285,0.5354603545338482,0.12499999999999997,0.406810587098482,0.2573863435765867
1.5,8.0,0.2288540689485197,0.625,0.015787151808902194,0.44905659358586264,0.24999999999999994,0.5660487038416061,0.39558596773687366
1.5,9.0,0.2677781015796243,0.775,0.001155643782573218,0.47681567533645053,0.12499999999999997,0.39336441439898695,0.21360655909410742
2.0,0.0,0.2569427283125888,0.75,0.0025759423974094555,0.49227704351842305,0.24999999999999994,0.45598846092369655,0.2110423081266324
2.0,1.0,0.2458586204273009,0.65,0.013501451252263028,0.46874470012536384,0.24999999999999994,0.565286090646185,0.2781917807498579
2.0,2.0,0.25463673037148205,0.8,0.00034579849735646257,0.39636816601146024,0.24999999999999994,0.4753716890959744,0.2756030039414285
2.0,3.0,0.24263232380619887,0.725,0.0013264427618092805,0.4209461286164008,0.24999999999999994,0.3889422773482474,0.272744157465396
2.0,4.0,0.2694586793669818,0.725,0.014002468813182326,0.49644230864388295,0.12499999999999997,0.5703081635307803,0.3041966407153786
2.0,5.0,0.2227800284389165,0.775,0.0003548934678844002,0.4460818765217685,0.24999999999999994,0.40928331315126976,0.3301738428345923
2.0,6.0,0.2596909611797917,0.725,0.0014658028785841139,0.47721556977024415,0.12499999999999997,0.3439275363987394,0.20457452400636772
2.0,7.0,0.26345155411514737,0.65,0.0017062197588645748,0.5446214237801146,0.24999999999999994,0.42825131570352193,0.22006353302674178
2.0,8.0,0.26952827116429384,0.675,0.010604219792853425,0.4816435798827854,0.24999999999999994,0.506640539492129,0.27651666977944683
2.0,9.0,0.2520721748583885,0.725,0.005020573673906984,0.39142254876080507,0.12499999999999997,0.5427872538119263,0.27956815651433026
2.5,0.0,0.2722863220524943,0.75,0.00130940279385876,0.38849637005193405,0.24999999999999994,0.5380361257594626,0.26598446156825506
2.5,1.0,0.26444540116523413,0.775,0.0011237333801045763,0.37950943961827766,0.24999999999999994,0.42605233261761893,0.26133575983583274
2.5,2.0,0.27687074458749644,0.7,0.0006967454038300309,0.4166279018311693,0.24999999999999994,0.5713383642274061,0.335775888406102
2.5,3.0,0.26609547448942505,0.2,0.01980154022913543,0.41445647514504413,0.24999999999999994,0.6101533133764299,0.2741193996511792
2.5,4.0,0.29226404893680125,0.725,0.0026908433222035326,0.4115089559808872,0.24999999999999994,0.43254720767043464,0.21506141780013738
2.5,5.0,0.26648275781086217,0.7,0.007032859262981477,0.3312117327954859,0.24999999999999994,0.6346521061413533,0.28612473622137263
2.5,6.0,0.26789325743031933,0.8,0.001435297514270794,0.46919662397503625,0.24999999999999994,0.4674940051202428,0.2757096733393139
2.5,7.0,0.29167873703020814,0.775,0.0006960637285490092,0.46291019016316615,0.24999999999999994,0.32972168623612774,0.1596567850701337
2.5,8.0,0.2921971982985487,0.75,0.004402085923700801,0.49047745228689316,0.24999999999999994,0.489020794841585,0.19764721448512024
2.5,9.0,0.2599123696114261,0.0,0.004664475729485161,0.4111887670052854,0.12499999999999997,0.5237600310978064,0.2584024670576582
3.0,0.0,0.30330601374882327,0.7,0.006250879958058191,0.40298793049502346,0.12499999999999997,0.5471037069114798,0.23776551269252366
3.0,1.0,0.29986621058024343,0.775,0.012287616417496863,0.4440852648428797,0.12499999999999997,0.5156337896044332,0.2189596615848278
3.0,2.0,0.28782686431868176,0.725,0.0048719261296641765,0.4746741222255603,0.12499999999999997,0.46396190710348195,0.21387824557479856
3.0,3.0,0.2141980689878783,0.65,0.013552608550222934,0.38958499540185254,0.0,0.5862940318428455,0.2705290641804566
3.0,4.0,0.25604528499000945,0.8,0.003166188272779008,0.4766136368516959,0.12499999999999997,0.5952354202740685,0.3314939131779655
3.0,5.0,0.2514374678610167,0.8,0.0013036591629024801,0.4312278313376988,0.24999999999999994,0.53010495623956,0.3851870688592178
3.0,6.0,0.2650125677325655,0.75,0.005751797296474677,0.35864785234517255,0.12499999999999997,0.6015246765439842,0.27596626133970215
3.0,7.0,0.2868555182823569,0.775,0.000976153180923434,0.48942635029769715,0.24999999999999994,0.48000346411555667,0.2596406293616899
3.0,8.0,0.2774486795299223,0.725,0.00863247666443116,0.4677260077938064,0.24999999999999994,0.5816288410870831,0.27946068207382174
3.0,9.0,0.29262960196799537,0.675,0.0007773819293493088,0.40772795063881623,0.12499999999999997,0.48517039515586297,0.24373534754845017
3.5,0.0,0.3191678885150022,0.775,0.0004402297765006075,0.41873735838004045,0.12499999999999997,0.3873700897549017,0.17613536420239526
3.5,1.0,0.22581465002812562,0.75,0.0008663897109042869,0.3579698334025023,0.24999999999999994,0.5944062147761712,0.477680395130421
3.5,2.0,0.27580919622916844,0.725,0.0012849816109901384,0.36965785448526,0.24999999999999994,0.4296982936650568,0.2852904565408411
3.5,3.0,0.3196412703577763,0.7,0.004957236731556583,0.45577253033600795,0.24999999999999994,0.4606776880658143,0.18910111201097507
