dataset,convert_ratio,avg_nmi,avg_evc_overlap,avg_evc_MAE,avg_deg_kl,avg_diam_rel,avg_cc_rel,avg_mod_rel
Chamelon,0.7,0.2320781148208934,0.7220779220779221,0.0042284275746390125,1.290948762601192,0.39350649350649347,0.15251736697697324,0.27062751213990094
Chamelon,0.8,0.24749507895515072,0.7272727272727273,0.0038288953885692906,1.3465462041974838,0.3623376623376623,0.13728675026975776,0.2106643114198273
Chamelon,0.9,0.24972673409508253,0.7194805194805196,0.004476081571486901,1.3985660398003479,0.32857142857142857,0.13640138806596655,0.13049903562962625
Chamelon,1.0,0.2822514194415176,0.690909090909091,0.007323870226531901,1.5073308983593832,0.3883116883116883,0.14906257078676338,0.12972213808938504
Facebook,0.7,0.22326234304618703,0.6375,0.0065444556992635735,0.5441350115708702,0.2071428571428571,0.5458984550634447,0.331234656779516
Facebook,0.8,0.22369329938626706,0.6267857142857143,0.0053509042487586,0.5813487958905805,0.17857142857142855,0.5068798350536398,0.28848386817103816
Facebook,0.9,0.22531654729475165,0.6096428571428572,0.005685977369205525,0.6359955765195003,0.14107142857142854,0.4772654606323506,0.2476312603446422
Facebook,1.0,0.24264475559990586,0.5921428571428572,0.006892244912468099,0.7236056157297153,0.23214285714285707,0.4124480722560259,0.17971977590658925
mytest,0.7,0.22476144084930963,0.6557142857142857,0.002989672397452383,1.8716360210050011,0.3825396825396825,0.35654251498904976,0.272892243819574
mytest,0.8,0.2167951946788182,0.6328571428571429,0.005122344530614042,2.140007547763762,0.34761904761904755,0.34777066514364124,0.18648045208552352
mytest,0.9,0.2397458194682868,0.6799999999999999,0.006261570431083873,2.2153320370824816,0.29682539682539677,0.2622340156477551,0.21677872111654967
mytest,1.0,0.26395680141959155,0.6885714285714286,0.007891963574065217,2.4017682583120434,0.40476190476190466,0.1870057059597345,0.26645890601860694
