eps,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
0.5,0.0,0.04765699779003184,0.0,0.0015324605309960672,2.831919170347901,0.33333333333333326,0.5632982320775477,0.2839305962726807
0.5,1.0,0.08004058108751806,0.4,0.004946322678661309,2.5493650162551615,0.44444444444444436,0.5139059233087391,0.23304025591706004
0.5,2.0,0.07519529692477836,0.5,0.008227917474298841,2.9484203086647787,0.33333333333333326,0.4982960028360051,0.27611231514519263
0.5,3.0,0.05360079455306166,0.1,0.004979015875941184,2.857446323513332,0.44444444444444436,0.5259512268556299,0.25363197474233723
0.5,4.0,0.03968694124985094,0.0,0.004030674977090923,3.415462127070989,0.22222222222222218,0.5530367811774346,0.2673107638222934
0.5,5.0,0.07375584179501837,0.0,0.0007458570795176505,2.908415156125065,0.33333333333333326,0.5512856444070509,0.2418370730384703
0.5,6.0,0.10296052074058322,0.5,0.009067008770438246,3.117002251465835,0.33333333333333326,0.42806958085225305,0.3756688793484724
0.5,7.0,0.059635969030549185,0.1,0.0038919164034916464,3.1082056940027796,0.33333333333333326,0.5217894500827348,0.26778574948869177
0.5,8.0,0.06237435691162019,0.2,0.001999213009342067,3.152970681046515,0.44444444444444436,0.5275315005062199,0.277279374187905
0.5,9.0,0.06150555550947078,0.2,0.004817910288427811,2.91448492971333,0.33333333333333326,0.5672169878182498,0.25627176794468076
1.0,0.0,0.13878247613570813,0.9,0.0029339886037460447,1.6103547726436638,0.44444444444444436,0.32513687019203535,0.37173814023946805
1.0,1.0,0.18563510664942673,0.7,0.002208464529350676,2.1510092641522105,0.44444444444444436,0.3012164087852286,0.29187598417240107
1.0,2.0,0.20409956441093774,0.8,0.002719044785059609,1.61358256168623,0.33333333333333326,0.30394547999173166,0.520313426468264
1.0,3.0,0.1060385914099719,0.7,0.005991209056394367,2.9600202546208405,0.44444444444444436,0.5519461242274796,0.24404755505228481
1.0,4.0,0.10691394028343616,0.3,0.010508760037242996,2.4982551947423977,0.44444444444444436,0.6289438831876007,0.46334980329526887
1.0,5.0,0.1772233184212629,0.6,0.001000632592073661,1.7687779477651908,0.44444444444444436,0.3182945417975031,0.3828500472009981
1.0,6.0,0.17775219787331847,0.7,0.0027116186821007997,1.5975439234237245,0.33333333333333326,0.26539283088631915,0.32251823845188743
1.0,7.0,0.14373987327577073,0.4,0.0033233266090264557,2.263987906321621,0.44444444444444436,0.5490972219955633,0.278201462231336
1.0,8.0,0.08164549946424685,0.6,0.0034193405011489807,2.956016486116992,0.44444444444444436,0.5952398238579001,0.18045281216430742
1.0,9.0,0.1723777479536036,0.6,0.0013873155864269806,1.9562078222811499,0.33333333333333326,0.2990155685003631,0.39393365802608477
1.5,0.0,0.24025378093163413,0.8,0.00165384030525208,1.3971752131252624,0.33333333333333326,0.29863917833910925,0.3012217712080777
1.5,1.0,0.24682813184770633,0.8,0.0018115775974454143,1.7224999787259436,0.33333333333333326,0.21318125902830334,0.30228064661157145
1.5,2.0,0.2518689549171833,0.8,0.002698370789733541,1.9049488244731378,0.33333333333333326,0.25128599205021307,0.3268454028677914
1.5,3.0,0.24574828881094907,0.7,0.0033542378763712867,1.5455010192592367,0.44444444444444436,0.270419513238144,0.33119337438441226
1.5,4.0,0.25880657181719335,0.8,0.00348215880220136,1.5582943174745054,0.44444444444444436,0.26413836030798465,0.30083420313941056
1.5,5.0,0.17891564797046813,0.6,0.005613606290454797,2.198689708747729,0.33333333333333326,0.29801988139696695,0.13839850174684176
1.5,6.0,0.22377305833098407,0.7,0.004587545157295791,1.573095054438755,0.33333333333333326,0.31254306898486867,0.16575323813022658
1.5,7.0,0.2003571647325329,0.8,0.0034233927471336565,1.6364180473348804,0.44444444444444436,0.2895065407538434,0.266717808791952
1.5,8.0,0.23342661266835665,0.6,0.0020218325988791584,1.5516734507363341,0.44444444444444436,0.25218199046752526,0.23521517088279242
1.5,9.0,0.28448725553752113,0.8,0.0025844433461355413,1.5134663144312714,0.33333333333333326,0.28401952426799737,0.1764156792439954
2.0,0.0,0.31016220724774357,0.7,0.0018957748832230323,1.2030532961274263,0.44444444444444436,0.25356580004223417,0.24492032980816197
2.0,1.0,0.3344456647829036,0.7,0.0031268190665498853,1.4343096018779349,0.33333333333333326,0.25023232140597185,0.25785218988967185
2.0,2.0,0.1708441621408509,0.9,0.004672064296146504,2.552146427790634,0.33333333333333326,0.39287284738818495,0.41740992459138726
2.0,3.0,0.1812325432211401,0.6,0.003237953761644141,1.7405442262121849,0.22222222222222218,0.3686712358758833,0.26379924808303007
2.0,4.0,0.21583112836261065,0.8,0.0031087692269581415,1.92724645723397,0.33333333333333326,0.2566653978518003,0.40877352378942966
2.0,5.0,0.22963141861110672,0.7,0.0025238661766588274,1.4456552013091815,0.33333333333333326,0.23048464875724817,0.2400064323517027
2.0,6.0,0.20010459236782635,0.4,0.0037600336833041397,2.223990775527507,0.33333333333333326,0.3622117149809516,0.03153923499952751
2.0,7.0,0.2717020507878486,0.8,0.0014562699208568257,1.5264502503700763,0.44444444444444436,0.2748383711154834,0.210122700354516
2.0,8.0,0.2871595163974184,0.7,0.0022830508960968872,1.6208990289179614,0.33333333333333326,0.2938742731181883,0.13256011434889253
2.0,9.0,0.269577093159488,0.8,0.002160923367984159,1.6505021829080744,0.44444444444444436,0.2500957136686292,0.2828762817787614
2.5,0.0,0.21373862196263052,0.5,0.0035363820871503805,1.9647324557215955,0.33333333333333326,0.4155804044825306,0.16937901953726278
2.5,1.0,0.3017162016153099,0.9,0.0017805128703562074,1.8457186564425068,0.33333333333333326,0.21448624828908788,0.27072498945100343
2.5,2.0,0.32369440515881404,0.8,0.0015035270476848064,1.486071443429482,0.33333333333333326,0.34536275489093904,0.3410610232120025
2.5,3.0,0.29080832934163703,0.9,0.002329837241886304,1.5510485794156168,0.33333333333333326,0.27783277032912645,0.33089525202790787
2.5,4.0,0.2531306418470072,0.8,0.001780095917469017,1.4567319144641004,0.44444444444444436,0.28902444935584326,0.17391680645688848
